dataset,base_key,attack_seed,category,mode,level,run_id,common_host_rows,correct,accuracy,change_from_clean_pp,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,clean_withhold_rate,training_visits_per_100k,seconds_per_100k
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0__none__none__unguarded,186302,123490,0.6628484933065668,-3.9951261929555226,0.4840096340875916,0.4953623409776187,0.4881918664481736,0.8571214167792286,0.8834208054803602,0.13912753008966877,0.887339364916766,0.8639417678893503,1.0,0.0,94999.92779828075,122.51519084978968
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0__none__none__unguarded,186302,121253,0.6508411074491954,-5.195864778692661,0.4381037165582744,0.44580458176068105,0.4368753183077949,0.8794177445170221,0.8984917960333684,0.11639195381901313,0.9101435958149486,0.8832338522352579,1.0,0.0,94999.92779828075,122.6787299924023
RADAR,radar,0,5,splice,moderate,radar__splice__moderate__a0__none__none__unguarded,186302,128655,0.6905722965937027,-1.2227458642419364,0.5538197770138663,0.49005230725595705,0.5107210478578759,0.8997606763598754,0.8266504613004806,0.08700690000730711,0.9085664441448387,0.8899666572861409,1.0,0.0,94999.92779828075,76.48566812376284
RADAR,radar,0,6,splice,severe,radar__splice__severe__a0__none__none__unguarded,186302,131733,0.7070938583590085,0.42941031228864723,0.5503228307374701,0.5247112988227958,0.5338805725431892,0.9093372640172346,0.8861278382409812,0.083468167061599,0.9120698822570595,0.901657195618595,1.0,0.0,94999.92779828075,79.3969322520558
RADAR,radar,1,0,clean,none,radar__clean__none__anone__none__none__unguarded,186081,130356,0.7005336385767489,0.0,0.5613620562092042,0.5425379003265367,0.5490445193762754,0.8911027356652833,0.9223402040391422,0.10847464776849743,0.9338167264560633,0.8992435196492239,,0.0,94999.92779828075,71.09325980449763
RADAR,radar,1,1,instance,moderate,radar__instance__moderate__a1__none__none__unguarded,186081,118235,0.635395338589109,-6.5138299987639865,0.4868550114139199,0.43637060825400575,0.45387575075313547,0.8559551733124837,0.719791358471131,0.11657386315700667,0.7883394977710103,0.7885481411321373,1.0,0.0,94999.92779828075,78.99070223392408
RADAR,radar,1,2,instance,severe,radar__instance__severe__a1__none__none__unguarded,186081,117634,0.632165562308887,-6.8368076267861895,0.46703054938536315,0.3939886268130913,0.4157905242408684,0.8799570171048371,0.6550620774296766,0.08600143423605838,0.8026252115317423,0.7748140219885254,1.0,0.0,94999.92779828075,66.65739747874463
RADAR,radar,1,3,concept,moderate,radar__concept__moderate__a1__none__none__unguarded,186081,126241,0.6784196129642468,-2.2114025612502086,0.510254167526079,0.5178119663379119,0.5111565063375982,0.8694077682348417,0.8918439133436339,0.12892305745380916,0.8975931057762806,0.8811139045324634,1.0,0.0,94999.92779828075,120.88966892417234
RADAR,radar,1,4,concept,severe,radar__concept__severe__a1__none__none__unguarded,186081,122569,0.6586862710325073,-4.184736754424156,0.4501817877123985,0.47907844895139645,0.4583734594668193,0.8718052328518032,0.851112791347513,0.12044419134396356,0.8856733039554613,0.8758930783543861,1.0,0.0,94999.92779828075,135.06923325895914
RADAR,radar,1,5,splice,moderate,radar__splice__moderate__a1__none__none__unguarded,186081,128859,0.692488754897061,-0.804488367968792,0.5313728260058844,0.5141160394807053,0.5200571883367291,0.8943782134583875,0.8673088091872404,0.09857209145364043,0.9202907163520003,0.8883239995236112,1.0,0.0,94999.92779828075,74.13669365633308
RADAR,radar,1,6,splice,severe,radar__splice__severe__a1__none__none__unguarded,186081,128154,0.6887000822222581,-1.1833556354490793,0.5097146823913168,0.5086061633226622,0.5010352129085891,0.9109741203838325,0.858246490680167,0.08071796169746055,0.9194567459985996,0.8974252053361759,1.0,0.0,94999.92779828075,68.66966502524045
RADAR,radar,2,0,clean,none,radar__clean__none__anone__none__none__unguarded,191161,134065,0.7013198298816181,0.0,0.5701156693605571,0.5450416006308926,0.5539355208609258,0.8976245086845376,0.923749610065509,0.10666273646977081,0.937924912370025,0.9122426741571281,,0.0,94999.92779828075,71.09325980449763
RADAR,radar,2,1,instance,moderate,radar__instance__moderate__a2__none__none__unguarded,191161,119937,0.6274135414650478,-7.390628841657032,0.45983412106494725,0.4284728546593465,0.4339915749314872,0.8493348930884357,0.7323073723614433,0.1315177227316272,0.7770511775863723,0.7998682315623149,1.0,0.0,94999.92779828075,72.85885077554693
RADAR,radar,2,2,instance,severe,radar__instance__severe__a2__none__none__unguarded,191161,113130,0.5918048137433891,-10.9515016138229,0.4320209429259618,0.3302008821425026,0.35717993509236157,0.8635594751276872,0.5467713424144743,0.08746091735006474,0.7556446248794264,0.7807814504802165,1.0,0.0,94999.92779828075,74.39955459792304
RADAR,radar,2,3,concept,moderate,radar__concept__moderate__a2__none__none__unguarded,191161,123655,0.6468631153844142,-5.445671449720391,0.48972457968173944,0.48478105854498066,0.4786860294700558,0.8645887445887446,0.934532598523448,0.14818245939088967,0.9110481375080812,0.8834422448652746,1.0,0.0,94999.92779828075,132.0360678531107
RADAR,radar,2,4,concept,severe,radar__concept__severe__a2__none__none__unguarded,191161,124275,0.6501064547684936,-5.1213375113124515,0.46213425199141495,0.47559743429178103,0.45994409887395715,0.8824686113272624,0.8726317978579599,0.11766377867376909,0.9055584102133605,0.882930552953862,1.0,0.0,94999.92779828075,130.51331962874332
RADAR,radar,2,5,splice,moderate,radar__splice__moderate__a2__none__none__unguarded,191161,129674,0.678349663372759,-2.297016650885908,0.5304760880090034,0.48461481418853825,0.49985499103401987,0.9010240072818295,0.823448060725798,0.09157709677758946,0.9064493493545254,0.8698237440081751,1.0,0.0,94999.92779828075,82.58402097562569
RADAR,radar,2,6,splice,severe,radar__splice__severe__a2__none__none__unguarded,191161,131677,0.6888277420603575,-1.2492087821260656,0.5153777369120811,0.5019368558642008,0.5060041507932395,0.920804058500138,0.9021524383903504,0.07855481045572739,0.9164041297227388,0.908597218553516,1.0,0.0,94999.92779828075,112.99812714927974
