stream,mode,level,detector,filter,metric,mean,std,min,max,count
RBF_I,clean,none,hddm_w,learned_features,macro_recall_difference,-0.008753591752452236,0.009961256481869213,-0.01994529624789143,-0.0008586215080530479,3
RBF_I,clean,none,hddm_w,learned_features,malicious_precision_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features,malicious_recall_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features,roc_auc_difference,-0.006645464426766205,0.0035897596937792186,-0.010450539473552456,-0.0033190492487533696,3
RBF_I,clean,none,hddm_w,learned_features_label,accuracy_difference,-0.011185795814838287,0.0025033025972752442,-0.014039315155358278,-0.009359543436905482,3
RBF_I,clean,none,hddm_w,learned_features_label,average_precision_difference,-0.01580016749182389,0.00942772158396107,-0.02622883461033254,-0.007881372643664175,3
RBF_I,clean,none,hddm_w,learned_features_label,benign_fpr_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features_label,legitimate_withhold_rate_difference,0.04527161276685695,0.05825807087548485,0.004049883745508381,0.11192136968928348,3
RBF_I,clean,none,hddm_w,learned_features_label,macro_f1_difference,-0.01119749789915018,0.0025528033773964034,-0.014098846985974967,-0.009295785451640781,3
RBF_I,clean,none,hddm_w,learned_features_label,macro_precision_difference,-0.011921136869530188,0.0032552329196660046,-0.014970743137903364,-0.008493318347281398,3
RBF_I,clean,none,hddm_w,learned_features_label,macro_recall_difference,-0.010690182195057166,0.00255983216386578,-0.013644853315428973,-0.00914087695380783,3
RBF_I,clean,none,hddm_w,learned_features_label,malicious_precision_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features_label,malicious_recall_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features_label,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hddm_w,learned_features_label,roc_auc_difference,-0.0053275032332606624,0.003422465231661553,-0.009225114377318544,-0.0028132431633107746,3
RBF_I,clean,none,hddm_w,none,accuracy_difference,-0.007871485943775144,0.002498471934998944,-0.010712322976115018,-0.006015641513422154,3
RBF_I,clean,none,hddm_w,none,average_precision_difference,-0.009350929502309277,0.004025712175296585,-0.013256235835959806,-0.005214748147300274,3
RBF_I,clean,none,hddm_w,none,benign_fpr_difference,,,,,0
RBF_I,clean,none,hddm_w,none,legitimate_withhold_rate_difference,0.0562248995983936,0.014480125604273093,0.0441767068273092,0.07228915662650609,3
RBF_I,clean,none,hddm_w,none,macro_f1_difference,-0.00811878775481334,0.002124092196782652,-0.01053741146490872,-0.006556683932515406,3
RBF_I,clean,none,hddm_w,none,macro_precision_difference,-0.00784103935938226,0.0028501148353568843,-0.011131042756929999,-0.006124884250186646,3
RBF_I,clean,none,hddm_w,none,macro_recall_difference,-0.008292985867634902,0.0020934221026589726,-0.010600970922191477,-0.006516643084585216,3
RBF_I,clean,none,hddm_w,none,malicious_precision_difference,,,,,0
RBF_I,clean,none,hddm_w,none,malicious_recall_difference,,,,,0
RBF_I,clean,none,hddm_w,none,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hddm_w,none,roc_auc_difference,-0.003783417666750758,0.004112573201008675,-0.006521252849838399,0.0009457755409204571,3
RBF_I,clean,none,hellinger,learned_features,accuracy_difference,0.00158247023180443,0.006216063919550381,-0.0026336926653983683,0.008721200591841005,3
RBF_I,clean,none,hellinger,learned_features,average_precision_difference,0.0024333134034381456,0.007968175169841782,-0.0033291867194578106,0.0115264077793793,3
RBF_I,clean,none,hellinger,learned_features,benign_fpr_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features,legitimate_withhold_rate_difference,-0.022767561473966042,0.01989071440357704,-0.03687169731557813,-1.6909744240095614e-05,3
RBF_I,clean,none,hellinger,learned_features,macro_f1_difference,0.001923186166023938,0.006040255580838382,-0.0023396230958556696,0.008835388887186157,3
RBF_I,clean,none,hellinger,learned_features,macro_precision_difference,0.0012576302853708106,0.007232984823211651,-0.0032132118588766856,0.009602449637499344,3
RBF_I,clean,none,hellinger,learned_features,macro_recall_difference,0.0021723848519700217,0.005380852116715599,-0.002164795247590834,0.008193924562717059,3
RBF_I,clean,none,hellinger,learned_features,malicious_precision_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features,malicious_recall_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features,poison_admission_rate_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features,roc_auc_difference,0.001351526179946087,0.0034281316055126574,-0.0015029343405621454,0.005153862260444786,3
RBF_I,clean,none,hellinger,learned_features_label,accuracy_difference,-0.013154371873458729,0.023452431601031307,-0.03991967871485946,0.003796237581906614,3
RBF_I,clean,none,hellinger,learned_features_label,average_precision_difference,-0.020639408449800833,0.03357088279876752,-0.05924223727517197,0.0017231130988579757,3
RBF_I,clean,none,hellinger,learned_features_label,benign_fpr_difference,,,,,0
RBF_I,clean,none,hellinger,learned_features_label,legitimate_withhold_rate_difference,0.08274360600295923,0.0836299873382489,0.003918833227647495,0.1704671316846333,3
RBF_I,clean,none,hellinger,learned_features_label,macro_f1_difference,-0.013394854149959482,0.023334892824452762,-0.04002764918785173,0.003462432308351082,3
RBF_I,clean,none,hellinger,learned_features_label,macro_precision_difference,-0.013795547541104125,0.02389934218761357,-0.04107607691923332,0.0034513907729809556,3
RBF_I,clean,none,hellinger,learned_features_label,macro_recall_difference,-0.012773512205784302,0.022602119390817507,-0.038541554828190994,0.0036968422625787145,3
RBF_I,clean,none,hellinger,learned_features_label,malicious_precision_difference,,,,,0
