condition,stream,mode,level,base_key,attack_seed,detector,filter,activation_row,host_rows,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hellinger,learned_features,1000,236550,0.8958444303529909,0.8958444303529909,0.0,0.8842604735613491,0.8842604735613491,0.0,0.9024382131641756,0.9024382131641756,0.0,0.872939973327376,0.872939973327376,0.0,0.9267127321568366,0.9267127321568366,0.0,0.9111738287426434,0.9111738287426434,0.0,,,,,,,,,,0.8031908620718702,0.8031908620718702,0.0,0.1984051288707793,0.1984051288707793,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,d3_oof,learned_features,1000,236550,0.8958444303529909,0.8958444303529909,0.0,0.8842604735613491,0.8842604735613491,0.0,0.9024382131641756,0.9024382131641756,0.0,0.872939973327376,0.872939973327376,0.0,0.9267127321568366,0.9267127321568366,0.0,0.9111738287426434,0.9111738287426434,0.0,,,,,,,,,,0.8031908620718702,0.8031908620718702,0.0,0.1984051288707793,0.1984051288707793,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,adwin,learned_features_label,1000,236550,0.9162333544705136,0.9,0.01623335447051355,0.909052373876698,0.8899640261752598,0.01908834770143819,0.914084374976054,0.9020940831995298,0.01199029177652422,0.9048059309637289,0.8814503127796747,0.023355618184054183,0.9316897817340206,0.93015374894661,0.0015360327874106572,0.9169379470969048,0.9156425491818632,0.0012953979150416295,,,,,,,,,,0.2165540711289317,0.2216419293427902,-0.005087858213858487,0.1223242453144311,0.0991969208715919,0.0231273244428392
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hddm_w,learned_features_label,1000,236550,0.9,0.9,0.0,0.8899640261752598,0.8899640261752598,0.0,0.9020940831995298,0.9020940831995298,0.0,0.8814503127796747,0.8814503127796747,0.0,0.93015374894661,0.93015374894661,0.0,0.9156425491818632,0.9156425491818632,0.0,,,,,,,,,,0.2216419293427902,0.2216419293427902,0.0,0.0991969208715919,0.0991969208715919,0.0
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,hellinger,learned_features_label,1000,236550,0.9116465863453816,0.9,0.011646586345381627,0.903404400729376,0.8899640261752598,0.013440374554116175,0.9120937999110156,0.9020940831995298,0.009999716711485807,0.8967475454205759,0.8814503127796747,0.015297232640901215,0.931366287676158,0.93015374894661,0.0012125387295480738,0.9177931531896166,0.9156425491818632,0.002150604007753465,,,,,,,,,,0.212241184695992,0.2216419293427902,-0.009400744646798187,0.1375054319301552,0.0991969208715919,0.03830851105856328
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,0.0,d3_oof,learned_features_label,1000,236550,0.9,0.9,0.0,0.8899640261752598,0.8899640261752598,0.0,0.9020940831995298,0.9020940831995298,0.0,0.8814503127796747,0.8814503127796747,0.0,0.93015374894661,0.93015374894661,0.0,0.9156425491818632,0.9156425491818632,0.0,,,,,,,,,,0.2216419293427902,0.2216419293427902,0.0,0.0991969208715919,0.0991969208715919,0.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,adwin,none,1000,200990,0.9157221752325988,0.901393104134534,0.014329071098064805,0.9083289114838726,0.8914389767139543,0.01688993476991829,0.9148895536835806,0.9046242016032606,0.010265352080319978,0.9030283711545932,0.8823965288700373,0.020631842284555946,0.9289988684072368,0.9270615706707992,0.001937297736437582,0.9149400261334362,0.9123360117165192,0.0026040144169169332,,,,,,,,,,0.6013217097862767,0.8137514060742407,-0.21242969628796393,0.3264988307876014,0.1230260211950843,0.2034728095925171
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,hddm_w,none,1000,200990,0.9165829145728644,0.901393104134534,0.015189810438330453,0.909262648717255,0.8914389767139543,0.017823672003300706,0.9158525577799834,0.9046242016032606,0.011228356176722798,0.9039392728050494,0.8823965288700373,0.0215427439350121,0.9290724715839191,0.9270615706707992,0.0020109009131199507,0.914376124168672,0.9123360117165192,0.0020401124521527425,,,,,,,,,,0.5915073115860517,0.8137514060742407,-0.22224409448818894,0.3294890293049405,0.1230260211950843,0.2064630081098562
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,hellinger,none,1000,200990,0.9041892631474204,0.901393104134534,0.0027961590128864344,0.8950710790622346,0.8914389767139543,0.003632102348280264,0.9051965174973186,0.9046242016032606,0.0005723158940579287,0.8876379892871746,0.8823965288700373,0.005241460417137356,0.9227642134252644,0.9270615706707992,-0.004297357245534816,0.9045122445314628,0.9123360117165192,-0.007823767185056396,,,,,,,,,,0.8264623172103487,0.8137514060742407,0.012710911136108005,0.1110950793571819,0.1230260211950843,-0.0119309418379024
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,d3_oof,none,1000,200990,0.901393104134534,0.901393104134534,0.0,0.8914389767139543,0.8914389767139543,0.0,0.9046242016032606,0.9046242016032606,0.0,0.8823965288700373,0.8823965288700373,0.0,0.9270615706707992,0.9270615706707992,0.0,0.9123360117165192,0.9123360117165192,0.0,,,,,,,,,,0.8137514060742407,0.8137514060742407,0.0,0.1230260211950843,0.1230260211950843,0.0
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,adwin,learned_features,1000,200990,0.9128265087815314,0.899014876362008,0.013811632419523323,0.9049021869047376,0.8885454090147153,0.01635677789002221,0.9130092739284223,0.9031864240337109,0.009822849894711494,0.8986146577816669,0.8788160585457343,0.019798599235932635,0.9273917848992546,0.9240063404051848,0.003385444494069745,0.9144007063806484,0.9086346714226184,0.005766034958029964,,,,,,,,,,0.6365579302587177,0.8967097862767154,-0.26015185601799773,0.3133041444848002,0.1073784765411214,0.2059256679436788
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,hddm_w,learned_features,1000,200990,0.9084979352206576,0.899014876362008,0.009483058858649529,0.9001795079208453,0.8885454090147153,0.011634098906129986,0.9082006449763138,0.9031864240337109,0.005014220942602954,0.8939681017595587,0.8788160585457343,0.015152043213824351,0.9245769083188876,0.9240063404051848,0.0005705679137028019,0.9113801536303664,0.9086346714226184,0.0027454822077479513,,,,,,,,,,0.6363610798650169,0.8967097862767154,-0.2603487064116985,0.3400965222150355,0.1073784765411214,0.2327180456739141
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,hellinger,learned_features,1000,200990,0.9103487735708244,0.899014876362008,0.01133389720881639,0.9019016762983024,0.8885454090147153,0.013356267283587075,0.9116834229556832,0.9031864240337109,0.00849699892197231,0.8946214963548555,0.8788160585457343,0.015805437809121248,0.9288580572750564,0.9240063404051848,0.004851716869871625,0.9144659535773,0.9086346714226184,0.0058312821546815385,,,,,,,,,,0.7516029246344207,0.8967097862767154,-0.1451068616422947,0.2297825762475745,0.1073784765411214,0.1224040997064531
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,d3_oof,learned_features,1000,200990,0.8984427085924673,0.899014876362008,-0.0005721677695407212,0.8878417044399229,0.8885454090147153,-0.0007037045747924076,0.9028683463357728,0.9031864240337109,-0.0003180776979380129,0.8779366167349842,0.8788160585457343,-0.000879441810750059,0.9256103271125828,0.9240063404051848,0.0016039867073980307,0.9111894108843784,0.9086346714226184,0.0025547394617599917,,,,,,,,,,0.8589426321709787,0.8967097862767154,-0.03776715410573672,0.1275685357480471,0.1073784765411214,0.02019005920692571
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,adwin,learned_features_label,1000,200990,0.9230508980546296,0.9014080302502612,0.021642867804368415,0.9167235111486448,0.8914117794646124,0.025311731684032446,0.9207454785836032,0.9048456625807864,0.01589981600281687,0.9132228415726724,0.8822442761737602,0.030978565398912195,0.933873921837882,0.9282110789871256,0.0056628428507563555,0.9201327493453734,0.9142677311196636,0.005865018225709728,,,,,,,,,,0.4668728908886389,0.532845894263217,-0.06597300337457812,0.1973580775162943,0.1167321757301358,0.0806259017861585
SEA_A__base_s0__concept__moderate__a0,SEA_A,concept,moderate,SEA_A__base_s0,0.0,hddm_w,learned_features_label,1000,200990,0.9014080302502612,0.9014080302502612,0.0,0.8914117794646124,0.8914117794646124,0.0,0.9048456625807864,0.9048456625807864,0.0,0.8822442761737602,0.8822442761737602,0.0,0.9282110789871256,0.9282110789871256,0.0,0.9142677311196636,0.9142677311196636,0.0,,,,,,,,,,0.532845894263217,0.532845894263217,0.0,0.1167321757301358,0.1167321757301358,0.0
