condition,stream,mode,level,base_key,attack_seed,activation_row,host_rows,detector,filter,accuracy,macro_precision,macro_recall,macro_f1,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,scored_resets,source_summary_sha256,source_predictions_sha256,scoring_mask_sha256,withholding_mask_sha256,reused_frozen_inference
RBF_I__base_s0__splice__severe__a0,RBF_I,splice,severe,RBF_I__base_s0,0.0,1000,177086,none,none,0.6423658561376958,0.64444388184818,0.6426824065843879,0.6427288985776648,,,,0.8533008383352312,0.6876342195406652,0.711707924122158,0.2518945597054538,0.0,0.0,0,250000,237500,175750,0,0,15.152948832999755,False,12500,none,True,0,db7c7bd5a72b968c59534f2110150b59d179d1b716154e07664bf1e7b0a830e0,ce57b8ae70cdc63c266a3ce76129059d49732c6274513677ef532bf9b6a211c3,e7325aaf873709e64d232818a2d0f8ea3e5a8cdfc638cd6ae64fb2e30703b426,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,,1000,236550,none,learned_features,0.6869456774466286,0.6914799901433234,0.6837272968242839,0.6864536066796024,,,,0.8723744224034911,0.7463842531923375,,0.2754174593109279,,0.0707292327203551,16731,250000,220769,172350,0,0,16.321095958000114,False,12500,none,True,0,ca73a9898bde52cbe279313d81347422ab6995e9db0c8fc1d2f99ddbc256f9c2,7a8275b4b3d6cb026fda1fdd6bd2604d70a3445f326ebe05d77b565321f0375b,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,320896726db525e14be94e6a500720a2c52041886f248540939f94aecfd0a6c0,True
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,,1000,236550,none,learned_features_label,0.6959078418938913,0.6991754149052528,0.6930520903576384,0.6951516297607494,,,,0.8733352574016781,0.746402479179297,,0.21491016698372437,,0.021948848023673643,5192,250000,232308,186663,0,0,18.72190316699971,False,12500,none,True,0,3f43c11d39304a75931cde0efb1df8ebf2fcd279d5a4fc11285e3254f7d3eca1,622bef163696689a8c75ad5d6ec2c147ba0d6d93d25bd057b601a9e80824f6b6,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,0ae100113eb76a41a0041127889cae377199fa54ec89ea9acf0212352023f50e,True
RBF_I__base_s1__clean__none__anone,RBF_I,clean,none,RBF_I__base_s1,,1000,236550,none,none,0.708860705981822,0.7118033328441278,0.7071781808091511,0.7086757455049335,,,,0.8788413503373322,0.7626763590577808,,0.17269076305220885,,0.0,0,250000,237500,196650,0,0,18.944189791999634,False,12500,none,True,0,e5c7fb0488237ece690b5e1f5bbc17770439b7f20ff45c41de82f31b3ab62e17,d7b630ba396cda6bb2e810f92562ecf59cea8f3d30a88e4b2424f5bccd8b368e,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,1.0,1000,201008,none,learned_features,0.6677395924540317,0.6687226810699489,0.66520407541895,0.6662678011431561,,,,0.8544181517974353,0.7133635689270372,0.6364864104439818,0.27331747990129746,0.0641494569804738,0.07241502825758178,16836,250000,220664,169641,0,0,15.864082792000318,False,12500,none,True,0,be3f58345e4ed89f07eddb2892743731981a754d828fb615a999c2b0e43b42dc,73ab61f08c8197fbbab3b51e06b066e52d5d3a344fa6f5e0dbe00b5d036f95dd,03db4f94f011979a4fc7234539de30562ccc503d1f02fad94b5b95f3ab8acd40,1c386defd8ce5d58ceb603692ede61eab4cde6b3df630a255758e649ad400539,True
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,1.0,1000,201008,none,learned_features_label,0.6814902889437237,0.6840596116619108,0.6814670910231498,0.6804786824479885,,,,0.8665783666187108,0.7331227293056264,0.6823195093129255,0.20842454031680333,0.034241179449665184,0.023033909098145348,5847,250000,231653,184314,0,0,16.289100292000057,False,12500,none,True,0,4d1535e566c378005c98e57ebbf211d71fca35115b8b7008ecaa238f335a9e10,b64486c1904a3e3e95d72d47f4ec7e6cac9ba724453529e439f5d5e07cc229b8,03db4f94f011979a4fc7234539de30562ccc503d1f02fad94b5b95f3ab8acd40,a4ff61a8ab181137bcd0b6e63037304c9afedc3102fd22ee2e2797dd6b9c4a34,True
RBF_I__base_s1__concept__moderate__a1,RBF_I,concept,moderate,RBF_I__base_s1,1.0,1000,201008,none,none,0.6868383347926451,0.6880607757037606,0.6862751188112758,0.6861535628900037,,,,0.8681351430038422,0.7327820788702963,0.768161611614428,0.17641088911884104,0.0,0.0,0,250000,237500,193800,0,0,16.502648916,False,12500,none,True,0,b4dfe2a05ed9ff5e2098a0346abd63f5457db7c2ea99914d0b417617e5c729dd,f662de6fd5f14d4f064622bf9e7e08030b9e020f150e1b0224238b54f42bc864,03db4f94f011979a4fc7234539de30562ccc503d1f02fad94b5b95f3ab8acd40,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,1.0,1000,177191,none,learned_features,0.6594578731425411,0.6592178561871519,0.661877885898358,0.6591654634645936,,,,0.8561178585074627,0.7180193645829236,0.6553850300712613,0.283191584222675,0.06366347141966677,0.07414597806886354,16917,250000,220583,166865,0,0,15.556788875000166,False,12500,none,True,0,3914d406ac847f65be6ba4441bc304fb72eddb858ba73365d20f474245013a5b,598ca1deca7bffd69170d355114e2f833a02e8febc06d7795ef579b7b1a15941,a1bd31a4110b3b4653634976ba39dd6560a1bb19ac98522482554a3504c6d6f3,b952dea7cbf6b1dcbe5566fbf639c33c7e5984dfcaf07382de9a8fdfaa727a38,True
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,1.0,1000,177191,none,learned_features_label,0.6777375826085975,0.6801014910764062,0.6760224829436705,0.675992895584001,,,,0.8644406489581189,0.728777328567114,0.6249094492831753,0.26563990270386195,0.035192641385468085,0.024126507553995407,6364,250000,231136,168166,0,0,16.738463624999895,False,12500,none,True,0,5a9e623d771a75100807b55f68ea9d504289ce1b2dddb481e666daf3c21714c8,bd8c53d12b831cdcbc5db98a037a6ce2420f9e8eea6dbb691b45d184da84fd3b,a1bd31a4110b3b4653634976ba39dd6560a1bb19ac98522482554a3504c6d6f3,bbbb96aa55ac61ccd27fbf8e0474a1ca9b560168dcecc46b876395fad0fd6efd,True
RBF_I__base_s1__concept__severe__a1,RBF_I,concept,severe,RBF_I__base_s1,1.0,1000,177191,none,none,0.6838383439339469,0.683723894091064,0.6821126263784363,0.6819194691090298,,,,0.8658907627181469,0.731231978615851,0.6319681935342577,0.1876731888188452,0.0,0.0,0,250000,237500,182400,0,0,17.396211499999936,False,12500,none,True,0,e9400f73b09ff779fcabde76d6bd5b61d7c033a52ee0d19c33ee6a863c804eaf,35a55b9f5b437934350100502136cade486d70c658b00e812558b962746b2c5a,a1bd31a4110b3b4653634976ba39dd6560a1bb19ac98522482554a3504c6d6f3,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,1.0,1000,236550,none,learned_features,0.6641048404142887,0.6727909434387752,0.6624926562700293,0.6632870490817327,,,,0.8611876882005327,0.7146385308483119,0.7149868192271019,0.2838191665173327,0.07187727859105951,0.0705254564641698,16731,250000,220769,170320,0,0,16.133265042000403,False,12500,none,True,0,3711e1b03c26e3f396f2b8dcac66feb88ad459c20e4028314383ae046bbf0440,b3e78253c4386ade008c57067a73c43dd27c99cbd0e7ae745e295a27b9e86e91,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,320896726db525e14be94e6a500720a2c52041886f248540939f94aecfd0a6c0,True
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,1.0,1000,236550,none,learned_features_label,0.6743944197844007,0.6802535358048697,0.6731529060864586,0.6721376373341029,,,,0.8612896794041655,0.7127177984093056,0.8257333557686914,0.18688150847221394,0.0023837568007179315,0.02176293729964359,4457,250000,233043,193743,0,0,17.080317208999986,False,12500,none,True,0,ae7a7fd31aa94f546f8abf5b936c87531108b17f2c609f5019c33acc175e6401,926117ece562f74f47cf62cad9e19e61b1d712c169e27f0c318b75f0cec78299,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,8fdbba544cde848026cea3cee2c2212ec27786b7fc47847d8e187d8743d75865,True
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,RBF_I__base_s1,1.0,1000,236550,none,none,0.6779243288945255,0.6823505387511393,0.6773732801288526,0.6764276244041532,,,,0.8648739943432718,0.7179143294142892,0.7189971394918392,0.27641717937996535,0.0,0.0,0,250000,237500,171950,0,0,15.845682291999765,False,12500,none,True,0,acee18bfb74c748dec00ee209834f7e66df3303652ea78ba0bbae164f49485af,67eb77b1566e4b1ee61d2a7d54c777a99dd34d233da67f7c8b481ea31f9f835d,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,1.0,1000,236550,none,learned_features,0.656580004227436,0.6714340273082289,0.6540627536054412,0.654800879377254,,,,0.8547001706897573,0.6954467005878389,0.7466707123832642,0.25296228586905006,0.07246889855365632,0.07014692937910488,16731,250000,220769,177640,0,0,15.395453208000163,False,12500,none,True,0,4008478bf440cb3e2dffa4307639b41fe02cedda4b5cc28c4d70f1f70cf6f3eb,40722a772a233cf74cb1640cfee41637a74c598fa2914bf866ce77a20adf5912,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,320896726db525e14be94e6a500720a2c52041886f248540939f94aecfd0a6c0,True
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,1.0,1000,236550,none,learned_features_label,0.6550158528852251,0.6740493053157443,0.6516954994988451,0.6524936496483446,,,,0.8553050239332043,0.6937406699479925,0.7336907049661171,0.2822296702552644,0.002545430025960015,0.02188706073532399,4030,250000,233470,171683,0,0,15.717481082999711,False,12500,none,True,0,e30db70f40a3328b4c80945ffe9b4c1fd626e26f6fbe2ba72fc342537f30b286,89aa970bd95f42a742c9c8c36ad630463b74bb305f0509430666055f1e7b47e7,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,0510cbf66d2fa298bfd2edfb10954e4cfc4a44c6e003234f87a91c538c1671a7,True
RBF_I__base_s1__instance__severe__a1,RBF_I,instance,severe,RBF_I__base_s1,1.0,1000,236550,none,none,0.6520566476432044,0.6655300274006449,0.650173352639597,0.6514177653241249,,,,0.8492526286756069,0.6872663278069746,0.784211590978052,0.21186832780373305,0.0,0.0,0,250000,237500,187150,0,0,15.941924250000284,False,12500,none,True,0,123b0395842a98fca4fbf7f73145808f0503b71213693f21f2945085b3ef01d4,d678126302ce2dfbed5da3e607fe6a6ca4246845fc2d6053af0e9ab9624de9b6,5f242c2069e641b78ea89196af607bdebc60cc4e44a34394fbfe7052144bbf21,2a60e85386d2ea13abc91fa6589fa30195be596086698e19b8089566b7c5807e,True
RBF_I__base_s1__splice__moderate__a1,RBF_I,splice,moderate,RBF_I__base_s1,1.0,1000,200920,none,learned_features,0.6699781007366116,0.6725098727978169,0.6674421259110751,0.6693862787928259,,,,0.8594069174331365,0.7184433747468705,0.5134717934325007,0.30664941270157275,0.07437552624193096,0.07281007366115867,17279,250000,220221,158553,0,0,15.973954041999605,False,12500,none,True,0,d1c54694837bd4ff4f959cc47476b7ade4179e7aca574609e3268a5047119689,e90befdfefe7e5e7ef1634ff44d5d77f993413bbf0654c8bbd2e733108a26ec4,7d0c1ffab0d7178725405304b42a78d1ed92a8ac0c58afdea6cc35488aa8b28a,4239a6af36c6a05818f5de579e701d9763067a64ef3c4e60d2874a7c6b195a26,True
