stream,detector,filter,population,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference
SEA_A,d3_oof,learned_features,attacked,0.9059466197579132,0.8994618179638897,0.0064848017940235475,0.8969120933697522,0.8892586824139622,0.00765341095578995,0.9076863115061712,0.9030951797115523,0.004591131794619021,0.8893422860498278,0.879980514527907,0.009361771521920723,0.9292350484593221,0.9273243214366825,0.0019107270226396689,0.9143797711764091,0.9119582913755689,0.0024214798008402563,,,,,,,,,,0.8001347171478271,0.8384711605881403,-0.03833644344031307,0.17904100863249714,0.15169458198904423,0.0273464266434529
SEA_A,d3_oof,learned_features,clean,0.9122637920101457,0.9013147326146692,0.010949059395476598,0.903868298165779,0.8913071653336884,0.012561132832090557,0.9146872917788259,0.9052800566663913,0.009407235112434723,0.8962341825592398,0.8819066365436944,0.014327546015545423,0.9325125533100711,0.9301010139438888,0.002411539366182325,0.9175966507070421,0.9143633558268093,0.0032332948802328287,,,,,,,,,,,,,0.14529979567392373,0.12999647713661658,0.01530331853730714
SEA_A,d3_oof,learned_features_label,attacked,0.9053891263587609,0.9009981141269502,0.004391012231810672,0.8962331269293187,0.8911367402408872,0.005096386688431469,0.9073742949913458,0.9039926020389845,0.003381692952361385,0.8884072664789903,0.882301922357359,0.006105344121631064,0.9296511898570844,0.9293375125377654,0.0003136773193188922,0.9155956639948256,0.9151645865579718,0.00043107743685383905,,,,,,,,,,0.5363539072392554,0.543279998326455,-0.006926091087199757,0.12286227211864081,0.11691576719405015,0.00594650492459066
SEA_A,d3_oof,learned_features_label,clean,0.9019291199887268,0.9019291199887268,0.0,0.8918750693633202,0.8918750693633202,0.0,0.9063988454084645,0.9063988454084645,0.0,0.8822297731521612,0.8822297731521612,0.0,0.927679729959671,0.927679729959671,0.0,0.9135539832970389,0.9135539832970389,0.0,,,,,,,,,,,,,0.12080462199675894,0.12080462199675894,0.0
SEA_A,d3_oof,none,attacked,0.9065585974025817,0.9006010831364132,0.005957514266168547,0.8975729905344498,0.8905691432368424,0.007003847297607544,0.9085002399288885,0.9041425086366157,0.004357731292272688,0.8899310866343212,0.8814014750847634,0.008529611549557595,0.9291983206503023,0.9279947134327288,0.0012036072175735163,0.9141057240198321,0.9127611504358047,0.0013445735840272434,,,,,,,,,,0.8510627975182724,0.8722084048259638,-0.021145607307691456,0.12790310905798183,0.11174971691317777,0.016153392144804078
SEA_A,d3_oof,none,clean,0.914132318748679,0.9026985133516522,0.01143380539702669,0.9058839400497821,0.8929121581504473,0.012971781899334752,0.9169329010086935,0.9064700213953153,0.010462879613378292,0.8979787872560623,0.8836935156466538,0.014285271609408623,0.9326803824494068,0.9302991627693825,0.00238121968002436,0.9181741787560976,0.9144662331789619,0.0037079455771357925,,,,,,,,,,,,,0.10575635876840694,0.08835341365461845,0.017402945113788496
SEA_A,hddm_w,learned_features,attacked,0.9114980090385719,0.8994618179638897,0.012036191074682087,0.9035776118015706,0.8892586824139622,0.014318929387608467,0.9111717043275843,0.9030951797115523,0.008076524616032144,0.8978029540360347,0.879980514527907,0.017822439508127768,0.9301216614278812,0.9273243214366825,0.002797339991198855,0.9156500418635569,0.9119582913755689,0.003691750487988014,,,,,,,,,,0.7566409013925045,0.8384711605881403,-0.08183025919563568,0.2224610162671794,0.15169458198904423,0.07076643427813516
SEA_A,hddm_w,learned_features,clean,0.9074966532797859,0.9013147326146692,0.006181920665116618,0.8985837262944009,0.8913071653336884,0.00727656096071246,0.909648273562527,0.9052800566663913,0.004368216896135683,0.8909497756152893,0.8819066365436944,0.009043139071594855,0.9316281810637549,0.9301010139438888,0.001527167119866076,0.9160110895189374,0.9143633558268093,0.0016477336921281542,,,,,,,,,,,,,0.13258789544141478,0.12999647713661658,0.002591418304798171
SEA_A,hddm_w,learned_features_label,attacked,0.9013565393586127,0.9009981141269502,0.0003584252316624317,0.8915754795433312,0.8911367402408872,0.00043873930244399856,0.9041832325657154,0.9039926020389845,0.0001906305267309554,0.8828711424932444,0.882301922357359,0.0005692201358853153,0.9293685677326972,0.9293375125377654,3.1055194931788816e-05,0.9151267865511125,0.9151645865579718,-3.7800006859495865e-05,,,,,,,,,,0.542009765741284,0.543279998326455,-0.0012702325851710729,0.11817632042151512,0.11691576719405015,0.001260553227464972
SEA_A,hddm_w,learned_features_label,clean,0.9019291199887268,0.9019291199887268,0.0,0.8918750693633202,0.8918750693633202,0.0,0.9063988454084645,0.9063988454084645,0.0,0.8822297731521612,0.8822297731521612,0.0,0.927679729959671,0.927679729959671,0.0,0.9135539832970389,0.9135539832970389,0.0,,,,,,,,,,,,,0.12080462199675894,0.12080462199675894,0.0
