stream,detector,arm,mode,level,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
RBF_I,d3_oof,no_reset,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.4629027089977171,,
RBF_I,d3_oof,no_reset,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.4480130409938283,,
RBF_I,d3_oof,no_reset,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.4653241249907296,,
RBF_I,d3_oof,q_alarm_7,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.49636716600798536,,
RBF_I,d3_oof,q_alarm_7,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.5072240000008605,,
RBF_I,d3_oof,q_alarm_7,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.4981945830077166,,
RBF_I,d3_oof,q_alarm_7,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.5175281249976251,,
RBF_I,d3_oof,q_alarm_persistence_7,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.48999141600506846,,
RBF_I,d3_oof,q_alarm_persistence_7,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.5089397500123596,,
RBF_I,d3_oof,q_alarm_persistence_7,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.47823829199478496,,
RBF_I,d3_oof,q_alarm_persistence_7,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.4999528750049649,,
RBF_I,d3_oof,selected_map,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.4803647090011509,,
RBF_I,d3_oof,selected_map,clean,none,0.05,1,0.3742956620695437,0.39311004784688997,,0.45454545454545453,0.0,11400.0,0.5011909589957213,,
RBF_I,d3_oof,selected_map,instance,severe,0.01,5,0.361688645667891,0.38976076555023925,0.36653805682216767,0.6374522963547835,0.0,11400.0,0.49697579100029543,,
RBF_I,d3_oof,selected_map,instance,severe,0.05,1,0.39118228682416456,0.42028708133971293,0.554191511750263,0.457823397815502,0.0,11400.0,0.5129211669991491,,
RBF_I,hddm_w,confirmed,clean,none,0.01,5,0.35553604631530256,0.36679425837320573,,0.8181818181818182,0.0,11400.0,0.4581068330007838,,
