stream,mode,level,detector,filter,accuracy_confirmed,accuracy_no_reset,accuracy_difference,macro_f1_confirmed,macro_f1_no_reset,macro_f1_difference,macro_precision_confirmed,macro_precision_no_reset,macro_precision_difference,macro_recall_confirmed,macro_recall_no_reset,macro_recall_difference,roc_auc_confirmed,roc_auc_no_reset,roc_auc_difference,average_precision_confirmed,average_precision_no_reset,average_precision_difference,malicious_precision_confirmed,malicious_precision_no_reset,malicious_precision_difference,malicious_recall_confirmed,malicious_recall_no_reset,malicious_recall_difference,benign_fpr_confirmed,benign_fpr_no_reset,benign_fpr_difference,poison_admission_rate_confirmed,poison_admission_rate_no_reset,poison_admission_rate_difference,legitimate_withhold_rate_confirmed,legitimate_withhold_rate_no_reset,legitimate_withhold_rate_difference,category
SEA_A,splice,severe,hddm_w,learned_features,0.902046577676173,0.902046577676173,0.0,0.892479571693766,0.892479571693766,0.0,0.9036286731141349,0.9036286731141349,0.0,0.8844954232274983,0.8844954232274983,0.0,0.930066400910134,0.930066400910134,0.0,0.914466334861018,0.914466334861018,0.0,,,,,,,,,,0.8427941376811668,0.8427941376811668,0.0,0.1398413906198891,0.1398413906198891,0.0,6
SEA_A,splice,severe,hddm_w,learned_features_label,0.9025580304269911,0.9025580304269911,0.0,0.8930238072723634,0.8930238072723634,0.0,0.9043222720573737,0.9043222720573737,0.0,0.8849578037391129,0.8849578037391129,0.0,0.9280125819569841,0.9280125819569841,0.0,0.9135374937645958,0.9135374937645958,0.0,,,,,,,,,,0.8732384886975826,0.8732384886975826,0.0,0.11838921691740455,0.11838921691740455,0.0,6
SEA_A,splice,severe,hddm_w,none,0.9108666980910133,0.9040408812387873,0.006825816852225941,0.9026755649670001,0.8948057916887274,0.007869773278272577,0.9110071862578089,0.9052698252852189,0.0057373609725898484,0.8964276580156367,0.8871777040744558,0.009249953941180925,0.9322287368958518,0.9306799828878697,0.00154875400798223,0.9174021153968296,0.9154875774877856,0.001914537909043908,,,,,,,,,,0.8472694317674999,0.902639328260157,-0.055369896492657,0.12754402846402732,0.09248285492146358,0.035061173542563766,6
SEA_A,splice,severe,hellinger,learned_features,0.9148976755422987,0.902046577676173,0.012851097866125705,0.9072837212452748,0.892479571693766,0.014804149551508808,0.9145178965633983,0.9036286731141349,0.010889223449263574,0.9015841189579733,0.8844954232274983,0.01708869573047489,0.9333044353691067,0.930066400910134,0.0032380344589727126,0.9183756507944693,0.914466334861018,0.0039093159334512295,,,,,,,,,,0.8168933024746409,0.8427941376811668,-0.0259008352065259,0.17538407943582843,0.1398413906198891,0.035542688815939305,6
SEA_A,splice,severe,hellinger,learned_features_label,0.915650610476115,0.9025580304269911,0.013092580049123911,0.9081203950891519,0.8930238072723634,0.01509658781678865,0.9152025116072603,0.9043222720573737,0.01088023954988652,0.902528888969799,0.8849578037391129,0.01757108523068618,0.9308118202019506,0.9280125819569841,0.0027992382449665287,0.9176569727526812,0.9135374937645958,0.004119478988085327,,,,,,,,,,0.8504198127718915,0.8732384886975826,-0.02281867592569109,0.14127609189335597,0.11838921691740455,0.02288687497595143,6
SEA_A,splice,severe,hellinger,none,0.9157780777034265,0.9040408812387873,0.011737196464639147,0.9080836974912131,0.8948057916887274,0.013277905802485593,0.9162366406885986,0.9052698252852189,0.010966815403379552,0.9017650769462201,0.8871777040744558,0.014587372871764223,0.9329345586436234,0.9306799828878697,0.0022545757557537183,0.9187540583371264,0.9154875774877856,0.0032664808493406694,,,,,,,,,,0.8055134949490604,0.902639328260157,-0.09712583331109648,0.1814739178259431,0.09248285492146358,0.08899106290447954,6
radar,clean,none,adwin,learned_features,0.7547802399287548,0.7908219393367908,-0.03604169940803603,0.2333607452235463,0.2619749261833117,-0.028614180959765395,0.2469540656789163,0.2685943282579897,-0.021640262579073366,0.3183838862064059,0.4128319291265457,-0.09444804292013981,0.7644704069251542,0.9388004782855148,-0.1743300713603606,0.3767214963110818,0.7056608290236048,-0.328939332712523,0.4166474308665343,0.5426574069815573,-0.12600997611502301,0.668766209707299,0.8743238236383846,-0.20555761393108551,0.2010149377197308,0.1581902928683921,0.04282464485133872,,,,0.172759335345235,0.0415009271715812,0.1312584081736538,0
radar,clean,none,adwin,learned_features_label,0.7694483734087695,0.7965451307035466,-0.02709675729477712,0.2350067650108177,0.2787328310546588,-0.043726066043841105,0.2490497044590988,0.3051779767622099,-0.056128272303111126,0.3847301494584092,0.4148288846571695,-0.030098735198760274,0.8467178833302638,0.9375444952002436,-0.09082661186997987,0.4044711408351591,0.7241016596005211,-0.31963051876536197,0.4667135254543629,0.5523725508403752,-0.08565902538601228,0.6888477213782882,0.8815857725083365,-0.19273805113004827,0.1689759946548734,0.1533701341054071,0.015605860549466305,,,,0.2076646184052648,0.0631494746027706,0.1445151438024942,0
radar,clean,none,adwin,none,0.7547802399287548,0.7908219393367908,-0.03604169940803603,0.2333607452235463,0.2619749261833117,-0.028614180959765395,0.2469540656789163,0.2685943282579897,-0.021640262579073366,0.3183838862064059,0.4128319291265457,-0.09444804292013981,0.7644667856040391,0.9388004782855148,-0.1743336926814757,0.3767152041280291,0.7056608290236048,-0.3289456248955757,0.4166474308665343,0.5426574069815573,-0.12600997611502301,0.668766209707299,0.8743238236383846,-0.20555761393108551,0.2010149377197308,0.1581902928683921,0.04282464485133872,,,,0.1727084318074392,0.0414500236337854,0.1312584081736538,0
radar,clean,none,d3_oof,learned_features,0.7451280842369952,0.7908219393367908,-0.04569385509979562,0.2361488429544548,0.2619749261833117,-0.025826083228856905,0.252344276759152,0.2685943282579897,-0.01625005149883768,0.4146030892434058,0.4128319291265457,0.001771160116860071,0.7237037227917823,0.9388004782855148,-0.21509675549373253,0.3297745258281528,0.7056608290236048,-0.375886303195452,0.4455481972038263,0.5426574069815573,-0.09710920977773096,0.8076324564653575,0.8743238236383846,-0.06669136717302704,0.2157617600738136,0.1581902928683921,0.0575714672054215,,,,0.1174926371668545,0.0415009271715812,0.0759917099952733,0
