stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,host_rows,status,folder
RBF_I,instance,moderate,118.0,2809264908.0,,RBF_I__s118,RBF_I__s118__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__instance__moderate
RBF_I,instance,severe,118.0,217127006.0,,RBF_I__s118,RBF_I__s118__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__instance__severe
RBF_I,concept,moderate,118.0,3840731115.0,,RBF_I__s118,RBF_I__s118__concept__moderate,47513,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__concept__moderate
RBF_I,splice,moderate,118.0,2850602314.0,,RBF_I__s118,RBF_I__s118__splice__moderate,47505,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__splice__moderate
RBF_I,splice,severe,118.0,3587607091.0,,RBF_I__s118,RBF_I__s118__splice__severe,41806,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__splice__severe
RBF_I,concept,severe,118.0,3811301496.0,,RBF_I__s118,RBF_I__s118__concept__severe,41769,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s118__concept__severe
RBF_I,clean,none,119.0,,,RBF_I__s119,RBF_I__s119__clean__none,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__clean__none
RBF_I,instance,moderate,119.0,1785768086.0,,RBF_I__s119,RBF_I__s119__instance__moderate,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__instance__moderate
RBF_I,instance,severe,119.0,80988754.0,,RBF_I__s119,RBF_I__s119__instance__severe,56050,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__instance__severe
RBF_I,concept,moderate,119.0,1226255551.0,,RBF_I__s119,RBF_I__s119__concept__moderate,47484,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__concept__moderate
RBF_I,concept,severe,119.0,1687454488.0,,RBF_I__s119,RBF_I__s119__concept__severe,41798,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__concept__severe
RBF_I,splice,moderate,119.0,1925764227.0,,RBF_I__s119,RBF_I__s119__splice__moderate,47513,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__splice__moderate
RBF_I,splice,severe,119.0,3024123001.0,,RBF_I__s119,RBF_I__s119__splice__severe,41807,complete,results/per_dataset_study/filters/profiles/RBF_I/RBF_I__s119__splice__severe
radar,clean,none,,,,radar__evaluation,radar__evaluation__clean__none__aNone,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__clean__none__aNone
radar,instance,moderate,,3687513746.0,0.0,radar__evaluation,radar__evaluation__instance__moderate__a0,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__moderate__a0
radar,instance,moderate,,2388385389.0,1.0,radar__evaluation,radar__evaluation__instance__moderate__a1,75608,complete,results/per_dataset_study/filters/profiles/radar/radar__evaluation__instance__moderate__a1
