epoch,condition,seed,detector,dataset,reward,training_visits,resets,states,epsilon,variant
3,SEA_A__s112__clean__none,37,adwin,SEA_A,54.28,57000,38,2,0.1,alarm
3,SEA_A__s112__instance__moderate,37,adwin,SEA_A,54.34,57000,27,2,0.1,alarm
3,SEA_A__s112__concept__moderate,37,adwin,SEA_A,53.56,57000,1,2,0.1,alarm
3,SEA_A__s112__splice__moderate,37,adwin,SEA_A,54.12,57000,33,2,0.1,alarm
3,SEA_A__s112__instance__severe,37,adwin,SEA_A,54.0,57000,3,2,0.1,alarm
3,SEA_A__s112__splice__severe,37,adwin,SEA_A,54.06,57000,29,2,0.1,alarm
0,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.44,57000,0,2,0.1,alarm
0,SEA_A__s112__clean__none,47,adwin,SEA_A,53.7,57000,4,2,0.1,alarm
0,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.34,57000,0,2,0.1,alarm
0,SEA_A__s112__concept__severe,47,adwin,SEA_A,53.64,57000,1,2,0.1,alarm
0,SEA_A__s112__instance__moderate,47,adwin,SEA_A,53.74,57000,2,2,0.1,alarm
0,SEA_A__s112__concept__moderate,47,adwin,SEA_A,52.94,57000,0,2,0.1,alarm
0,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.76,57000,0,2,0.1,alarm
1,SEA_A__s112__clean__none,47,adwin,SEA_A,54.3,57000,3,2,0.1,alarm
1,SEA_A__s112__instance__moderate,47,adwin,SEA_A,54.02,57000,3,2,0.1,alarm
1,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.9,57000,2,2,0.1,alarm
1,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.66,57000,3,2,0.1,alarm
1,SEA_A__s112__concept__moderate,47,adwin,SEA_A,53.46,57000,4,2,0.1,alarm
1,SEA_A__s112__concept__severe,47,adwin,SEA_A,53.56,57000,0,2,0.1,alarm
1,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.44,57000,1,2,0.1,alarm
2,SEA_A__s112__clean__none,47,adwin,SEA_A,53.68,57000,0,2,0.1,alarm
2,SEA_A__s112__splice__moderate,47,adwin,SEA_A,53.96,57000,3,2,0.1,alarm
2,SEA_A__s112__splice__severe,47,adwin,SEA_A,53.86,57000,2,2,0.1,alarm
2,SEA_A__s112__concept__moderate,47,adwin,SEA_A,54.12,57000,14,2,0.1,alarm
2,SEA_A__s112__instance__moderate,47,adwin,SEA_A,53.96,57000,1,2,0.1,alarm
2,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.96,57000,3,2,0.1,alarm
2,SEA_A__s112__concept__severe,47,adwin,SEA_A,54.08,57000,2,2,0.1,alarm
3,SEA_A__s112__instance__moderate,47,adwin,SEA_A,53.9,57000,0,2,0.1,alarm
3,SEA_A__s112__instance__severe,47,adwin,SEA_A,53.86,57000,4,2,0.1,alarm
3,SEA_A__s112__concept__severe,47,adwin,SEA_A,54.0,57000,9,2,0.1,alarm
3,SEA_A__s112__clean__none,47,adwin,SEA_A,54.28,57000,38,2,0.1,alarm
3,SEA_A__s112__splice__severe,47,adwin,SEA_A,54.06,57000,27,2,0.1,alarm
3,SEA_A__s112__concept__moderate,47,adwin,SEA_A,53.38,57000,1,2,0.1,alarm
3,SEA_A__s112__splice__moderate,47,adwin,SEA_A,54.08,57000,35,2,0.1,alarm
0,SEA_A__s112__clean__none,7,adwin,SEA_A,53.86,57000,5,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.18,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,7,adwin,SEA_A,53.72,57000,1,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.74,57000,3,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.6,57000,0,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,7,adwin,SEA_A,54.12,57000,2,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.34,57000,3,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,7,adwin,SEA_A,53.18,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,7,adwin,SEA_A,53.36,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,7,adwin,SEA_A,53.94,57000,2,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,7,adwin,SEA_A,52.88,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.78,57000,1,4,0.1,alarm_persistence
1,SEA_A__s112__instance__moderate,7,adwin,SEA_A,53.88,57000,0,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,7,adwin,SEA_A,54.08,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.58,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__instance__severe,7,adwin,SEA_A,54.0,57000,3,4,0.1,alarm_persistence
2,SEA_A__s112__clean__none,7,adwin,SEA_A,54.06,57000,2,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,7,adwin,SEA_A,53.44,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__splice__severe,7,adwin,SEA_A,54.0,57000,22,4,0.1,alarm_persistence
2,SEA_A__s112__instance__moderate,7,adwin,SEA_A,54.12,57000,23,4,0.1,alarm_persistence
2,SEA_A__s112__splice__moderate,7,adwin,SEA_A,53.66,57000,0,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,7,adwin,SEA_A,53.92,57000,9,4,0.1,alarm_persistence
