stream,policy,guarded,detector,population,resets_per_100k,rejected_update_blocks,reset_requests,reset_rejections,unexposed_false_alarm_rate,unexposed_blocks
RBF_I,immediate,False,hddm_w,attacked,61.644444444444446,0.0,154.11111111111111,0.0,1.0,0.05555555555555555
RBF_I,immediate,False,hddm_w,clean,50.0,0.0,125.0,0.0,0.45911949685534587,53.0
RBF_I,immediate,False,hellinger,attacked,8.266666666666667,0.0,20.666666666666668,0.0,0.0,0.05555555555555555
RBF_I,immediate,False,hellinger,clean,9.066666666666666,0.0,22.666666666666668,0.0,0.08176100628930813,53.0
RBF_I,immediate,True,adwin,attacked,6.2444444444444445,102.94444444444444,66.5,50.88888888888889,0.0,0.05555555555555555
RBF_I,immediate,True,adwin,clean,1.7333333333333332,71.33333333333333,16.333333333333332,12.0,0.050314465408804965,53.0
RBF_I,immediate,True,d3_oof,attacked,0.37777777777777777,69.8888888888889,7.388888888888889,6.444444444444444,0.0,0.05555555555555555
RBF_I,immediate,True,d3_oof,clean,0.1333333333333333,51.666666666666664,7.333333333333333,7.0,0.025157232704402437,53.0
RBF_I,immediate,True,hddm_w,attacked,27.266666666666666,125.05555555555554,167.16666666666666,99.0,1.0,0.05555555555555555
RBF_I,immediate,True,hddm_w,clean,27.333333333333332,109.0,138.33333333333334,70.0,0.5157232704402516,53.0
RBF_I,immediate,True,hellinger,attacked,1.5999999999999999,81.0,21.27777777777778,17.277777777777775,0.0,0.05555555555555555
RBF_I,immediate,True,hellinger,clean,1.4666666666666668,75.33333333333333,21.0,17.333333333333332,0.08176100628930813,53.0
RBF_I,none,False,none,attacked,0.0,0.0,0.0,0.0,0.0,0.05555555555555555
RBF_I,none,False,none,clean,0.0,0.0,0.0,0.0,0.0,53.0
RBF_I,none,True,none,attacked,0.0,60.22222222222222,0.0,0.0,0.0,0.05555555555555555
RBF_I,none,True,none,clean,0.0,48.333333333333336,0.0,0.0,0.0,53.0
RBF_I,rl,True,adwin,attacked,26.56296296296296,114.72222222222223,151.87037037037038,85.46296296296298,0.0,0.05555555555555555
RBF_I,rl,True,adwin,clean,29.2,106.1111111111111,154.55555555555557,81.55555555555556,0.016771488469601654,53.0
RBF_I,rl_alarm,True,adwin,attacked,30.607407407407408,109.55555555555556,166.0,89.48148148148147,0.0,0.05555555555555555
RBF_I,rl_alarm,True,adwin,clean,33.06666666666667,99.44444444444444,166.0,83.33333333333333,0.016771488469601654,53.0
SEA_A,confirmed,False,adwin,attacked,3.3111111111111104,0.0,8.277777777777779,0.0,0.10819304152637485,7.333333333333333
SEA_A,confirmed,False,adwin,clean,0.7999999999999999,0.0,2.0,0.0,0.025782688766114132,181.0
SEA_A,confirmed,False,d3_oof,attacked,0.35555555555555546,0.0,0.888888888888889,0.0,0.02963564213564212,7.333333333333333
SEA_A,confirmed,False,d3_oof,clean,0.3999999999999999,0.0,1.0,0.0,0.023941068139963096,181.0
SEA_A,confirmed,False,hddm_w,attacked,2.8444444444444446,0.0,7.111111111111111,0.0,0.0,7.333333333333333
SEA_A,confirmed,False,hddm_w,clean,0.2666666666666666,0.0,0.6666666666666666,0.0,0.0018416206261510002,181.0
SEA_A,confirmed,False,hellinger,attacked,1.7777777777777777,0.0,4.444444444444445,0.0,0.14286315536315536,7.333333333333333
SEA_A,confirmed,False,hellinger,clean,0.9333333333333332,0.0,2.3333333333333335,0.0,0.08471454880294656,181.0
SEA_A,confirmed,True,adwin,attacked,1.5999999999999999,56.94444444444445,10.166666666666666,6.166666666666667,0.010551948051948049,7.333333333333333
SEA_A,confirmed,True,adwin,clean,0.7999999999999999,38.666666666666664,2.3333333333333335,0.3333333333333333,0.022099447513812098,181.0
SEA_A,confirmed,True,d3_oof,attacked,0.19999999999999996,35.166666666666664,0.888888888888889,0.38888888888888884,0.02963564213564212,7.333333333333333
SEA_A,confirmed,True,d3_oof,clean,0.3999999999999999,24.333333333333332,1.0,0.0,0.023941068139963096,181.0
SEA_A,confirmed,True,hddm_w,attacked,1.3333333333333333,58.333333333333336,9.333333333333334,6.0,0.0,7.333333333333333
SEA_A,confirmed,True,hddm_w,clean,0.2666666666666666,22.333333333333332,0.6666666666666666,0.0,0.0,181.0
SEA_A,confirmed,True,hellinger,attacked,0.7999999999999999,45.05555555555555,3.9444444444444446,1.9444444444444444,0.04514991181657847,7.333333333333333
SEA_A,confirmed,True,hellinger,clean,0.5333333333333333,29.0,2.0,0.6666666666666666,0.0773480662983425,181.0
SEA_A,immediate,False,adwin,attacked,25.46666666666667,0.0,63.666666666666664,0.0,0.05036676286676285,7.333333333333333
SEA_A,immediate,False,adwin,clean,8.266666666666667,0.0,20.666666666666668,0.0,0.07366482504604051,181.0
SEA_A,immediate,False,d3_oof,attacked,2.6888888888888887,0.0,6.722222222222222,0.0,0.01757054673721339,7.333333333333333
SEA_A,immediate,False,d3_oof,clean,2.4,0.0,6.0,0.0,0.025782688766114132,181.0
SEA_A,immediate,False,hddm_w,attacked,25.622222222222224,0.0,64.05555555555556,0.0,0.0,7.333333333333333
SEA_A,immediate,False,hddm_w,clean,0.3999999999999999,0.0,1.0,0.0,0.0,181.0
SEA_A,immediate,False,hellinger,attacked,8.28888888888889,0.0,20.72222222222222,0.0,0.044502565335898664,7.333333333333333
SEA_A,immediate,False,hellinger,clean,8.666666666666666,0.0,21.666666666666668,0.0,0.0939226519337016,181.0
SEA_A,immediate,True,adwin,attacked,7.733333333333333,98.66666666666667,68.94444444444444,49.611111111111114,0.0030864197530864165,7.333333333333333
SEA_A,immediate,True,adwin,clean,3.3333333333333335,72.33333333333333,11.666666666666666,3.3333333333333335,0.04235727440147324,181.0
SEA_A,immediate,True,d3_oof,attacked,1.3777777777777775,53.666666666666664,6.722222222222222,3.277777777777778,0.01757054673721339,7.333333333333333
SEA_A,immediate,True,d3_oof,clean,1.7333333333333334,61.0,6.0,1.6666666666666667,0.025782688766114132,181.0
SEA_A,immediate,True,hddm_w,attacked,6.688888888888889,97.66666666666667,63.333333333333336,46.611111111111114,0.0,7.333333333333333
SEA_A,immediate,True,hddm_w,clean,0.2666666666666666,26.0,1.0,0.3333333333333333,0.0,181.0
SEA_A,immediate,True,hellinger,attacked,4.288888888888889,90.55555555555556,21.5,10.777777777777779,0.033678050344717,7.333333333333333
SEA_A,immediate,True,hellinger,clean,5.066666666666666,85.0,21.0,8.333333333333334,0.0883977900552486,181.0
SEA_A,none,False,none,attacked,0.0,0.0,0.0,0.0,0.0,7.333333333333333
SEA_A,none,False,none,clean,0.0,0.0,0.0,0.0,0.0,181.0
SEA_A,none,True,none,attacked,0.0,29.166666666666668,0.0,0.0,0.0,7.333333333333333
SEA_A,none,True,none,clean,0.0,21.0,0.0,0.0,0.0,181.0
SEA_A,rl,True,adwin,attacked,31.837037037037035,105.4074074074074,153.16666666666666,73.57407407407408,0.011196622307733413,7.333333333333333
SEA_A,rl,True,adwin,clean,44.888888888888886,69.44444444444444,164.55555555555554,52.333333333333336,0.011049723756906054,181.0
SEA_A,rl_alarm,True,adwin,attacked,33.82222222222222,91.16666666666667,166.0,81.44444444444444,0.003554059109614664,7.333333333333333
SEA_A,rl_alarm,True,adwin,clean,44.97777777777778,60.555555555555564,166.0,53.55555555555555,0.012277470841006733,181.0
radar,confirmed,False,adwin,attacked,8.732969849249686,0.0,42.333333333333336,0.0,,
radar,confirmed,False,adwin,clean,8.457915680769382,0.0,41.0,0.0,,
radar,confirmed,False,d3_oof,attacked,1.2262831678080268,0.0,5.9444444444444455,0.0,,
radar,confirmed,False,d3_oof,clean,1.8566156372420597,0.0,9.0,0.0,,
radar,confirmed,False,hddm_w,attacked,8.732969849249686,0.0,42.333333333333336,0.0,,
radar,confirmed,False,hddm_w,clean,8.251625054409153,0.0,40.0,0.0,,
radar,confirmed,False,hellinger,attacked,3.1287411664634703,0.0,15.166666666666666,0.0,,
radar,confirmed,False,hellinger,clean,3.0943593954034325,0.0,15.0,0.0,,
radar,confirmed,True,adwin,attacked,7.300396055081431,94.16666666666667,46.55555555555555,11.166666666666666,,
radar,confirmed,True,adwin,clean,6.807590669887551,91.0,47.0,14.0,,
radar,confirmed,True,d3_oof,attacked,0.9626895896810678,69.16666666666667,6.111111111111111,1.4444444444444444,,
radar,confirmed,True,d3_oof,clean,1.2377437581613728,62.0,9.0,3.0,,
radar,confirmed,True,hddm_w,attacked,7.2774748743747395,92.1111111111111,45.27777777777778,10.0,,
radar,confirmed,True,hddm_w,clean,6.395009417167093,92.0,44.0,13.0,,
radar,confirmed,True,hellinger,attacked,2.418184564556016,78.83333333333333,15.111111111111112,3.388888888888889,,
radar,confirmed,True,hellinger,clean,1.6503250108818304,73.0,15.0,7.0,,
radar,immediate,False,adwin,attacked,67.5257983619149,0.0,327.3333333333333,0.0,,
radar,immediate,False,adwin,clean,50.128622205535606,0.0,243.0,0.0,,
radar,immediate,False,d3_oof,attacked,3.1402017568168166,0.0,15.222222222222223,0.0,,
radar,immediate,False,d3_oof,clean,3.713231274484119,0.0,18.0,0.0,,
