dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,mode_control,level_control,condition_control,run_id_control,detector_control,policy_control,series_control,rows_control,common_host_rows_control,mask_sha256_control,correct_control,accuracy_control,macro_f1_control,macro_recall_control,roc_auc_control,poison_admission_rate_control,clean_withhold_rate_control,resets_per_100k_control,seconds_per_100k_control,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__confirmed__unguarded,d3_oof,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121089,0.6499608163090037,0.5017115309071383,0.4754414906023666,0.7996178075063392,1.0,0.0,1.0314531318011442,87.09304637622051,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-1.3692821333104233,2.3079514201081563,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__confirmed__guarded,d3_oof,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120331,0.6458921536000687,0.4673002119683289,0.4593919262023473,0.8399098803098632,0.8578672848449724,0.1427236297993829,1.4440343845216017,129.20518045273138,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-3.8024283153159977,-3.412462716656389,-6.656041727035634,6.607689254759381
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__immediate__unguarded,d3_oof,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120435,0.646450387006044,0.5089521632595991,0.4863867377290986,0.8057500322327319,1.0,0.0,3.713231274484119,72.12465212183936,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-1.7203250636063983,3.0320146553542426,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__immediate__guarded,d3_oof,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120435,0.646450387006044,0.4626651019173025,0.4338665425510134,0.8130511723984699,0.8268183135323095,0.1737238986544444,3.0943593954034325,95.19617502108568,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-3.7466049747184704,-3.8759737217590295,-9.760938858301927,9.70771614026553
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__confirmed__unguarded,hddm_w,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121871,0.6541583021116252,0.5252778155040148,0.5023345029971964,0.8036923289654003,1.0,0.0,9.076787559850068,67.05882958945823,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-0.9495335530482762,4.664579879795805,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__confirmed__guarded,hddm_w,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122501,0.6575399083208984,0.5050688817703045,0.4803553864902004,0.8288038116519383,0.8567806432917995,0.1425315904697282,7.426462548968238,85.29078008801393,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-2.6376528432330293,0.3644042635411737,-6.764705882352928,6.588485321793909
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__immediate__unguarded,hddm_w,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,133356,0.7158055200695644,0.6721572869797967,0.6690338391839885,0.833904803257465,1.0,0.0,45.59022842561057,46.84312544738327,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,5.21518824274565,19.352527027374002,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__immediate__guarded,hddm_w,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115285,0.6188070981524622,0.4788421179865119,0.4602950531884059,0.8135416986125172,0.705056505360765,0.2957226439974907,15.88437822973762,59.11514977734564,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-6.510933860076651,-2.258272114838089,-21.937119675456373,21.90759067457016
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__confirmed__unguarded,hellinger,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118194,0.6344215306330582,0.480467496040415,0.4588084504713167,0.8142612368663154,1.0,0.0,3.3006500217636607,73.79776215925958,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,-2.923210700904977,0.1835479334358292,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__confirmed__guarded,hellinger,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118672,0.6369872572489829,0.4562148364027306,0.4486091188443513,0.8469894519421866,0.8671399594320487,0.1321998745343046,2.6817781426829743,99.83498544618465,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-4.6929179504245795,-4.521000273216219,-5.728774268328007,5.55531372825155
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__immediate__unguarded,hellinger,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123833,0.6646895900205043,0.5468472055797966,0.5391600381518167,0.7997127616348114,1.0,0.0,6.6013000435273215,63.0394555371335,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__unguarded,none,none,none_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123640,0.6636536376421079,0.4786320167060567,0.4538670614349118,0.7739545369661586,1.0,0.0,0.0,68.99481139878473,0.10359523783963764,6.82151888737399,0.0,0.0
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__immediate__guarded,hellinger,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117717,0.6318611716460371,0.4409971294405632,0.4243995657038732,0.8507125342172157,0.8172993335265141,0.184204125004801,2.0629062636022883,105.88105235037884,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__none__none__guarded,none,none,none_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,127415,0.6839164367532287,0.5014248391348928,0.4899609472175493,0.847014775619013,0.9244277021153288,0.0766467372517891,0.0,270.9025827792672,-5.20552651071916,-6.042770969432959,-10.71283685888147,10.75573877530119
