dataset,category,policy,guarded,detector,accuracy_difference,macro_f1_difference,poison_admission_rate_difference,clean_withhold_rate_difference
RADAR,2,confirmed,True,adwin,-1.6119058549262508,3.7498160882742746,-5.481833979964683,5.4307434649311395
RADAR,2,confirmed,True,d3_oof,-3.0826798108284112,-2.667572555381609,-6.706535891102845,6.6762701628662064
RADAR,2,confirmed,True,hddm_w,-0.4911121033524237,4.374705027285901,-5.806163308118909,5.690078820250417
RADAR,2,confirmed,True,hellinger,-0.4261711551757066,2.62550261200335,-6.745794440335665,6.663139388868295
RADAR,2,immediate,False,adwin,10.194294519714738,27.267115352682946,0.0,0.0
RADAR,2,immediate,False,d3_oof,2.2218629877655105,10.667975202650679,0.0,0.0
RADAR,2,immediate,False,hddm_w,9.86832322162879,27.111526688228253,0.0,0.0
RADAR,2,immediate,False,hellinger,3.4609229600999476,13.513019325538567,0.0,0.0
RADAR,2,immediate,True,adwin,0.050202406638625664,8.003398112169636,-20.15733223698864,20.108142406017375
RADAR,2,immediate,True,d3_oof,0.7189698949929232,4.572032802927498,-10.5650303629508,10.535074822260457
RADAR,2,immediate,True,hddm_w,0.09906619498508684,8.162539384359102,-21.152933836934668,21.062479754621926
RADAR,2,immediate,True,hellinger,-0.7703382971592491,1.2319190523812804,-8.00442821878662,8.081222186219557
RADAR,3,confirmed,False,adwin,2.7902622639027985,7.226317206750724,0.0,0.0
RADAR,3,confirmed,False,d3_oof,-0.7937700350716986,-0.9603898317842031,0.0,0.0
RADAR,3,confirmed,False,hddm_w,3.063160942428174,7.1434425899546,0.0,0.0
RADAR,3,confirmed,False,hellinger,0.3969733208399255,1.536100007618894,0.0,0.0
RADAR,3,confirmed,True,adwin,1.5705311107823212,6.059053834397055,-4.251785998127578,4.924048962809278
RADAR,3,confirmed,True,d3_oof,0.5507577844325947,2.4706297355441147,-5.130025925140073,3.8777844418932403
RADAR,3,confirmed,True,hddm_w,2.5521837147587636,7.303409491719037,-3.6266239963445024,4.710018578926003
RADAR,3,confirmed,True,hellinger,1.5436379923623864,3.800006593218519,-4.40443425744957,5.059370530711799
RADAR,3,immediate,False,adwin,4.237434756037487,15.987270290977762,0.0,0.0
RADAR,3,immediate,False,d3_oof,1.416910527800878,3.5525098710412357,0.0,0.0
RADAR,3,immediate,False,hddm_w,3.9121420082171383,15.358175175470445,0.0,0.0
RADAR,3,immediate,False,hellinger,2.755450277904977,6.707902970427278,0.0,0.0
