stream,detector,filter,population,alarm_rate,resets_per_100k,rejected_update_rate,event_recall,detection_delay,unexposed_false_alarm_rate,unexposed_blocks
radar,d3_oof,learned_features_label,attacked,0.02873563218390805,1.1897661687303354,0.15363984674329503,,,,
radar,d3_oof,learned_features_label,clean,0.034482758620689655,2.072495906820584,0.13793103448275862,,,,
radar,d3_oof,none,attacked,0.03218390804597701,1.3816639378803892,0.16551724137931034,,,,
radar,d3_oof,none,clean,0.027586206896551724,2.072495906820584,0.11724137931034483,,,,
radar,hddm_w,learned_features,attacked,0.6444444444444444,6.8699401355719365,0.2053639846743295,,,,
radar,hddm_w,learned_features,clean,0.5310344827586206,4.835823782581363,0.2,,,,
radar,hddm_w,learned_features_label,attacked,0.6616858237547892,6.4093854896118065,0.20689655172413793,,,,
radar,hddm_w,learned_features_label,clean,0.5862068965517241,4.144991813641168,0.22758620689655173,,,,
radar,hddm_w,none,attacked,0.6455938697318008,7.176976566212022,0.2111111111111111,,,,
radar,hddm_w,none,clean,0.5310344827586206,4.835823782581363,0.2,,,,
radar,hellinger,learned_features,attacked,0.07203065134099616,2.456291445120692,0.17662835249042144,,,,
radar,hellinger,learned_features,clean,0.10344827586206896,2.072495906820584,0.18620689655172415,,,,
radar,hellinger,learned_features_label,attacked,0.07126436781609195,2.6098096604407353,0.18773946360153257,,,,
radar,hellinger,learned_features_label,clean,0.10344827586206896,2.072495906820584,0.1793103448275862,,,,
radar,hellinger,none,attacked,0.06475095785440613,2.187634568310617,0.17701149425287355,,,,
radar,hellinger,none,clean,0.10344827586206896,2.072495906820584,0.18620689655172415,,,,
