dataset,base_key,attack_seed,category,mode,level,series,reference,metric,difference
RADAR,radar,1,3,concept,moderate,rl_alarm,confirmed,macro_recall,-1.6169678916090946
RADAR,radar,1,3,concept,moderate,rl_alarm,confirmed,roc_auc,-0.08859346894707165
RADAR,radar,1,4,concept,severe,rl,none,accuracy,-0.7955316949787128
RADAR,radar,1,4,concept,severe,rl,none,macro_f1,6.308808073858985
RADAR,radar,1,4,concept,severe,rl,none,macro_recall,4.548214320932731
RADAR,radar,1,4,concept,severe,rl,none,roc_auc,-0.020959327623627844
RADAR,radar,1,4,concept,severe,rl,immediate,accuracy,4.295262099121699
RADAR,radar,1,4,concept,severe,rl,immediate,macro_f1,3.5733551321996018
RADAR,radar,1,4,concept,severe,rl,immediate,macro_recall,3.3868073425060654
RADAR,radar,1,4,concept,severe,rl,immediate,roc_auc,0.03398209708249311
RADAR,radar,1,4,concept,severe,rl,confirmed,accuracy,2.700257773048653
RADAR,radar,1,4,concept,severe,rl,confirmed,macro_f1,3.0714515416575994
RADAR,radar,1,4,concept,severe,rl,confirmed,macro_recall,3.1792573987470707
RADAR,radar,1,4,concept,severe,rl,confirmed,roc_auc,0.0031444229096415643
RADAR,radar,1,4,concept,severe,rl_alarm,none,accuracy,-4.149089195923638
RADAR,radar,1,4,concept,severe,rl_alarm,none,macro_f1,1.6040971437798646
RADAR,radar,1,4,concept,severe,rl_alarm,none,macro_recall,0.4847529597590161
RADAR,radar,1,4,concept,severe,rl_alarm,none,roc_auc,-0.05783912150348591
RADAR,radar,1,4,concept,severe,rl_alarm,immediate,accuracy,0.9417045981767735
RADAR,radar,1,4,concept,severe,rl_alarm,immediate,macro_f1,-1.1313557978795186
RADAR,radar,1,4,concept,severe,rl_alarm,immediate,macro_recall,-0.6766540186676495
RADAR,radar,1,4,concept,severe,rl_alarm,immediate,roc_auc,-0.002897696797364957
RADAR,radar,1,4,concept,severe,rl_alarm,confirmed,accuracy,-0.6532997278962727
RADAR,radar,1,4,concept,severe,rl_alarm,confirmed,macro_f1,-1.6332593884215207
RADAR,radar,1,4,concept,severe,rl_alarm,confirmed,macro_recall,-0.884203962426644
