dataset,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,3,concept,moderate,rl_alarm,macro_recall,0.4906003494387512,0.024042031796838507,3,3
RADAR,3,concept,moderate,rl_alarm,poison_admission_rate,0.6592338595316983,0.0021946714873730382,3,3
RADAR,3,concept,moderate,rl_alarm,resets_per_100k,35.75704190243966,0.8588563658053209,3,3
RADAR,3,concept,moderate,rl_alarm,roc_auc,0.8185664792857011,0.012099878302523208,3,3
RADAR,3,concept,moderate,rl_alarm,seconds_per_100k,207.13424003794276,4.93121979348761,3,3
RADAR,4,concept,severe,confirmed,accuracy,0.6422432538691353,0.013530363916076319,3,3
RADAR,4,concept,severe,confirmed,clean_withhold_rate,0.14524459337845794,0.011875598659189992,3,3
RADAR,4,concept,severe,confirmed,macro_f1,0.4892433057264911,0.018141986358873385,3,3
RADAR,4,concept,severe,confirmed,macro_recall,0.493115411909659,0.01466936009360786,3,3
RADAR,4,concept,severe,confirmed,poison_admission_rate,0.8321179194204625,0.016095948470367497,3,3
RADAR,4,concept,severe,confirmed,resets_per_100k,8.182861512289076,0.4294281829026608,3,3
RADAR,4,concept,severe,confirmed,roc_auc,0.8807695183840788,0.010038425910287925,3,3
RADAR,4,concept,severe,confirmed,seconds_per_100k,182.2708676996253,1.3309364721482957,3,3
RADAR,4,concept,severe,immediate,accuracy,0.6091185303688725,0.006661962060558161,3,3
RADAR,4,concept,severe,immediate,clean_withhold_rate,0.447121050012774,0.02576777983447791,3,3
RADAR,4,concept,severe,immediate,macro_f1,0.47083697293859567,0.00847981162500375,3,3
RADAR,4,concept,severe,immediate,macro_recall,0.48858703071095316,0.0038545488329062446,3,3
RADAR,4,concept,severe,immediate,poison_admission_rate,0.5387900945132539,0.04450768736722702,3,3
RADAR,4,concept,severe,immediate,resets_per_100k,42.56463257232721,1.4635492476782168,3,3
RADAR,4,concept,severe,immediate,roc_auc,0.8373494687212549,0.005039272222453145,3,3
RADAR,4,concept,severe,immediate,seconds_per_100k,110.2493115187831,1.254935216647609,3,3
RADAR,4,concept,severe,none,accuracy,0.6541259894541581,0.01508120862985079,3,3
RADAR,4,concept,severe,none,clean_withhold_rate,0.0804544925000583,0.008485546388820306,3,3
RADAR,4,concept,severe,none,macro_f1,0.4468121283155672,0.007978562980380553,3,3
RADAR,4,concept,severe,none,macro_recall,0.45468243333521907,0.02202789732193692,3,3
RADAR,4,concept,severe,none,poison_admission_rate,0.9051035399919395,0.016989948054140763,3,3
RADAR,4,concept,severe,none,resets_per_100k,0.0,0.0,3,3
RADAR,4,concept,severe,none,roc_auc,0.8936466385503463,0.003047011207409028,3,3
RADAR,4,concept,severe,none,seconds_per_100k,306.65187996774193,15.140610017292122,3,3
RADAR,4,concept,severe,rl,accuracy,0.6595050746593353,0.013571276099670751,3,3
RADAR,4,concept,severe,rl,clean_withhold_rate,0.3929654649695485,0.009660242347348889,3,3
RADAR,4,concept,severe,rl,macro_f1,0.5145304024030332,0.019048301870712884,3,3
RADAR,4,concept,severe,rl,macro_recall,0.5253506897722283,0.01582553994506112,3,3
RADAR,4,concept,severe,rl,poison_admission_rate,0.6225479077777999,0.022366083724450127,3,3
