stream,condition,mode,level,left,right,comparison,alarm_rate_difference,poison_alarm_rate_difference,unexposed_alarm_rate_difference,event_recall_difference,detection_delay_difference,seconds_per_100k_difference
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,d3_oof,hddm_w,passive_detector,-0.6779661016949153,-0.8214285714285714,,-0.6666666666666667,5.333333333333333,0.04008993681054571
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0357142857142857,,-0.6666666666666667,-1.666666666666666,0.1477378535976944
RBF_I,RBF_I__s115__splice__moderate,splice,moderate,hddm_w,hellinger,passive_detector,0.6101694915254238,0.7857142857142857,,0.0,-6.999999999999999,0.10764791678714869
RBF_I,RBF_I__s115__splice__severe,splice,severe,adwin,d3_oof,passive_detector,0.30508474576271194,0.5517241379310345,,0.6666666666666667,-4.0,-0.17336076198262163
RBF_I,RBF_I__s115__splice__severe,splice,severe,adwin,hddm_w,passive_detector,-0.4406779661016949,-0.3448275862068967,,0.0,2.0,-0.1222320117813069
RBF_I,RBF_I__s115__splice__severe,splice,severe,adwin,hellinger,passive_detector,0.22033898305084743,0.4827586206896552,,0.0,-4.666666666666667,-0.009270206501241798
RBF_I,RBF_I__s115__splice__severe,splice,severe,d3_oof,hddm_w,passive_detector,-0.7457627118644068,-0.8965517241379312,,-0.6666666666666667,6.0,0.051128750201314715
RBF_I,RBF_I__s115__splice__severe,splice,severe,d3_oof,hellinger,passive_detector,-0.08474576271186449,-0.0689655172413793,,-0.6666666666666667,-0.666666666666667,0.16409055548137982
RBF_I,RBF_I__s115__splice__severe,splice,severe,hddm_w,hellinger,passive_detector,0.6610169491525424,0.8275862068965518,,0.0,-6.666666666666667,0.1129618052800651
RBF_I,RBF_I__s116__clean__none,clean,none,adwin,d3_oof,passive_detector,0.1525423728813559,,0.0,1.0,,-0.20761999854585161
RBF_I,RBF_I__s116__clean__none,clean,none,adwin,hddm_w,passive_detector,-0.3220338983050848,,-0.375,0.0,2.6666666666666665,-0.11072811816120519
RBF_I,RBF_I__s116__clean__none,clean,none,adwin,hellinger,passive_detector,0.05084745762711859,,0.0,0.0,0.0,-0.009002908870267399
RBF_I,RBF_I__s116__clean__none,clean,none,d3_oof,hddm_w,passive_detector,-0.4745762711864407,,-0.375,-1.0,,0.09689188038464641
RBF_I,RBF_I__s116__clean__none,clean,none,d3_oof,hellinger,passive_detector,-0.1016949152542373,,0.0,-1.0,,0.1986170896755842
RBF_I,RBF_I__s116__clean__none,clean,none,hddm_w,hellinger,passive_detector,0.3728813559322034,,0.375,0.0,-2.6666666666666665,0.1017252092909378
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,adwin,d3_oof,passive_detector,0.42372881355932207,0.7692307692307693,,0.0,-13.333333333333332,-0.16138652683973
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,adwin,hddm_w,passive_detector,-0.22033898305084748,-0.03846153846153866,,0.0,4.0,-0.12470625704736452
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,adwin,hellinger,passive_detector,0.3728813559322034,0.7692307692307693,,0.0,-2.666666666666667,-0.0107658334794299
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,d3_oof,hddm_w,passive_detector,-0.6440677966101696,-0.8076923076923079,,0.0,17.333333333333332,0.036680269792365494
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,d3_oof,hellinger,passive_detector,-0.050847457627118696,0.0,,0.0,10.666666666666664,0.1506206933603001
RBF_I,RBF_I__s116__concept__moderate,concept,moderate,hddm_w,hellinger,passive_detector,0.5932203389830508,0.8076923076923079,,0.0,-6.666666666666667,0.11394042356793462
RBF_I,RBF_I__s116__concept__severe,concept,severe,adwin,d3_oof,passive_detector,0.4745762711864408,0.7931034482758621,,0.6666666666666667,-4.333333333333334,-0.1638316648313776
RBF_I,RBF_I__s116__concept__severe,concept,severe,adwin,hddm_w,passive_detector,-0.2542372881355932,-0.10344827586206906,,0.0,1.6666666666666665,-0.14266777308269718
RBF_I,RBF_I__s116__concept__severe,concept,severe,adwin,hellinger,passive_detector,0.4067796610169492,0.7241379310344829,,0.0,-7.333333333333334,-0.0107647964614444
RBF_I,RBF_I__s116__concept__severe,concept,severe,d3_oof,hddm_w,passive_detector,-0.728813559322034,-0.8965517241379312,,-0.6666666666666667,6.0,0.021163891748680413
RBF_I,RBF_I__s116__concept__severe,concept,severe,d3_oof,hellinger,passive_detector,-0.0677966101694916,-0.0689655172413793,,-0.6666666666666667,-3.0,0.15306686836993322
RBF_I,RBF_I__s116__concept__severe,concept,severe,hddm_w,hellinger,passive_detector,0.6610169491525424,0.8275862068965518,,0.0,-9.0,0.13190297662125278
RBF_I,RBF_I__s116__instance__moderate,instance,moderate,adwin,d3_oof,passive_detector,0.1016949152542373,0.1016949152542373,,0.6666666666666667,-15.666666666666668,-0.1662636181572452
