stream,detector,filter,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
radar,d3_oof,learned_features,0.1644629677399144,0.6164030335861321,0.7229254571026723,0.3143825033623669,0.0,10832.0,0.23174603174603176,0.05555968071282717
radar,d3_oof,learned_features_label,0.1734853128123346,0.6293932827735644,0.6659634317862165,0.3710642064247943,0.0,10794.2,0.40897736143637786,0.07120846482272136
radar,d3_oof,none,0.16848598392320446,0.6139219934994583,0.719760900140647,0.3622319699758564,0.0,11400.0,0.2444704657819412,0.06255801002413217
radar,d3_oof,oracle_blocks,0.15652108895727634,0.5623510292524377,0.0,0.7272727272727273,0.0,6175.0,0.6341399947957325,0.13773900129942454
radar,d3_oof,oracle_rows,0.23391371021728596,0.724160346695558,0.0,0.40732794683622975,0.0,9978.0,0.4973978662503252,0.04872842027102283
radar,d3_oof,random_blocks,0.15652108895727634,0.5623510292524377,0.0,0.7272727272727273,0.0,6175.0,0.6341399947957325,0.13773900129942454
radar,d3_oof,random_rows,0.16396287051190964,0.6155796316359696,0.5426160337552742,0.45632873568713694,0.0,9978.0,0.22961228207129847,0.055411175051048825
radar,hddm_w,learned_features,0.16421327590127166,0.6164247020585049,0.7054149085794655,0.3406704301690808,0.5,13332.6,0.2284413218839448,0.05555968071282717
radar,hddm_w,learned_features_label,0.21604560543615675,0.700899241603467,0.6909282700421941,0.35209209048006673,0.5,12765.2,0.5303148581837107,0.07120846482272136
radar,hddm_w,none,0.22408879568683948,0.7160346695557963,0.8136427566807314,0.31733320584227764,0.5,13300.0,0.4864689045016914,0.06255801002413217
radar,hddm_w,oracle_blocks,0.17737184917559984,0.6131094257854821,0.0,0.7272727272727273,0.0,7125.0,0.7555295342180588,0.13773900129942454
radar,hddm_w,oracle_rows,0.1995212252107742,0.6728060671722644,0.0,0.363349508761026,0.5,11625.0,0.36677075201665366,0.04872842027102283
radar,hddm_w,random_blocks,0.17737184917559984,0.6131094257854821,0.0,0.7272727272727273,0.0,7125.0,0.7555295342180588,0.13773900129942454
