stream,mode_screened,level_screened,base_seed_screened,attack_seed_screened,attack_assignment_screened,base_key_screened,condition,rows_screened,training_visits_screened,accepted_training_visits_screened,accepted_refit_rows_screened,resets_screened,seconds_screened,pending_candidate_screened,audit_rows_reserved_screened,policy,guarded_screened,host_n_screened,host_accuracy_screened,host_macro_f1_screened,poison_rows_screened,poison_rows_admitted_screened,poison_admission_rate_screened,clean_rows_screened,clean_rows_withheld_screened,clean_withhold_rate_screened,malicious_recall_screened,benign_fpr_screened,detector,status_screened,folder_screened,mode_unscreened,level_unscreened,base_seed_unscreened,attack_seed_unscreened,attack_assignment_unscreened,base_key_unscreened,rows_unscreened,training_visits_unscreened,accepted_training_visits_unscreened,accepted_refit_rows_unscreened,resets_unscreened,seconds_unscreened,pending_candidate_unscreened,audit_rows_reserved_unscreened,guarded_unscreened,host_n_unscreened,host_accuracy_unscreened,host_macro_f1_unscreened,poison_rows_unscreened,poison_rows_admitted_unscreened,poison_admission_rate_unscreened,clean_rows_unscreened,clean_rows_withheld_unscreened,clean_withhold_rate_unscreened,malicious_recall_unscreened,benign_fpr_unscreened,status_unscreened,folder_unscreened,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,malicious_recall_difference,benign_fpr_difference
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,10450,0,0,0.15838020798400976,False,600,confirmed,True,10450,0.8819138755980861,0.8699628490637281,2864,2593,0.9053770949720671,7586,679,0.08950698655417876,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__instance__severe/confirmed_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,0,0,0.13678925001295283,False,600,False,10450,0.8887081339712919,0.877793596100271,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__instance__severe/confirmed_unscreened,-0.007830747036542851,-0.006794258373205797,-0.09462290502793291,0.08950698655417876,0,0,,
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,10450,0,0,0.15438274998450652,False,600,immediate,True,10450,0.8819138755980861,0.8699628490637281,2864,2593,0.9053770949720671,7586,679,0.08950698655417876,,,adwin,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__instance__severe/immediate_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,0,0,0.12696333299390972,False,600,False,10450,0.8887081339712919,0.877793596100271,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/adwin/SEA_A__s9913__instance__severe/immediate_unscreened,-0.007830747036542851,-0.006794258373205797,-0.09462290502793291,0.08950698655417876,0,0,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,9500,0,0,0.15681524999672547,False,600,confirmed,True,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/confirmed_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,0,0,0.14537370801554061,False,600,False,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/confirmed_unscreened,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,0,0,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,9500,0,0,0.16085724998265505,False,600,immediate,True,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/immediate_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,0,0,0.1438296250125859,False,600,False,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__clean__none/immediate_unscreened,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,0,0,,
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,10450,0,0,0.1646094999741763,False,600,confirmed,True,10450,0.8819138755980861,0.8699628490637281,2864,2593,0.9053770949720671,7586,679,0.08950698655417876,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__instance__severe/confirmed_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,0,0,0.13709808301064186,False,600,False,10450,0.8887081339712919,0.877793596100271,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__instance__severe/confirmed_unscreened,-0.007830747036542851,-0.006794258373205797,-0.09462290502793291,0.08950698655417876,0,0,,
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,10450,0,0,0.17861870900378563,False,600,immediate,True,10450,0.8819138755980861,0.8699628490637281,2864,2593,0.9053770949720671,7586,679,0.08950698655417876,,,d3_oof,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__instance__severe/immediate_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,0,0,0.13694245798978955,False,600,False,10450,0.8887081339712919,0.877793596100271,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/d3_oof/SEA_A__s9913__instance__severe/immediate_unscreened,-0.007830747036542851,-0.006794258373205797,-0.09462290502793291,0.08950698655417876,0,0,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,9500,0,0,0.1543077920214273,False,600,confirmed,True,10450,0.8669856459330143,0.8504588885535898,0,0,,10450,1900,0.18181818181818182,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__clean__none/confirmed_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,0,0,0.14025108399800956,False,600,False,10450,0.88,0.8674801403756076,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__clean__none/confirmed_unscreened,-0.017021251822017858,-0.0130143540669857,,0.18181818181818182,0,0,,
SEA_A,clean,none,9913.0,,,SEA_A__s9913,SEA_A__s9913__clean__none,12000,11400,9500,950,1,0.1554895419976674,False,600,immediate,True,10450,0.8694736842105263,0.8537752710017008,0,0,,10450,1900,0.18181818181818182,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__clean__none/immediate_screened,clean,none,9913.0,,,SEA_A__s9913,12000,11400,11400,950,1,0.1383875830215402,False,600,False,10450,0.8817224880382775,0.8695849144756443,0,0,,10450,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__clean__none/immediate_unscreened,-0.015809643473943535,-0.012248803827751176,,0.18181818181818182,0,0,,
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,10450,0,0,0.17001816700212657,True,600,confirmed,True,10450,0.8819138755980861,0.8699628490637281,2864,2593,0.9053770949720671,7586,679,0.08950698655417876,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__instance__severe/confirmed_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,0,0,0.14383762498619035,True,600,False,10450,0.8887081339712919,0.877793596100271,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__instance__severe/confirmed_unscreened,-0.007830747036542851,-0.006794258373205797,-0.09462290502793291,0.08950698655417876,0,0,,
SEA_A,instance,severe,9913.0,553344547.0,,SEA_A__s9913,SEA_A__s9913__instance__severe,12000,11400,6650,1900,2,0.15128537500277162,False,600,immediate,True,10450,0.8850717703349282,0.8731879395768564,2864,1580,0.5516759776536313,7586,3466,0.45689427893488005,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__instance__severe/immediate_screened,instance,severe,9913.0,553344547.0,,SEA_A__s9913,12000,11400,11400,3800,4,0.14324362500337884,False,600,False,10450,0.8945454545454545,0.8854139303482587,2864,2864,1.0,7586,0,0.0,,,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/SEA_A/hddm_w/SEA_A__s9913__instance__severe/immediate_unscreened,-0.012225990771402295,-0.0094736842105263,-0.4483240223463687,0.45689427893488005,-2,0,,
