experiment,stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_screened,none_screened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_unscreened,none_screened,policy,0.010658749614114837,0.011387559808612446,,-0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,immediate_unscreened,none_unscreened,policy,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__clean__none,clean,none,hellinger,none_screened,none_unscreened,policy,-0.010658749614114837,-0.011387559808612446,,0.36363636363636365,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,confirmed_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,immediate_screened,policy,-0.10287975071311767,-0.09071770334928231,-0.18994020400984868,0.17878270014460365,,,-16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,immediate_unscreened,policy,-0.09032952633344205,-0.08306220095693784,-0.3788251846640872,0.35795977389246747,,,-25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,none_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_unscreened,immediate_screened,policy,-0.12489734349879117,-0.10784688995215314,0.18888498065423853,-0.17917707374786382,,,-16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_unscreened,immediate_unscreened,policy,-0.11234711911911555,-0.10019138755980866,0.0,0.0,,,-25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,confirmed_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_screened,immediate_unscreened,policy,0.012550224379675623,0.007655502392344471,-0.18888498065423853,0.17917707374786382,,,-8.333333333333332,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_screened,none_screened,policy,0.10287975071311767,0.09071770334928231,0.18994020400984868,-0.17878270014460365,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_screened,none_unscreened,policy,0.12489734349879117,0.10784688995215314,-0.18888498065423853,0.17917707374786382,,,16.666666666666668,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_unscreened,none_screened,policy,0.09032952633344205,0.08306220095693784,0.3788251846640872,-0.35795977389246747,,,25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,immediate_unscreened,none_unscreened,policy,0.11234711911911555,0.10019138755980866,0.0,0.0,,,25.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,adwin,none_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,confirmed_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,immediate_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,immediate_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,none_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_unscreened,immediate_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_unscreened,immediate_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_unscreened,none_screened,policy,-0.0220175927856735,-0.017129186602870827,0.3788251846640872,-0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,confirmed_unscreened,none_unscreened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_screened,immediate_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_screened,none_screened,policy,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,RBF_I,RBF_I__s9913__instance__severe,instance,severe,d3_oof,immediate_screened,none_unscreened,policy,0.0220175927856735,0.017129186602870827,-0.3788251846640872,0.35795977389246747,,,0.0,0.0
