rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status
60000,57000,39900,0,0,0.8340986250113929,False,3000,none,True,47512,0.9016248526687994,0.8933260672250287,8538,5141,0.6021316467556805,47512,13703,0.2884113487119044,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,no_reset,0.05,1,0,complete
60000,62700,41800,2850,1,0.8137931670062244,False,3000,confirmed,True,47512,0.897015490823371,0.888042084694495,8538,5006,0.5863199812602483,47512,13568,0.2855699612729416,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,confirmed,0.05,1,0,complete
60000,57000,28500,6650,7,0.6962769170058891,False,3000,rl,True,47512,0.8984677555143964,0.8898408301062487,8538,2952,0.3457484188334505,47512,22914,0.48227816130661727,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,error_rule,0.05,1,0,complete
60000,57000,32300,16150,17,0.6761727499979315,False,3000,rl,True,47512,0.909328169725543,0.901563526822222,8538,3780,0.4427266338721012,47512,19942,0.4197255430207106,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,selected_map,0.05,1,0,complete
60000,57000,26600,25650,27,0.6603402089967858,False,3000,rl,True,47512,0.9066972554302071,0.8990573933183557,8538,2404,0.28156476926680724,47512,24266,0.5107341303249705,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_7,0.05,1,0,complete
60000,57000,39900,0,0,0.843117207987234,False,3000,rl,True,47512,0.9016248526687994,0.8933260672250287,8538,5141,0.6021316467556805,47512,13703,0.2884113487119044,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_17,0.05,1,0,complete
60000,57000,26600,25650,27,0.6563614170008805,False,3000,rl,True,47512,0.9066972554302071,0.8990573933183557,8538,2404,0.28156476926680724,47512,24266,0.5107341303249705,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_27,0.05,1,0,complete
60000,57000,29450,19000,20,0.6613385829987237,False,3000,rl,True,47512,0.9085494190941236,0.9007142648155873,8538,3000,0.35137034434293746,47512,22012,0.46329348375147333,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,33250,5700,6,0.7074277920037275,False,3000,rl,True,47512,0.8901751136554975,0.8814785555078599,8538,4494,0.5263527758257203,47512,19706,0.4147583768311163,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,30400,21850,23,0.6753443339985097,False,3000,rl,True,47512,0.9081074254925071,0.9002408052957371,8538,3000,0.35137034434293746,47512,21062,0.44329853510692036,SEA_A__s115__concept__moderate,SEA_A,concept,moderate,115,q_alarm_persistence_27,0.05,1,0,complete
60000,64600,44650,5700,2,0.7909299589955481,False,3000,confirmed,True,41779,0.9016491538811364,0.8924182687856743,14271,8661,0.6068951019550136,41779,9590,0.2295411570406185,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,confirmed,0.05,1,0,complete
60000,57000,50350,0,0,0.8825054170010844,False,3000,none,True,41779,0.892745159051198,0.8815695452494947,14271,11469,0.8036577675005255,41779,3848,0.09210368845592283,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,no_reset,0.05,1,0,complete
60000,57000,37050,6650,7,0.7001840839948272,False,3000,rl,True,41779,0.8970056727063835,0.8881430660884646,14271,7193,0.5040291500245253,41779,12872,0.30809736949184996,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,error_rule,0.05,1,0,complete
60000,57000,33250,10450,11,0.6879327499918872,False,3000,rl,True,41779,0.8992077359438952,0.8892980669305626,14271,7317,0.5127180996426319,41779,16796,0.40202015366571725,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,selected_map,0.05,1,0,complete
60000,57000,22800,21850,23,0.6555864580004709,False,3000,rl,True,41779,0.8971253500562484,0.8875576523470061,14271,3261,0.22850536052133696,41779,23190,0.5550635486727782,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_7,0.05,1,0,complete
60000,57000,50350,0,0,0.890930791007122,False,3000,rl,True,41779,0.892745159051198,0.8815695452494947,14271,11469,0.8036577675005255,41779,3848,0.09210368845592283,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_17,0.05,1,0,complete
60000,57000,22800,21850,23,0.6658428340015234,False,3000,rl,True,41779,0.8971253500562484,0.8875576523470061,14271,3261,0.22850536052133696,41779,23190,0.5550635486727782,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_27,0.05,1,0,complete
60000,57000,30400,17100,18,0.6739927080052439,False,3000,rl,True,41779,0.8995188970535436,0.8900052366536313,14271,6694,0.4690631350290799,41779,19023,0.4553244452954834,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_persistence_7,0.05,1,0,complete
60000,57000,35150,9500,10,0.6994199580076383,False,3000,rl,True,41779,0.9001651547428133,0.8915139931058502,14271,7644,0.5356317006516712,41779,15223,0.36436965939826227,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_persistence_17,0.05,1,0,complete
60000,57000,30400,17100,18,0.6665273329999764,False,3000,rl,True,41779,0.8995188970535436,0.8900052366536313,14271,6694,0.4690631350290799,41779,19023,0.4553244452954834,SEA_A__s115__concept__severe,SEA_A,concept,severe,115,q_alarm_persistence_27,0.05,1,0,complete
60000,57000,51300,0,0,0.9100827500078594,False,3000,none,True,47495,0.8955890093694073,0.8861342519431801,8555,6889,0.8052600818234951,47495,4034,0.08493525634277292,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,no_reset,0.05,1,0,complete
60000,58900,49400,2850,1,0.803424209007062,False,3000,confirmed,True,47495,0.9033371933887777,0.8953094136400248,8555,7004,0.8187025131502046,47495,7949,0.16736498578797768,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,confirmed,0.05,1,0,complete
60000,57000,33250,5700,6,0.6981735410081455,False,3000,rl,True,47495,0.9075481629645226,0.8995861979457264,8555,3981,0.4653419053185272,47495,19176,0.4037477629224129,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,error_rule,0.05,1,0,complete
60000,57000,37050,33250,35,0.6623877079982776,False,3000,rl,True,47495,0.9091062217075482,0.9007542609111745,8555,4997,0.5841028638223261,47495,16392,0.34513106642804503,SEA_A__s115__splice__moderate,SEA_A,splice,moderate,115,selected_map,0.05,1,0,complete
