experiment,stream,detector,method,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,malicious_recall,benign_fpr,resets_per_100k,training_visits_per_100k
E1_fixed,radar,hellinger,immediate_screened,0.260731138851125,0.7774143591605295,0.7740967740370349,0.23143134830759932,0.6893052443611069,0.16210569345736997,2.565947313206437,94999.75820881089
E1_fixed,radar,hellinger,immediate_unscreened,0.2522058081466299,0.7574135251196666,1.0,0.0,0.6913480824384556,0.18087509807239058,4.717395445048758,94999.75820881089
E1_fixed,radar,hellinger,none_screened,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.8206572971597319,0.09141287449919136,0.0,94999.75820881089
E1_fixed,radar,hellinger,none_unscreened,0.3103215161060842,0.8454462637689308,1.0,0.0,0.8296543526937642,0.0879170636544082,0.0,94999.75820881089
E2_RL,RBF_I,adwin,RL_2state,0.5333585531304607,0.5378170659325348,0.5301141550658415,0.3872227024679137,,,26.238095238095237,95000.0
E2_RL,RBF_I,adwin,RL_4state,0.5344741238415484,0.5391021736741296,0.6446926847377975,0.2957746349140411,,,8.123809523809523,95000.0
E2_RL,RBF_I,adwin,confirmed_screened,0.5366254227865485,0.5418073921093597,0.6552639167369908,0.25439378173618854,,,2.857142857142857,106761.90476190476
E2_RL,RBF_I,adwin,error_rule,0.5294746960413691,0.5349573750121733,0.48443351176312954,0.3807924420399266,,,12.285714285714286,95000.0
E2_RL,RBF_I,adwin,none_screened,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,adwin,selected_map,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,,,0.0,95000.0
E2_RL,RBF_I,d3_oof,RL_2state,0.5372105709803343,0.5414944512895544,0.6451672052296166,0.2884984831214064,,,9.40952380952381,95000.0
E2_RL,RBF_I,d3_oof,RL_4state,0.5263907191256176,0.5312437008943476,0.5087682333313095,0.38082949095390406,,,21.571428571428573,95000.0
