experiment,detector,method,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E2_RL,hddm_w,RL_2state,RBF_I,SEA_A,dataset_descriptive,-0.36653313223728545,-0.37101799111392597,-0.08330465071705662,0.07094257352890221,,,-7.504761904761903,0.0
E2_RL,hddm_w,RL_2state,RBF_I,radar,dataset_descriptive,0.28823112283149965,-0.21098516605957218,-0.12654104400181798,0.05508620396560293,,,-3.591657513143076,0.24179118910979014
E2_RL,hddm_w,RL_2state,SEA_A,radar,dataset_descriptive,0.6547642550687851,0.1600328250543538,-0.043236393284761365,-0.015856369563299277,,,3.913104391618827,0.24179118910979014
E2_RL,hddm_w,RL_4state,RBF_I,SEA_A,dataset_descriptive,-0.3675559651697009,-0.37161642548799456,0.11383223378532825,-0.09542670502606565,,,-24.171428571428574,0.0
E2_RL,hddm_w,RL_4state,RBF_I,radar,dataset_descriptive,0.30490502616153287,-0.18165996145267493,0.0336278453452824,-0.0841858952697645,,,-23.234074596036006,0.24179118910979014
E2_RL,hddm_w,RL_4state,SEA_A,radar,dataset_descriptive,0.6724609913312338,0.18995646403531963,-0.08020438844004585,0.011240809756301151,,,0.9373539753925684,0.24179118910979014
E2_RL,hddm_w,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.3670340682816353,-0.37079675852293836,0.007279959665571378,-0.030042618228498186,,,1.9999999999999996,9590.476190476169
E2_RL,hddm_w,confirmed_screened,RBF_I,radar,dataset_descriptive,0.30311694521525867,-0.2117770981068957,-0.15267949933739133,0.07814989438921902,,,-2.3556541142497904,-1611.556730627839
E2_RL,hddm_w,confirmed_screened,SEA_A,radar,dataset_descriptive,0.670151013496894,0.15901966041604265,-0.1599594590029627,0.1081925126177172,,,-4.3556541142497895,-11202.032921104008
E2_RL,hddm_w,error_rule,RBF_I,SEA_A,dataset_descriptive,-0.37007877172196113,-0.37318523160031947,0.05596479643831542,-0.10060666930134521,,,3.0,0.0
E2_RL,hddm_w,error_rule,RBF_I,radar,dataset_descriptive,0.29772801923639397,-0.17724004973019836,-0.12102877736444628,0.011341008227505445,,,-8.972172301388278,0.24179118910979014
E2_RL,hddm_w,error_rule,SEA_A,radar,dataset_descriptive,0.6678067909583552,0.1959451818701211,-0.1769935738027617,0.11194767752885065,,,-11.972172301388278,0.24179118910979014
E2_RL,hddm_w,none_screened,RBF_I,SEA_A,dataset_descriptive,-0.3510427663393756,-0.3568418426612001,-0.027579646558709925,0.01601070429813342,,,0.0,0.0
E2_RL,hddm_w,none_screened,RBF_I,radar,dataset_descriptive,0.2663061715104138,-0.2924680200913661,-0.14101006117098258,0.09885506388666926,,,0.0,0.24179118910979014
E2_RL,hddm_w,none_screened,SEA_A,radar,dataset_descriptive,0.6173489378497894,0.06437382256983404,-0.11343041461227266,0.08284435958853584,,,0.0,0.24179118910979014
E2_RL,hddm_w,selected_map,RBF_I,SEA_A,dataset_descriptive,-0.3643352094316553,-0.3685416001327734,0.199374511469675,-0.15738147438159164,,,-48.238095238095234,0.0
E2_RL,hddm_w,selected_map,RBF_I,radar,dataset_descriptive,0.3032716437408535,-0.1972806720486826,0.01633205828738893,-0.06254909539740908,,,-11.625715134450704,0.24179118910979014
E2_RL,hddm_w,selected_map,SEA_A,radar,dataset_descriptive,0.6676068531725088,0.17126092808409077,-0.18304245318228607,0.09483237898418256,,,36.612380103644526,0.24179118910979014
E2_RL,hellinger,RL_2state,RBF_I,SEA_A,dataset_descriptive,-0.36070384792770327,-0.36562548245323656,-0.019623719380947202,0.014094884481439196,,,-4.43809523809524,0.0
E2_RL,hellinger,RL_2state,RBF_I,radar,dataset_descriptive,0.28065393647581255,-0.2384913583482552,-0.15366537380784417,0.07948470883499975,,,-3.3676238637047753,0.24179118910979014
E2_RL,hellinger,RL_2state,SEA_A,radar,dataset_descriptive,0.6413577844035159,0.12713412410498137,-0.13404165442689697,0.06538982435356056,,,1.0704713743904648,0.24179118910979014
E2_RL,hellinger,RL_4state,RBF_I,SEA_A,dataset_descriptive,-0.3660286839944765,-0.370535631529069,0.004170544758129835,-0.016402143829657156,,,-18.952380952380956,0.0
E2_RL,hellinger,RL_4state,RBF_I,radar,dataset_descriptive,0.27744141076413026,-0.25000475783877396,-0.15253755224750165,0.07959538045641662,,,-0.6206659422800023,0.24179118910979014
E2_RL,hellinger,RL_4state,SEA_A,radar,dataset_descriptive,0.6434700947586067,0.12053087369029503,-0.15670809700563149,0.09599752428607378,,,18.33171501010095,0.24179118910979014
E2_RL,hellinger,confirmed_screened,RBF_I,SEA_A,dataset_descriptive,-0.3543953337332545,-0.35938431758097256,-0.06340947413726339,0.03223240992108706,,,1.333333333333333,5428.57142857142
E2_RL,hellinger,confirmed_screened,RBF_I,radar,dataset_descriptive,0.2997823122043408,-0.23280183156036083,-0.15197357410231627,0.08034183819807778,,,0.015837816339360433,2471.3381711309194
E2_RL,hellinger,confirmed_screened,SEA_A,radar,dataset_descriptive,0.6541776459375953,0.12658248602061173,-0.08856409996505288,0.04810942827699072,,,-1.3174955169939726,-2957.233257440501
E2_RL,hellinger,error_rule,RBF_I,SEA_A,dataset_descriptive,-0.37007877172196113,-0.37318523160031947,0.05596479643831542,-0.10060666930134521,,,3.0,0.0
E2_RL,hellinger,error_rule,RBF_I,radar,dataset_descriptive,0.29772801923639397,-0.17724004973019836,-0.12102877736444628,0.011341008227505445,,,-8.972172301388278,0.24179118910979014
E2_RL,hellinger,error_rule,SEA_A,radar,dataset_descriptive,0.6678067909583552,0.1959451818701211,-0.1769935738027617,0.11194767752885065,,,-11.972172301388278,0.24179118910979014
E2_RL,hellinger,none_screened,RBF_I,SEA_A,dataset_descriptive,-0.3510427663393756,-0.3568418426612001,-0.027579646558709925,0.01601070429813342,,,0.0,0.0
E2_RL,hellinger,none_screened,RBF_I,radar,dataset_descriptive,0.2663061715104138,-0.2924680200913661,-0.14101006117098258,0.09885506388666926,,,0.0,0.24179118910979014
E2_RL,hellinger,none_screened,SEA_A,radar,dataset_descriptive,0.6173489378497894,0.06437382256983404,-0.11343041461227266,0.08284435958853584,,,0.0,0.24179118910979014
E2_RL,hellinger,selected_map,RBF_I,SEA_A,dataset_descriptive,-0.3620201574348285,-0.36627626501962374,0.27501478832096327,-0.239190431885373,,,-11.761904761904761,0.0
E2_RL,hellinger,selected_map,RBF_I,radar,dataset_descriptive,0.3085690141142293,-0.1675687709842194,0.1067566089822275,-0.12988035191706668,,,-20.92233963076018,0.24179118910979014
E2_RL,hellinger,selected_map,SEA_A,radar,dataset_descriptive,0.6705891715490578,0.19870749403540433,-0.16825817933873577,0.10931007996830633,,,-9.16043486885542,0.24179118910979014
E3_filter,adwin,confirmed_screened_filter_learned_features,RBF_I,SEA_A,dataset_descriptive,-0.36965523201199313,-0.37356628638739775,-0.005312095089340274,-0.025025478425518444,,,0.5333333333333332,3970.2476190476154
E3_filter,adwin,confirmed_screened_filter_learned_features,RBF_I,radar,dataset_descriptive,0.30409761861048334,-0.19551863557109506,0.08116197649840107,0.10767546634252961,,,-3.4870584473452806,-5335.052654225758
E3_filter,adwin,confirmed_screened_filter_learned_features,SEA_A,radar,dataset_descriptive,0.6737528506224765,0.1780476508163027,0.08647407158774134,0.13270094476804806,,,-4.020391780678613,-9305.300273273373
E3_filter,adwin,confirmed_screened_filter_learned_features_label,RBF_I,SEA_A,dataset_descriptive,-0.371624665242399,-0.374209699486337,0.15693929868426665,0.08243763399760037,,,1.6476190476190478,13494.266666666663
