stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,resets,training_visits,seconds,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,policy,guarded,detector,status,folder,rows,accepted_training_visits,accepted_refit_rows,pending_candidate,audit_rows_reserved
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,3,64600,2.773178250005003,56050,0.5183050847457628,0.5104367969826074,0,0,,56050,16150,0.288135593220339,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__clean__none/confirmed_screened,,,,,
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,2,60800,2.2635050000099,56050,0.5610169491525424,0.5564604647801116,0,0,,56050,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__clean__none/confirmed_unscreened,60000.0,60800.0,5700.0,True,3000.0
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,5,57000,2.4712400419812184,56050,0.5418019625334523,0.5361051741952655,0,0,,56050,11400,0.2033898305084746,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__clean__none/immediate_screened,60000.0,45600.0,4750.0,False,3000.0
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,5,57000,2.1726671250071377,56050,0.5354148082069581,0.5293932514826757,0,0,,56050,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__clean__none/immediate_unscreened,60000.0,57000.0,4750.0,False,3000.0
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,2,62700,2.8775492909917375,47500,0.5415368421052632,0.5382165669832341,8550,6162,0.720701754385965,47500,13762,0.28972631578947367,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__moderate/confirmed_screened,,,,,
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,3,62700,2.3877903330139816,47500,0.5426105263157894,0.5388333035963808,8550,8550,1.0,47500,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__moderate/confirmed_unscreened,60000.0,62700.0,8550.0,True,3000.0
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,9,57000,2.41532545798691,47500,0.5111157894736842,0.5040158792944243,8550,2381,0.2784795321637427,47500,18531,0.3901263157894737,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__moderate/immediate_screened,60000.0,32300.0,8550.0,False,3000.0
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,23,57000,2.178200750000542,47500,0.518,0.5133433651515195,8550,8550,1.0,47500,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__moderate/immediate_unscreened,60000.0,57000.0,21850.0,False,3000.0
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,2,68400,3.0228089580050437,41806,0.5567143472228867,0.5520167536024353,14244,10299,0.7230412805391744,41806,5555,0.13287566378031862,,,confirmed,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__severe/confirmed_screened,,,,,
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,4,64600,2.3678064169944264,41806,0.5345644165909199,0.5305280856764961,14244,14244,1.0,41806,0,0.0,,,confirmed,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__severe/confirmed_unscreened,60000.0,64600.0,11400.0,True,3000.0
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,9,57000,2.4288874579942785,41806,0.5186097689326891,0.5118250313155537,14244,4458,0.3129738837405223,41806,14914,0.3567430512366646,,,immediate,True,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__severe/immediate_screened,60000.0,32300.0,8550.0,False,3000.0
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,19,57000,2.2318704999925103,41806,0.5109314452470938,0.506194928300834,14244,14244,1.0,41806,0,0.0,,,immediate,False,adwin,complete,results/per_dataset_study/fixed_responses/runs/RBF_I/adwin/RBF_I__s116__concept__severe/immediate_unscreened,60000.0,57000.0,18050.0,False,3000.0
