stream,detector,arm,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,malicious_recall,benign_fpr
SEA_A,hddm_w,q_alarm_persistence_27,0.9017877137504693,0.91019122119977,0.5344847270079381,0.38031450174639214,25.428571428571427,,
SEA_A,hddm_w,q_alarm_persistence_7,0.8936546195054855,0.9026101193888696,0.6025740938905043,0.29818804690156375,1.3333333333333335,,
SEA_A,hddm_w,selected_map,0.9034521907142097,0.9116474858594896,0.5249085551010672,0.38676196986787226,29.285714285714285,,
SEA_A,hellinger,confirmed,0.891111838253983,0.9005171613047909,0.7366868925202481,0.2190678057844441,0.38095238095238093,,
SEA_A,hellinger,error_rule,0.8989944743667004,0.907408384684202,0.4383750158470192,0.48250570010942856,5.809523809523809,,
SEA_A,hellinger,no_reset,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034204,0.0,,
SEA_A,hellinger,q_alarm_17,0.8963821240396612,0.9051408304274753,0.6162607605821863,0.32705876134126627,2.619047619047619,,
SEA_A,hellinger,q_alarm_27,0.9016176987396994,0.9099471086808618,0.45625161659661817,0.4205304951774404,32.95238095238095,,
SEA_A,hellinger,q_alarm_7,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034204,0.0,,
SEA_A,hellinger,q_alarm_persistence_17,0.9012044339487967,0.9096493108133501,0.5266375858267933,0.38575251246784276,28.38095238095238,,
SEA_A,hellinger,q_alarm_persistence_27,0.9011311728152244,0.9095762452688875,0.5273650394038588,0.3847753228169831,28.333333333333336,,
SEA_A,hellinger,q_alarm_persistence_7,0.889154591855126,0.8989973456918046,0.7608970140069492,0.20213947287034204,0.0,,
SEA_A,hellinger,selected_map,0.8998986818980985,0.9082868762412633,0.4683820133854004,0.45803707434477314,7.238095238095239,,
radar,adwin,confirmed,0.45521732014120664,0.5971277795871988,0.8285364360516724,0.17267215434875754,9.761904761904761,0.6875069720585361,0.21356445807234242
radar,adwin,error_rule,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.37085846832046604,31.142857142857142,0.7043831127706589,0.2706859134878116
radar,adwin,no_reset,0.44173621491949927,0.6458904291231412,0.8691038322692003,0.12899915257643654,0.0,0.7453994180249219,0.10732203991956857
radar,adwin,q_alarm_17,0.47373971329335823,0.6065111418450119,0.7253249015652896,0.29308346427625664,30.428571428571427,0.7188540182978348,0.23715960592135063
radar,adwin,q_alarm_27,0.47373971329335823,0.6065111418450119,0.7253249015652896,0.29308346427625664,30.428571428571427,0.7188540182978348,0.23715960592135063
radar,adwin,q_alarm_7,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
radar,adwin,q_alarm_persistence_17,0.44329894688355276,0.5893989513656672,0.7630951138537521,0.2495327489901411,15.904761904761907,0.713080161090329,0.21642041586023972
radar,adwin,q_alarm_persistence_27,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.37085846832046604,31.142857142857142,0.7043831127706589,0.2706859134878116
radar,adwin,q_alarm_persistence_7,0.44329894688355276,0.5893989513656672,0.7630951138537521,0.2495327489901411,15.904761904761907,0.713080161090329,0.21642041586023972
radar,adwin,selected_map,0.4508107663771808,0.609217114213422,0.7765910089817099,0.23426461292607703,8.619047619047619,0.7158013288341032,0.202684583517075
radar,d3_oof,confirmed,0.45959042379124043,0.6358326474466719,0.8527561622869295,0.14395983908633309,1.619047619047619,0.7333875672165843,0.13884962108888058
radar,d3_oof,error_rule,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.37085846832046604,31.142857142857142,0.7043831127706589,0.2706859134878116
radar,d3_oof,no_reset,0.44173621491949927,0.6458904291231412,0.8691038322692003,0.12899915257643654,0.0,0.7453994180249219,0.10732203991956857
radar,d3_oof,q_alarm_17,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
radar,d3_oof,q_alarm_27,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
radar,d3_oof,q_alarm_7,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
radar,d3_oof,q_alarm_persistence_17,0.44617339848626086,0.5843909438020406,0.6229209220253079,0.37150625967398593,45.047619047619044,0.6796899678707523,0.2539060262195273
radar,d3_oof,q_alarm_persistence_27,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
radar,d3_oof,q_alarm_persistence_7,0.44617339848626086,0.5843909438020406,0.6229209220253079,0.37150625967398593,45.047619047619044,0.6796899678707523,0.2539060262195273
radar,d3_oof,selected_map,0.45219734895303576,0.5854333457160926,0.6130246635828501,0.37085846832046604,31.095238095238095,0.7055270113320612,0.27090823514503665
radar,hddm_w,confirmed,0.448258598813483,0.5946508106739927,0.8312276962451488,0.1770788233671381,9.428571428571429,0.6854401279948883,0.20849961377669307
radar,hddm_w,error_rule,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.37085846832046604,31.142857142857142,0.7043831127706589,0.2706859134878116
radar,hddm_w,no_reset,0.44173621491949927,0.6458904291231412,0.8691038322692003,0.12899915257643654,0.0,0.7453994180249219,0.10732203991956857
radar,hddm_w,q_alarm_17,0.4482252375970424,0.5891333423755124,0.5804501455771046,0.3868847093177492,35.61904761904762,0.6643198286544114,0.23936482915266663
radar,hddm_w,q_alarm_27,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425966,78.66666666666666,0.6682727645925246,0.29548397289914513
