rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,malicious_recall_baseline,benign_fpr_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
12000,13300,6650,0,0,0.15076304199465085,False,600,confirmed,True,10450,0.8795215311004785,0.8644455039562979,0,0,,10450,4750,0.45454545454545453,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,hellinger,0.05,1,0,complete,0.8644455039562979,0.8795215311004785,,0.45454545454545453,0,13300,0.15076304199465085,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,1900,2,0.12662562499463093,False,600,rl,True,10450,0.8864114832535885,0.8729015939580664,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,hellinger,0.05,1,0,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.12662562499463093,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,5700,950,1,0.12399875000119209,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,hellinger,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.12662562499463093,,,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.0026268749934388325,,
12000,11400,7600,0,0,0.1271041250001872,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13088012499792967,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.003775999997742474,,
12000,11400,7600,0,0,0.13088012499792967,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13088012499792967,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.12558729101147037,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12986741701024584,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.004280125998775475,,
12000,11400,7600,0,0,0.12986741701024584,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12986741701024584,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.12553325000044424,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_persistence_7,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12949700000172015,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.003963750001275912,,
12000,11400,7600,0,0,0.12949700000172015,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_persistence_7,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12949700000172015,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.12352229199314024,False,600,none,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12857437500497326,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0050520830118330196,,
12000,11400,7600,0,0,0.12857437500497326,False,600,none,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,no_reset,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.12857437500497326,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.13665529100399,False,600,confirmed,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14118958300969098,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0045342920057009906,,
12000,11400,7600,0,0,0.14118958300969098,False,600,confirmed,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,confirmed,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14118958300969098,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,1900,2,0.12883175000024494,False,600,rl,True,10450,0.8864114832535885,0.8729015939580664,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,d3_oof,0.05,1,0,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.12883175000024494,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,5700,950,1,0.12713129199983086,False,600,rl,True,10450,0.8916746411483254,0.8801696017385143,0,0,,10450,5700,0.5454545454545454,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,error_rule,d3_oof,0.01,5,4,complete,0.8729015939580664,0.8864114832535885,,0.36363636363636365,2,11400,0.12883175000024494,,,0.007268007780447894,0.0052631578947368585,,0.18181818181818177,-1,0,-0.0017004580004140735,,
12000,11400,7600,0,0,0.13572170899715275,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14015562500571832,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.004433916008565575,,
12000,11400,7600,0,0,0.14015562500571832,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,selected_map,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14015562500571832,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.13707633400917985,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14032220900116954,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0032458749919896945,,
12000,11400,7600,0,0,0.14032220900116954,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_7,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14032220900116954,,,0.0,0.0,,0.0,0,0,0.0,,
12000,11400,7600,0,0,0.13513720799528528,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,,,SEA_A__s9917__clean__none,SEA_A,clean,none,9917.0,q_alarm_persistence_7,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14101199999277014,,,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.005874791997484863,,
