condition,dataset,base_key,attack_seed,mode,level,series,category,source_run,rows,audit_rows,policy,learner_resets,events_path,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k
radar__concept__moderate__a0,RADAR,radar,0.0,concept,moderate,d3_oof,3,radar__concept__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a0/d3_oof/alarms.parquet,0.024793388429752067,12,484,282,5,0.01773049645390071,47,1,0.02127659574468085,,,,,14.064829408583078
radar__concept__moderate__a0,RADAR,radar,0.0,concept,moderate,hddm_w,3,radar__concept__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a0/hddm_w/alarms.parquet,0.7293388429752066,353,484,282,244,0.8652482269503546,47,23,0.48936170212765956,,,,,1.804246493203081
radar__concept__moderate__a0,RADAR,radar,0.0,concept,moderate,hellinger,3,radar__concept__moderate__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a0/hellinger/alarms.parquet,0.05785123966942149,28,484,282,10,0.03546099290780142,47,4,0.0851063829787234,,,,,0.3769848145996264
radar__concept__moderate__a1,RADAR,radar,1.0,concept,moderate,adwin,3,radar__concept__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a1/adwin/alarms.parquet,0.8367768595041323,405,484,271,263,0.9704797047970479,51,32,0.6274509803921569,,,,,0.09798771795311333
radar__concept__moderate__a1,RADAR,radar,1.0,concept,moderate,d3_oof,3,radar__concept__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a1/d3_oof/alarms.parquet,0.0371900826446281,18,484,271,9,0.033210332103321034,51,3,0.058823529411764705,,,,,13.152643676611223
radar__concept__moderate__a1,RADAR,radar,1.0,concept,moderate,hddm_w,3,radar__concept__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a1/hddm_w/alarms.parquet,0.7169421487603306,347,484,271,236,0.8708487084870848,51,22,0.43137254901960786,,,,,1.866875913769855
radar__concept__moderate__a1,RADAR,radar,1.0,concept,moderate,hellinger,3,radar__concept__moderate__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a1/hellinger/alarms.parquet,0.06198347107438017,30,484,271,15,0.055350553505535055,51,4,0.0784313725490196,,,,,0.46194585734402455
radar__concept__moderate__a2,RADAR,radar,2.0,concept,moderate,adwin,3,radar__concept__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a2/adwin/alarms.parquet,0.8615702479338843,417,484,282,272,0.9645390070921985,47,35,0.7446808510638298,,,,,0.09869387074534496
radar__concept__moderate__a2,RADAR,radar,2.0,concept,moderate,d3_oof,3,radar__concept__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a2/d3_oof/alarms.parquet,0.0371900826446281,18,484,282,8,0.028368794326241134,47,2,0.0425531914893617,,,,,13.563062672792038
radar__concept__moderate__a2,RADAR,radar,2.0,concept,moderate,hddm_w,3,radar__concept__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a2/hddm_w/alarms.parquet,0.7210743801652892,349,484,282,228,0.8085106382978723,47,32,0.6808510638297872,,,,,1.8127213448182893
radar__concept__moderate__a2,RADAR,radar,2.0,concept,moderate,hellinger,3,radar__concept__moderate__a2__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/moderate/radar__concept__moderate__a2/hellinger/alarms.parquet,0.07024793388429752,34,484,282,16,0.05673758865248227,47,2,0.0425531914893617,,,,,0.45544466946151013
radar__concept__severe__a0,RADAR,radar,0.0,concept,severe,adwin,4,radar__concept__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a0/adwin/alarms.parquet,0.8946280991735537,433,484,384,371,0.9661458333333334,6,2,0.3333333333333333,,,,,0.13782833757876717
radar__concept__severe__a0,RADAR,radar,0.0,concept,severe,d3_oof,4,radar__concept__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a0/d3_oof/alarms.parquet,0.0371900826446281,18,484,384,14,0.036458333333333336,6,0,0.0,,,,,10.250975527179614
radar__concept__severe__a0,RADAR,radar,0.0,concept,severe,hddm_w,4,radar__concept__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a0/hddm_w/alarms.parquet,0.7458677685950413,361,484,384,315,0.8203125,6,1,0.16666666666666666,,,,,1.9216258584289476
radar__concept__severe__a0,RADAR,radar,0.0,concept,severe,hellinger,4,radar__concept__severe__a0__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a0/hellinger/alarms.parquet,0.06198347107438017,30,484,384,14,0.036458333333333336,6,0,0.0,,,,,0.3917224449188318
radar__concept__severe__a1,RADAR,radar,1.0,concept,severe,adwin,4,radar__concept__severe__a1__none__none__unguarded,484753,24238,none,0,runs/RADAR/concept/severe/radar__concept__severe__a1/adwin/alarms.parquet,0.9235537190082644,447,484,393,384,0.9770992366412213,4,2,0.5,,,,,0.14053443707447266
