dataset,category,mode,level,series,metric,mean,sd,defined,runs
RADAR,4,concept,severe,hellinger,seconds_per_100k,0.38078037018182576,0.012136062703424736,3,3
RADAR,4,concept,severe,hellinger,unexposed_alarm_rate,0.05555555555555555,0.09622504486493763,3,3
RADAR,5,splice,moderate,adwin,alarm_rate,0.796831955922865,0.01757210857048631,3,3
RADAR,5,splice,moderate,adwin,detection_delay,,,0,3
RADAR,5,splice,moderate,adwin,event_recall,,,0,3
RADAR,5,splice,moderate,adwin,poison_alarm_rate,0.8820288558498062,0.009327492907480315,3,3
RADAR,5,splice,moderate,adwin,seconds_per_100k,0.12059536210046484,0.022069344160557197,3,3
RADAR,5,splice,moderate,adwin,unexposed_alarm_rate,0.7063183320620392,0.07856459469179451,3,3
RADAR,5,splice,moderate,d3_oof,alarm_rate,0.03236914600550964,0.004300962808814324,3,3
RADAR,5,splice,moderate,d3_oof,detection_delay,,,0,3
RADAR,5,splice,moderate,d3_oof,event_recall,,,0,3
RADAR,5,splice,moderate,d3_oof,poison_alarm_rate,0.030925714074615248,0.0037344331846580693,3,3
RADAR,5,splice,moderate,d3_oof,seconds_per_100k,17.459032745008187,0.7315630855483386,3,3
RADAR,5,splice,moderate,d3_oof,unexposed_alarm_rate,0.03437579455886092,0.008628594912189052,3,3
RADAR,5,splice,moderate,hddm_w,alarm_rate,0.6852617079889808,0.03024819732231095,3,3
RADAR,5,splice,moderate,hddm_w,detection_delay,,,0,3
RADAR,5,splice,moderate,hddm_w,event_recall,,,0,3
RADAR,5,splice,moderate,hddm_w,poison_alarm_rate,0.7877948004154067,0.02499081936880811,3,3
RADAR,5,splice,moderate,hddm_w,seconds_per_100k,1.996360221887496,0.05154877214896426,3,3
RADAR,5,splice,moderate,hddm_w,unexposed_alarm_rate,0.6170353419781337,0.13150356198038066,3,3
RADAR,5,splice,moderate,hellinger,alarm_rate,0.08677685950413223,0.007449486106330561,3,3
RADAR,5,splice,moderate,hellinger,detection_delay,,,0,3
RADAR,5,splice,moderate,hellinger,event_recall,,,0,3
RADAR,5,splice,moderate,hellinger,poison_alarm_rate,0.0832506384096715,0.007595876413268787,3,3
RADAR,5,splice,moderate,hellinger,seconds_per_100k,0.40585423258303055,0.010612230825710984,3,3
