dataset,series,category,mode,level,profile,metric,mean,sd,defined,realizations
RADAR,adwin,6,splice,severe,immediate_unscreened,macro_f1,0.6084316607915606,0.0099578910020251,3,3
RADAR,adwin,6,splice,severe,immediate_unscreened,macro_recall,0.6230280366314039,0.0179493713900465,3,3
RADAR,adwin,6,splice,severe,immediate_unscreened,roc_auc,0.7566754324672397,0.0137002644533951,3,3
RADAR,d3_oof,0,clean,none,confirmed_screened,accuracy,0.6657884660441805,0.0042671174181842,3,3
RADAR,d3_oof,0,clean,none,confirmed_screened,macro_f1,0.5092602926638973,0.0099944375885681,3,3
RADAR,d3_oof,0,clean,none,confirmed_screened,macro_recall,0.5128384342415444,0.0111220697833403,3,3
RADAR,d3_oof,0,clean,none,confirmed_screened,roc_auc,0.8918304001463544,0.0065080656870958,3,3
RADAR,d3_oof,0,clean,none,confirmed_unscreened,accuracy,0.698710552845499,0.0017760504990854,3,3
RADAR,d3_oof,0,clean,none,confirmed_unscreened,macro_f1,0.5659053787748376,0.0125594704715127,3,3
RADAR,d3_oof,0,clean,none,confirmed_unscreened,macro_recall,0.5620011938685779,0.015632280284772,3,3
RADAR,d3_oof,0,clean,none,confirmed_unscreened,roc_auc,0.90516017466599,0.0040281897307737,3,3
RADAR,d3_oof,0,clean,none,immediate_screened,accuracy,0.6606176963684858,0.0061645501878993,3,3
RADAR,d3_oof,0,clean,none,immediate_screened,macro_f1,0.4826700993430944,0.0042798471712687,3,3
RADAR,d3_oof,0,clean,none,immediate_screened,macro_recall,0.4754487768332796,0.0037642924498411,3,3
RADAR,d3_oof,0,clean,none,immediate_screened,roc_auc,0.8952924708455395,0.0061895399259311,3,3
RADAR,d3_oof,0,clean,none,immediate_unscreened,accuracy,0.6995699310172196,0.0014027042765504,3,3
RADAR,d3_oof,0,clean,none,immediate_unscreened,macro_f1,0.5879258050901287,0.0072853575482533,3,3
RADAR,d3_oof,0,clean,none,immediate_unscreened,macro_recall,0.5939691012216627,0.0069160421343456,3,3
RADAR,d3_oof,0,clean,none,immediate_unscreened,roc_auc,0.8924254483128191,0.0053451832544265,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_screened,accuracy,0.6336428322193551,0.0121211709724179,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_screened,macro_f1,0.4459343694699253,0.0290957416834207,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_screened,macro_recall,0.4398871371974203,0.0265272728681489,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_screened,roc_auc,0.8327843906313085,0.0117922076185801,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_unscreened,accuracy,0.6328352409774571,0.0154947768430808,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_unscreened,macro_f1,0.4683722462941362,0.0288752480310055,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_unscreened,macro_recall,0.4398674185354207,0.0308625390755909,3,3
RADAR,d3_oof,1,instance,moderate,confirmed_unscreened,roc_auc,0.7930772003747785,0.0108486115066811,3,3
RADAR,d3_oof,1,instance,moderate,immediate_screened,accuracy,0.6404077535407181,0.0099626012307951,3,3
RADAR,d3_oof,1,instance,moderate,immediate_screened,macro_f1,0.4609225567706586,0.0115744668931197,3,3
RADAR,d3_oof,1,instance,moderate,immediate_screened,macro_recall,0.4438115534575638,0.0138503884282937,3,3
RADAR,d3_oof,1,instance,moderate,immediate_screened,roc_auc,0.8341454825684448,0.0182758017509732,3,3
RADAR,d3_oof,1,instance,moderate,immediate_unscreened,accuracy,0.6456189460469797,0.0085431503705592,3,3
RADAR,d3_oof,1,instance,moderate,immediate_unscreened,macro_f1,0.5149680740418762,0.02116554908102,3,3
RADAR,d3_oof,1,instance,moderate,immediate_unscreened,macro_recall,0.4975207968872676,0.0208670069866388,3,3
RADAR,d3_oof,1,instance,moderate,immediate_unscreened,roc_auc,0.8061389795422707,0.0022172696200236,3,3
RADAR,d3_oof,2,instance,severe,confirmed_screened,accuracy,0.5925842692025097,0.0227605140182663,3,3
RADAR,d3_oof,2,instance,severe,confirmed_screened,macro_f1,0.3879420648639295,0.0316656732636429,3,3
RADAR,d3_oof,2,instance,severe,confirmed_screened,macro_recall,0.37551034315972,0.0411627308717672,3,3
RADAR,d3_oof,2,instance,severe,confirmed_screened,roc_auc,0.7798470262462343,0.0357637369182,3,3
RADAR,d3_oof,2,instance,severe,confirmed_unscreened,accuracy,0.6012585386014028,0.0080118713365319,3,3
RADAR,d3_oof,2,instance,severe,confirmed_unscreened,macro_f1,0.4296043128597623,0.0070408301597274,3,3
RADAR,d3_oof,2,instance,severe,confirmed_unscreened,macro_recall,0.3973796472580176,0.0047335949723551,3,3
RADAR,d3_oof,2,instance,severe,confirmed_unscreened,roc_auc,0.7420174305177705,0.007629534938492,3,3
RADAR,d3_oof,2,instance,severe,immediate_screened,accuracy,0.630600766260723,0.0138040833520216,3,3
RADAR,d3_oof,2,instance,severe,immediate_screened,macro_f1,0.4603381184470206,0.0156163452566109,3,3
RADAR,d3_oof,2,instance,severe,immediate_screened,macro_recall,0.436682026734924,0.0210578786858073,3,3
RADAR,d3_oof,2,instance,severe,immediate_screened,roc_auc,0.7924926012766419,0.023176613583113,3,3
RADAR,d3_oof,2,instance,severe,immediate_unscreened,accuracy,0.6369841342724749,0.0060760019554356,3,3
RADAR,d3_oof,2,instance,severe,immediate_unscreened,macro_f1,0.493872639640345,0.0108577379937913,3,3
RADAR,d3_oof,2,instance,severe,immediate_unscreened,macro_recall,0.4670029363296775,0.0190035754208908,3,3
RADAR,d3_oof,2,instance,severe,immediate_unscreened,roc_auc,0.7761074728334386,0.0089918570509219,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_screened,accuracy,0.6482703492765541,0.0213756385992204,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_screened,macro_f1,0.4749936947211622,0.0323501491494278,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_screened,macro_recall,0.4847337695181243,0.0357767888377514,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_screened,roc_auc,0.8992669041354159,0.0028473024554228,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_unscreened,accuracy,0.6547727068676923,0.018957326732157,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_unscreened,macro_f1,0.4830742357674338,0.0420386241925884,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_unscreened,macro_recall,0.4869718476384178,0.0396915509489663,3,3
RADAR,d3_oof,3,concept,moderate,confirmed_unscreened,roc_auc,0.9068774981260428,0.001811252785501,3,3
RADAR,d3_oof,3,concept,moderate,immediate_screened,accuracy,0.6471114297986152,0.0106049279703843,3,3
RADAR,d3_oof,3,concept,moderate,immediate_screened,macro_f1,0.4764538671263749,0.0096371226640095,3,3
RADAR,d3_oof,3,concept,moderate,immediate_screened,macro_recall,0.4779302626519338,0.0119756234082913,3,3
RADAR,d3_oof,3,concept,moderate,immediate_screened,roc_auc,0.8794627301160266,0.009930063454162,3,3
RADAR,d3_oof,3,concept,moderate,immediate_unscreened,accuracy,0.6768795124964181,0.0035808471646279,3,3
RADAR,d3_oof,3,concept,moderate,immediate_unscreened,macro_f1,0.5282032327956881,0.012872286507974,3,3
RADAR,d3_oof,3,concept,moderate,immediate_unscreened,macro_recall,0.5334219185795036,0.0153291618226976,3,3
RADAR,d3_oof,3,concept,moderate,immediate_unscreened,roc_auc,0.9088499966477662,0.0179010051043116,3,3
RADAR,d3_oof,4,concept,severe,confirmed_screened,accuracy,0.6348538907402207,0.0184114740285047,3,3
RADAR,d3_oof,4,concept,severe,confirmed_screened,macro_f1,0.4529453854115806,0.0151863565828943,3,3
RADAR,d3_oof,4,concept,severe,confirmed_screened,macro_recall,0.454867006253383,0.0133196138503414,3,3
RADAR,d3_oof,4,concept,severe,confirmed_screened,roc_auc,0.8880831985093214,0.0144063625573977,3,3
RADAR,d3_oof,4,concept,severe,confirmed_unscreened,accuracy,0.6507232791469196,0.0219061841313844,3,3
RADAR,d3_oof,4,concept,severe,confirmed_unscreened,macro_f1,0.4906089845756112,0.0365187720980794,3,3
RADAR,d3_oof,4,concept,severe,confirmed_unscreened,macro_recall,0.4904520543882826,0.0354291073333736,3,3
RADAR,d3_oof,4,concept,severe,confirmed_unscreened,roc_auc,0.8845614765531775,0.0078198667639874,3,3
RADAR,d3_oof,4,concept,severe,immediate_screened,accuracy,0.6205865091470938,0.0250977404960811,3,3
RADAR,d3_oof,4,concept,severe,immediate_screened,macro_f1,0.4512276853644975,0.0488639928273456,3,3
RADAR,d3_oof,4,concept,severe,immediate_screened,macro_recall,0.4572844054295547,0.0463701646180087,3,3
RADAR,d3_oof,4,concept,severe,immediate_screened,roc_auc,0.8881481129703538,0.0100838780731932,3,3
RADAR,d3_oof,4,concept,severe,immediate_unscreened,accuracy,0.6469798969692006,0.0172250566654491,3,3
RADAR,d3_oof,4,concept,severe,immediate_unscreened,macro_f1,0.4789164834971968,0.0348057773293194,3,3
RADAR,d3_oof,4,concept,severe,immediate_unscreened,macro_recall,0.4888608623165557,0.0408232773898925,3,3
RADAR,d3_oof,4,concept,severe,immediate_unscreened,roc_auc,0.8924017898726824,0.0215680903585364,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_screened,accuracy,0.6643959843251682,0.0293490709036021,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_screened,macro_f1,0.4939030871654642,0.0356203296812896,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_screened,macro_recall,0.4915079103386384,0.042796864553811,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_screened,roc_auc,0.8896214868208876,0.0216358197820319,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_unscreened,accuracy,0.6761987216044091,0.0030500158323709,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_unscreened,macro_f1,0.5163506268973922,0.0072909215483635,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_unscreened,macro_recall,0.5021515994047806,0.0121665480460113,3,3
RADAR,d3_oof,5,splice,moderate,confirmed_unscreened,roc_auc,0.9040846754879776,0.0124613525251815,3,3
RADAR,d3_oof,5,splice,moderate,immediate_screened,accuracy,0.6510716478598778,0.0168860057699922,3,3
RADAR,d3_oof,5,splice,moderate,immediate_screened,macro_f1,0.4963149111096079,0.0303273513954008,3,3
RADAR,d3_oof,5,splice,moderate,immediate_screened,macro_recall,0.4892625638630165,0.0320795595649935,3,3
RADAR,d3_oof,5,splice,moderate,immediate_screened,roc_auc,0.8631169990207951,0.0343170869183764,3,3
RADAR,d3_oof,5,splice,moderate,immediate_unscreened,accuracy,0.644884661228648,0.0249307664764897,3,3
RADAR,d3_oof,5,splice,moderate,immediate_unscreened,macro_f1,0.5023957372362798,0.0496333838887566,3,3
RADAR,d3_oof,5,splice,moderate,immediate_unscreened,macro_recall,0.4951320076058956,0.0433449447171644,3,3
RADAR,d3_oof,5,splice,moderate,immediate_unscreened,roc_auc,0.8598669110253052,0.0243786169222972,3,3
RADAR,d3_oof,6,splice,severe,confirmed_screened,accuracy,0.6533068082762964,0.0179109945668011,3,3
RADAR,d3_oof,6,splice,severe,confirmed_screened,macro_f1,0.4500303273319258,0.0079029898127736,3,3
RADAR,d3_oof,6,splice,severe,confirmed_screened,macro_recall,0.4336330313520886,0.0087493890275174,3,3
RADAR,d3_oof,6,splice,severe,confirmed_screened,roc_auc,0.8845040010744714,0.0100648070726019,3,3
