rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,malicious_recall_reference,benign_fpr_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
60000,57000,36100,25650,27,2.3474627920077182,False,3000,rl,True,47507,0.5216704906645336,0.5168966242078818,8543,3623,0.4240898981622381,47507,15980,0.3363714820973751,,,RBF_I__s117__splice__moderate,RBF_I,splice,moderate,117.0,q_alarm_persistence_47,d3_oof,0.05,1,0,complete,0.5419767450037329,0.5423832277348601,0.7717429474423505,0.17892100111562506,0,57000,3.0167992079950636,,,-0.02508012079585109,-0.020712737070326503,-0.3476530492801124,0.15745048098175005,27,0,-0.6693364159873454,,
60000,57000,30400,29450,31,2.30460091700661,False,3000,rl,True,41836,0.5203413328234057,0.5152880915465676,14214,4068,0.28619670747150694,41836,16454,0.39329763839755233,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_37,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.0269451619000044,-0.025360933167606903,-0.29562403264387227,0.14934506166937564,30,-7600,-0.6299588749971008,,
60000,57000,39900,0,0,2.8963379579945467,False,3000,none,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,no_reset,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.0026025177454445103,-0.002031742996462471,0.010834388630927227,-0.01902667559040061,-1,-7600,-0.1483279170060996,,
60000,64600,40850,2850,1,3.0446658750006463,True,3000,confirmed,True,41836,0.5430012429486567,0.5417956476374668,14214,8472,0.5960320810468552,41836,12308,0.29419638588775215,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,confirmed,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,0.0,0.0,0.0,0.0,0,0,0.0,,
60000,57000,38000,6650,7,2.6611492920055753,False,3000,rl,True,41836,0.5115689836504446,0.504456327350451,14214,4551,0.3201772899957788,41836,9337,0.22318099244669662,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,error_rule,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.03733932028701581,-0.03143225929821214,-0.2758547910510764,-0.07101539344105554,6,-7600,-0.3835165829950711,,
60000,57000,39900,0,0,2.9479872500087367,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,selected_map,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.0026025177454445103,-0.002031742996462471,0.010834388630927227,-0.01902667559040061,-1,-7600,-0.0966786249919096,,
60000,57000,39900,0,0,2.916288209002232,False,3000,rl,True,41836,0.5409694999521942,0.5391931298920223,14214,8626,0.6068664696777825,41836,11512,0.27516971029735154,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_7,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.0026025177454445103,-0.002031742996462471,0.010834388630927227,-0.01902667559040061,-1,-7600,-0.12837766599841416,,
60000,57000,29450,20900,22,2.639552458000253,False,3000,rl,True,41836,0.5206998757051343,0.5157362469018525,14214,3516,0.24736175601519628,41836,16852,0.40281097619275263,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_17,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.026059400735614302,-0.022301367243522385,-0.34867032503165896,0.10861459030500048,21,-7600,-0.4051134170003934,,
60000,57000,36100,5700,6,2.6767270830023335,False,3000,rl,True,41836,0.5056410746725308,0.49958982869811497,14214,8028,0.5647952722667793,41836,14714,0.3517066641170284,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_27,hddm_w,0.05,1,0,complete,0.5417956476374668,0.5430012429486567,0.5960320810468552,0.29419638588775215,1,64600,3.0446658750006463,,,-0.042205818939351825,-0.03736016827612587,-0.031236808780075953,0.057510278229276235,5,-7600,-0.3679387919983128,,
60000,57000,30400,29450,31,2.2846675000037067,False,3000,rl,True,41836,0.5203413328234057,0.5152880915465676,14214,4068,0.28619670747150694,41836,16454,0.39329763839755233,,,RBF_I__s117__splice__severe,RBF_I,splice,severe,117.0,q_alarm_47,adwin,0.05,1,0,complete,0.542233253446572,0.5457022659910126,0.5818207401153792,0.2439525767281767,1,64600,2.9345597920037108,,,-0.0269451619000044,-0.025360933167606903,-0.29562403264387227,0.14934506166937564,30,-7600,-0.6498922920000041,,
