stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,base_seed,attack_seed,attack_assignment,base_key,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
SEA_A,1,115,splice,severe,SEA_A__s115__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3823887799.0,,SEA_A__s115,0.0338983050847457,2,59,57,2,0.0350877192982456,0,0,,0.3333333333333333,1.0,3.0,1.18,0.1293129250310206,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s115__splice__severe
SEA_A,1,115,splice,severe,SEA_A__s115__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3823887799.0,,SEA_A__s115,0.0,0,59,57,0,0.0,0,0,,0.0,0.0,3.0,,0.0875561065428579,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s115__splice__severe
SEA_A,1,115,splice,severe,SEA_A__s115__splice__severe,False,0.02857142857142857,0.3333333333333333,60000,115.0,3823887799.0,,SEA_A__s115,0.1186440677966101,7,59,57,7,0.1228070175438596,0,0,,1.0,3.0,3.0,4.18,0.0077231981655738,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s115__splice__severe
SEA_A,2,116,clean,none,SEA_A__s116__clean__none,False,0.02857142857142857,0.3333333333333333,60000,116.0,,,SEA_A__s116,0.0508474576271186,3,59,0,0,,13,0,0.0,1.0,3.0,3.0,13.513333333333334,0.0128778415576865,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__clean__none
SEA_A,2,116,clean,none,SEA_A__s116__clean__none,False,0.02857142857142857,0.3333333333333333,60000,116.0,,,SEA_A__s116,0.0338983050847457,2,59,0,0,,13,0,0.0,0.3333333333333333,1.0,3.0,1.18,0.1286647199109817,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__clean__none
SEA_A,2,116,clean,none,SEA_A__s116__clean__none,False,0.02857142857142857,0.3333333333333333,60000,116.0,,,SEA_A__s116,0.0169491525423728,1,59,0,0,,13,0,0.0,0.3333333333333333,1.0,3.0,16.18,0.0886671566210376,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__clean__none
SEA_A,2,116,clean,none,SEA_A__s116__clean__none,False,0.02857142857142857,0.3333333333333333,60000,116.0,,,SEA_A__s116,0.0677966101694915,4,59,0,0,,13,0,0.0,1.0,3.0,3.0,5.846666666666667,0.0077023703003457,hellinger,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hellinger/SEA_A__s116__clean__none
SEA_A,2,116,instance,moderate,SEA_A__s116__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,453400147.0,,SEA_A__s116,0.0338983050847457,2,59,59,2,0.0338983050847457,0,0,,0.6666666666666666,2.0,3.0,17.68,0.0131220831826794,adwin,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/adwin/SEA_A__s116__instance__moderate
SEA_A,2,116,instance,moderate,SEA_A__s116__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,453400147.0,,SEA_A__s116,0.0169491525423728,1,59,59,1,0.0169491525423728,0,0,,0.3333333333333333,1.0,3.0,1.18,0.1351700647986339,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/d3_oof/SEA_A__s116__instance__moderate
SEA_A,2,116,instance,moderate,SEA_A__s116__instance__moderate,False,0.02857142857142857,0.3333333333333333,60000,116.0,453400147.0,,SEA_A__s116,0.1186440677966101,7,59,59,7,0.1186440677966101,0,0,,1.0,3.0,3.0,7.513333333333333,0.0936223617463838,hddm_w,0,complete,results/per_dataset_study/passive_detectors/runs/SEA_A/hddm_w/SEA_A__s116__instance__moderate
