stream,detector,filter,filter_seed,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
RBF_I,none,learned_features,27.0,0.5358038701790165,0.5405238113041003,0.6920769037923521,0.26269753910534194,0.0,54549.34285714285,,
RBF_I,none,learned_features,37.0,0.5282258378593945,0.5326424830627227,0.6705710904968548,0.27156103365529655,0.0,54273.91428571429,,
RBF_I,none,learned_features,47.0,0.5309187848352208,0.535789151476924,0.6727964620435681,0.26458006516814303,0.0,54386.45714285714,,
RBF_I,none,learned_features_label,7.0,0.5293453437478614,0.5348379522122244,0.6744548995887482,0.27658508241544416,0.0,54027.0,,
RBF_I,none,learned_features_label,17.0,0.5230648149129049,0.5286545706909642,0.6655283705078475,0.27066826801372523,0.0,53880.05714285715,,
RBF_I,none,learned_features_label,27.0,0.5303369473867162,0.5356143433196433,0.6754445194592549,0.2543247999185976,0.0,54242.37142857142,,
RBF_I,none,learned_features_label,37.0,0.5310510574063728,0.536413616854091,0.7031883990398574,0.2628830796238135,0.0,54381.142857142855,,
RBF_I,none,learned_features_label,47.0,0.5256975063591921,0.5308275022614183,0.6692106649613939,0.29155207532777644,0.0,54045.37142857142,,
RBF_I,none,none,,0.5382632430967099,0.5425691723854149,0.724690033606028,0.22938260383460848,0.0,57000.0,,
SEA_A,adwin,learned_features,7.0,0.8959979261093872,0.9048417852054316,0.6582115453670979,0.30965799554834644,1.5428571428571427,57937.25714285714,,
SEA_A,adwin,learned_features,17.0,0.8976232941957287,0.9061195827930992,0.6317657644531544,0.3236832574962725,1.4285714285714286,58520.0,,
SEA_A,adwin,learned_features,27.0,0.8964807746757614,0.9051752079128575,0.634413274349063,0.325605948389728,1.5142857142857142,58410.57142857143,,
SEA_A,adwin,learned_features,37.0,0.8968472431426282,0.9055220704163757,0.6421977812339811,0.30792267169433885,1.5714285714285714,58300.17142857143,,
SEA_A,adwin,learned_features,47.0,0.8975135689297407,0.9061642058898711,0.6496332232265113,0.31167808178328016,1.5999999999999999,58544.4,,
SEA_A,adwin,learned_features_label,7.0,0.8942929229361223,0.9031808854080817,0.4981190236381725,0.2027100977279194,0.9428571428571428,52594.200000000004,,
SEA_A,adwin,learned_features_label,17.0,0.8950404713158499,0.9038554773282399,0.4744127842206094,0.22190079176689728,1.0857142857142856,52963.885714285716,,
SEA_A,adwin,learned_features_label,27.0,0.8948969056157168,0.9036303290758151,0.48679525848632266,0.204748900068237,1.0571428571428572,52695.28571428572,,
SEA_A,adwin,learned_features_label,37.0,0.8953890198131813,0.903980401640597,0.4829551540744275,0.20637982686223416,0.9428571428571428,52565.114285714284,,
SEA_A,adwin,learned_features_label,47.0,0.8945881111066903,0.9033784424770074,0.46912155284443086,0.20579457383653624,0.9714285714285714,52424.42857142857,,
SEA_A,adwin,none,,0.8962047255091937,0.9050593014125837,0.6472107799548469,0.3107522061078275,1.2857142857142858,61614.28571428572,,
SEA_A,adwin,oracle_blocks,,0.872273939090222,0.8856103842211491,0.0,0.7338052582367175,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,oracle_rows,,0.9013611899099774,0.9096463810066756,0.0,0.21210735837074182,1.2285714285714284,49262.57142857143,,
SEA_A,adwin,random_blocks,7.0,0.8684135492438564,0.8823690156255214,0.11188666830062904,0.7793080997764948,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,random_blocks,17.0,0.8686623934575073,0.8825867753850233,0.1277823103514105,0.7701306181267423,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,random_blocks,27.0,0.867481122202851,0.8814812520162755,0.13849050638419438,0.7747353345448845,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,random_blocks,37.0,0.8704653225255665,0.8838660444065087,0.12683115220231783,0.7752472876947649,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,random_blocks,47.0,0.8727447876903368,0.8859720243868152,0.1258904651424448,0.7717724489545247,0.19999999999999998,18511.428571428572,,
SEA_A,adwin,random_rows,7.0,0.8953628382849466,0.9043287048927907,0.5386130123490723,0.4112966887129633,1.3714285714285714,50456.37142857142,,
SEA_A,adwin,random_rows,17.0,0.8951807671186949,0.9042007670269151,0.5555258058283356,0.39696514357425366,1.2285714285714284,50512.91428571429,,
SEA_A,adwin,random_rows,27.0,0.8962402444303909,0.905024216206045,0.5171603548424532,0.43640277762630186,1.457142857142857,50744.08571428571,,
SEA_A,adwin,random_rows,37.0,0.896547598372324,0.9052857390406183,0.5427605986374004,0.41155722620864693,1.4857142857142858,50590.857142857145,,
SEA_A,adwin,random_rows,47.0,0.8953483265854236,0.9042228113196525,0.5391941694645068,0.4074923994060313,1.4,50630.514285714286,,
SEA_A,d3_oof,learned_features,7.0,0.8901743857547625,0.900192588645749,0.6879073275229816,0.27785558638291696,0.31428571428571433,54848.91428571429,,
SEA_A,d3_oof,learned_features,17.0,0.8911711457933007,0.9009254622148742,0.7236382955912167,0.25000400569593473,0.34285714285714286,55118.65714285714,,
SEA_A,d3_oof,learned_features,27.0,0.8895021283148156,0.8995247447581585,0.7050930598762705,0.25267231955263186,0.2571428571428572,54903.02857142857,,
SEA_A,d3_oof,learned_features,37.0,0.8890453951408085,0.8992037734342714,0.716929809497453,0.2490941093735215,0.31428571428571433,54844.71428571428,,
SEA_A,d3_oof,learned_features,47.0,0.8907013701039249,0.9005615514184486,0.7336594531265459,0.24501845086191637,0.2857142857142857,54882.57142857143,,
