stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows,base_seed,attack_seed,attack_assignment,base_key,filter_rows_withheld,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,filter_poison_recall,filter_legitimate_rejection,detector,filter,filter_seed,status,folder
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7961835000023711,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_rows,37.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_rows_seed_37
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7971152919926681,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_rows,47.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_rows_seed_47
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,0.0,60000.0,58900,51300.0,2850.0,1,0.7844458750041667,False,3000.0,confirmed,True,56050,0.9085459411239964,0.9010489231629448,0,0,,56050,7600,0.135593220338983,,,,0.0,adwin,random_rows,7.0,complete,results/per_dataset_study/filters/runs/SEA_A/adwin/SEA_A__s115__clean__none/random_rows_seed_7
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,2904.0,60000.0,54096,51392.0,0.0,0,0.9084312920167577,False,3000.0,confirmed,True,56050,0.8968421052631579,0.886388367799076,0,0,,56050,5608,0.1000535236396075,,,,0.0518108831400535,d3_oof,learned_features_label,17.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_label_seed_17
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,2961.0,60000.0,55877,49560.0,2755.0,1,0.8425977909937501,False,3000.0,confirmed,True,56050,0.9093844781445138,0.9015741908485114,0,0,,56050,9278,0.1655307760927743,,,,0.0528278322925959,d3_oof,learned_features_label,27.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_label_seed_27
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,3004.0,60000.0,53996,45875.0,0.0,0,0.90326091600582,False,3000.0,confirmed,True,56050,0.8974665477252454,0.8874841386747516,0,0,,56050,11125,0.1984834968777876,,,,0.0535950044603033,d3_oof,learned_features_label,37.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_label_seed_37
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,3039.0,60000.0,55738,41446.0,2672.0,1,0.8370822079887148,False,3000.0,confirmed,True,56050,0.9080463871543264,0.8993886361796692,0,0,,56050,17331,0.3092060660124888,,,,0.0542194469223907,d3_oof,learned_features_label,47.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_label_seed_47
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,2959.0,60000.0,54041,49558.0,0.0,0,0.9215144170157146,False,3000.0,confirmed,True,56050,0.9018376449598572,0.8924742756432644,0,0,,56050,7442,0.1327743086529884,,,,0.0527921498661909,d3_oof,learned_features_label,7.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_label_seed_7
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,2823.0,60000.0,54177,51490.0,0.0,0,0.9429600409930572,False,3000.0,confirmed,True,56050,0.8934165923282783,0.8832041183098502,0,0,,56050,5510,0.0983050847457627,,,,0.0503657448706512,d3_oof,learned_features,17.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_seed_17
SEA_A,1,115,clean,none,SEA_A__s115__clean__none,False,0.02857142857142857,0.3333333333333333,60000,115.0,,,SEA_A__s115,2771.0,60000.0,54229,53326.0,0.0,0,0.9665992920054124,False,3000.0,confirmed,True,56050,0.8927386262265834,0.8818943821373917,0,0,,56050,3674,0.0655486173059768,,,,0.0494380017841213,d3_oof,learned_features,27.0,complete,results/per_dataset_study/filters/runs/SEA_A/d3_oof/SEA_A__s115__clean__none/learned_features_seed_27
