dataset,base_key,attack_seed,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,radar,0,6,hddm_w,confirmed,-1.7557514143702102,-6.960788476298507,-4.398471783271285,0.04362488898256134,-18.50630995764371,17.25887146389311,-1.4440343845216024,31.918543650007734
RADAR,radar,0,6,hddm_w,immediate,-5.505576966430848,-15.737840024332856,-18.465522415147177,0.008697169686818551,-49.58122059194447,40.80031806098878,-43.733612788368504,9.189787087455315
RADAR,radar,0,6,hellinger,confirmed,0.08749235112881504,-4.30821519221457,-3.933108998739754,0.007405300466122311,-20.00052184349913,20.34429521631629,-1.650325010881831,24.740967193583387
RADAR,radar,0,6,hellinger,immediate,1.9189273330398993,-4.318423114411702,-4.02373444199875,0.04644646126898622,-25.187646224897154,22.748905939847,-4.538393779925034,44.96445043146397
RADAR,radar,0,6,none,none,-0.7831370570364315,-4.3493658537586075,-4.448028888301336,0.0051537440080534624,-7.490193690912095,8.52844556397785,0.0,131.96265749780537
RADAR,radar,1,0,adwin,confirmed,-4.665172693611918,-6.935157719872542,-7.090307142626296,-0.008210506227393166,,14.676922742158341,-1.650325010881831,16.57048523683669
RADAR,radar,1,0,adwin,immediate,-10.238014628038329,-18.430952284979522,-20.293637787660685,-0.05381852695335221,,36.38223102281505,-28.46810643771158,3.414922898882864
RADAR,radar,1,0,d3_oof,confirmed,-3.5549035097618753,-6.134440632816041,-5.070293994839814,-0.012586887514385525,,12.60975052495294,-0.6188718790806869,25.917570164587246
RADAR,radar,1,0,d3_oof,immediate,-3.6075687469435347,-9.73014117611477,-10.893572737954905,0.004110808069762273,,17.364246624525357,-1.2377437581613733,27.713378070902444
RADAR,radar,1,0,hddm_w,confirmed,-4.163240739247954,-8.504637132340337,-8.331184514594275,0.0005079035964359324,,15.297074407319961,-1.8566156372420606,16.444203728480602
RADAR,radar,1,0,hddm_w,immediate,-7.138289239632201,-15.948315752878251,-18.139420495296456,0.00029918434741149635,,35.55536213593289,-35.688278360319586,6.02068890755222
RADAR,radar,1,0,hellinger,confirmed,-4.287917627269855,-8.29357608926668,-9.751207438031074,-0.009487267908032893,,14.470205520437801,-1.4440343845216022,31.036304715999094
RADAR,radar,1,0,hellinger,immediate,-7.167846260499456,-15.983858829570764,-17.425288514084237,0.011424394535397453,,22.32545994581833,-4.538393779925033,50.277206556746805
RADAR,radar,1,0,none,none,-4.056835464125841,-7.35913576136017,-6.178937142355001,-0.008107845163970007,,7.441819981939441,0.0,106.93428653353816
RADAR,radar,1,1,adwin,confirmed,-2.0496450470494088,-3.795787124103689,-3.083395295212293,0.0154403247668079,-13.866148919831344,13.603961612913128,1.0314531318011442,13.677805005822222
RADAR,radar,1,1,adwin,immediate,-11.723926677092233,-18.20642280971524,-17.63997352905362,-0.03859752033195729,-32.054421374443976,31.79557954463984,-22.48567827326494,5.387709080708525
RADAR,radar,1,1,d3_oof,confirmed,-0.7104433015729716,-3.8519244027209187,-1.4232830785940065,0.04021102197240023,-12.225973310923399,12.19107510472464,-0.6188718790806862,58.734403397201476
RADAR,radar,1,1,d3_oof,immediate,-0.7781557493779623,-4.888609831830082,-4.664511375507708,0.040023947452693553,-18.585276091397773,18.36470805125106,-0.6188718790806864,17.968043085881092
RADAR,radar,1,1,hddm_w,confirmed,-1.798679069867426,-4.8510299724750015,-4.751026932628549,0.01330296958685484,-14.7485402147297,14.42101867120046,0.20629062636022777,12.73338710637367
RADAR,radar,1,1,hddm_w,immediate,-10.37075252175127,-18.5733399928276,-19.159884664019017,-0.03194243814717901,-31.5241172464755,31.15955017052961,-29.086978316792266,11.465267197877402
RADAR,radar,1,1,hellinger,confirmed,-2.2619181969142477,-5.951970981944332,-5.774901280324785,0.009200241679059529,-16.639378703797615,17.00584819279576,-0.4125812527204573,27.212863726442833
RADAR,radar,1,1,hellinger,immediate,-5.780815881256007,-14.459897304686386,-14.951889754049297,0.05118070517789097,-18.363591578886364,18.64713172260516,-4.538393779925033,32.46502942736625
RADAR,radar,1,1,none,none,-0.7700947436868888,-4.795688286837846,-4.709952476788248,0.044570503684508656,-8.84854456148484,8.89596157194506,0.0,154.32864180316562
RADAR,radar,1,2,adwin,confirmed,-5.9119415738307595,-9.777376665997451,-9.155660636368367,0.00783018963705906,-14.677305919024752,14.67679460153196,-2.0629062636022883,13.958633819686597
RADAR,radar,1,2,adwin,immediate,-7.062515786136148,-14.137356702024572,-14.128570099142257,-0.006739005888751537,-29.944169973343982,29.98397184619941,-21.454225141463805,6.638059919159787
RADAR,radar,1,2,d3_oof,confirmed,1.6804509863983963,-1.4469317263453796,1.7948730517169942,0.07291943302184423,-16.33657778433807,16.3286816843499,-1.0314531318011442,41.83293846553147
RADAR,radar,1,2,d3_oof,immediate,-0.506768557778603,-4.060469230510744,-4.0871859100739485,0.03064623215575435,-19.351225568936627,19.18238993710692,-0.6188718790806864,23.378189449036967
RADAR,radar,1,2,hddm_w,confirmed,-4.785550378598568,-9.372253001257114,-8.19914080280349,-0.0185734380922169,-16.463345807538353,16.28628837900776,-0.8251625054409155,10.942848007096742
RADAR,radar,1,2,hddm_w,immediate,-9.861296962075661,-17.6786222087372,-16.71603750542754,-0.03943210004447373,-30.17339434406231,30.183162308286438,-27.43665330591043,8.912618488187285
RADAR,radar,1,2,hellinger,confirmed,-2.6257382537712037,-2.5246593370099655,-0.9129007068581607,-0.05151663371819293,-16.61876687707843,16.51015987502685,0.20629062636022866,22.41432552249171
RADAR,radar,1,2,hellinger,immediate,-2.726232124719885,-6.971220579323911,-7.182201833248792,0.01815681754292975,-16.29055925536811,16.3440710349193,-4.125812527204576,33.72067912941279
RADAR,radar,1,2,none,none,1.7551496391356447,4.435384315667856,3.783270084977619,0.01045341805329969,-8.67839994443046,8.683368467511041,0.0,183.55487594713946
RADAR,radar,1,3,adwin,confirmed,-3.7032260144775675,-5.161462948338857,-5.339227289454329,-0.001044568469328766,-16.294263687442832,14.14863010893603,-1.650325010881832,27.875644854203614
RADAR,radar,1,3,adwin,immediate,-7.5553119340502235,-15.063383491766269,-16.542766003058084,-0.009727944477584294,-46.58158746751455,40.17681628306986,-40.02038151388439,7.3658624907872365
RADAR,radar,1,3,d3_oof,confirmed,-0.832970588077242,-0.051280901587491545,0.3916155944209576,-0.004538519174523192,-11.844302161824704,8.124641657793429,-0.6188718790806866,83.65746520394745
RADAR,radar,1,3,d3_oof,immediate,-3.415716811496061,-4.48262511978213,-4.010794317237476,-0.01502083365419149,-16.86194230294583,15.26435416496027,-1.2377437581613733,33.44570185227036
RADAR,radar,1,3,hddm_w,confirmed,-0.649179658320842,-2.056772823619213,-2.0588658215514366,0.0052738141446107,-14.987586567359202,12.67686747481366,-1.2377437581613728,20.762037511862957
RADAR,radar,1,3,hddm_w,immediate,-5.8388551222317115,-15.143540539181199,-17.210370415372633,0.02241803330835479,-44.85241807860388,40.72482390040134,-43.32103153564805,15.274093981856097
RADAR,radar,1,3,hellinger,confirmed,-0.8818740226030575,-4.663676053902521,-4.949619888338075,-0.011019217410550675,-12.547004079736347,12.134490949299689,-0.2062906263602282,20.711387201327113
RADAR,radar,1,3,hellinger,immediate,-1.6095141363169807,-6.128107635516833,-7.143557931737127,0.008631988879990504,-22.766671022257068,21.51819354574494,-2.269196889962517,35.383399483810294
RADAR,radar,1,3,none,none,-3.2093550658046865,-5.588117882746796,-6.053068806942852,0.0002044900795045157,-8.981227405374803,7.656749119502,0.0,159.72111260783305
RADAR,radar,1,4,adwin,confirmed,-0.719041707643453,-1.2740842755730397,-1.8326977276171053,-0.017902284149397873,-17.958224543080938,15.51245412211858,-2.0629062636022892,19.670149148097522
RADAR,radar,1,4,adwin,immediate,-8.296387057249255,-15.64110476778664,-17.737865662710256,-0.007500711543774297,-48.48389904264578,46.12943002625738,-44.3524846674492,8.372815701983342
RADAR,radar,1,4,d3_oof,confirmed,-3.2727683105744254,-5.184508446494263,-3.9777228454893674,-0.0021398493574219524,-13.913838120104439,12.175010517458979,0.20629062636022877,71.7646293266667
RADAR,radar,1,4,d3_oof,immediate,0.7657955406516481,1.3866346112363814,1.21474062122362,0.019536412994597074,-14.856396866840726,14.34146199933268,-1.2377437581613728,36.73581991241167
RADAR,radar,1,4,hddm_w,confirmed,-0.15262170775092176,-2.2845529984576007,-3.0265872750721567,-0.00306795136449578,-14.389033942558749,14.22163550113878,-1.2377437581613737,16.256445138020837
RADAR,radar,1,4,hddm_w,immediate,-5.051026166024464,-13.894575976083756,-16.72693019731436,0.015608169401262861,-47.09834638816363,43.283768296751916,-46.00280967833103,20.121910395594824
RADAR,radar,1,4,hellinger,confirmed,-0.3804794686185109,-1.2123108604160993,-0.9482123859538505,0.00457049827851197,-14.532637075718014,12.79561313159154,0.0,39.08418792665117
RADAR,radar,1,4,hellinger,immediate,-1.7852440603823072,-3.370419473662023,-4.447665269189393,-0.002662918345626153,-21.93733681462141,21.076697662948078,-1.8566156372420597,14.176727157997504
RADAR,radar,1,4,none,none,0.8152363755568826,-0.5155377125751259,-0.21805100811815303,0.011291820965570354,-10.878154917319405,8.776928321703679,0.0,188.7641444612651
RADAR,radar,1,5,adwin,confirmed,-1.5170812710593728,-5.130776900481305,-6.137602974040024,0.014844938615018455,-21.39354014916277,18.112515903104327,-1.2377437581613737,10.372291847576037
RADAR,radar,1,5,adwin,immediate,-8.03736007437621,-16.72284209343284,-18.451483844067372,-0.03257839186495637,-50.043529992164615,40.29494658860812,-39.19521900844347,4.751183283070773
