dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,rl_seed,rl_variant,rl_model_sha256
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,112478,0.6037401638200341,0.4952534839565128,0.4929509327922342,0.7706319368657746,0.5941373563417937,0.404932614320437,59.4117003917459,44.13623183353917,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115565,0.6203100342454724,0.37745613329917477,0.35618006253579987,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,415.94623069891617,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,2,instance,severe,radar__instance__severe__a0,radar__instance__severe__a0__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,112478,0.6037401638200341,0.4952534839565128,0.4929509327922342,0.7706319368657746,0.5941373563417937,0.404932614320437,59.4117003917459,44.7095594251263,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,124458,0.6680443580852594,0.5145558228647269,0.5128873520321977,0.9013431437292038,0.8548092002090957,0.1178688344164403,8.251625054409153,165.2877623243172,,,
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120350,0.6459941385492373,0.5055386903126824,0.513024652520635,0.8247641605794925,0.5702793750363013,0.4129952367179681,39.4015096348037,98.1033789579392,,,
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,,,
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl__guarded__r7,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,124644,0.6690427370613306,0.545687465805971,0.5526187524537632,0.8505178974721788,0.6294795841319626,0.3845256042406264,32.18133771219569,115.74615061690676,7.0,alarm_persistence,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl__guarded__r17,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,124694,0.6693111185065109,0.5336721998655716,0.5377433785178434,0.8783389669245837,0.657780101062903,0.3408830884291407,23.310840778705856,128.3869875998728,17.0,alarm_persistence,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl__guarded__r27,adwin,rl,True,rl,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121194,0.6505244173438826,0.5217236645788876,0.5285195312120102,0.8265053163294203,0.6387872451646628,0.391029365467357,34.65682522851844,108.25320769544216,27.0,alarm_persistence,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl_alarm__guarded__r7,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,114725,0.6158012259664416,0.4793051034606096,0.4868923721348596,0.7818263297458994,0.5496747400824766,0.4531311988574266,54.66701598546064,88.49307197686939,7.0,alarm,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl_alarm__guarded__r17,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117946,0.6330903586649633,0.43417556412050007,0.43318607893457894,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,458.1563296359165,17.0,alarm,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22
RADAR,radar,0,3,concept,moderate,radar__concept__moderate__a0,radar__concept__moderate__a0__adwin__rl_alarm__guarded__r27,adwin,rl_alarm,True,rl_alarm,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,114725,0.6158012259664416,0.4793051034606096,0.4868923721348596,0.7818263297458994,0.5496747400824766,0.4531311988574266,54.66701598546064,87.59422633794418,27.0,alarm,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__confirmed__guarded,adwin,confirmed,True,confirmed,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118730,0.6372985797253921,0.4732049047415815,0.4798742818720209,0.8773842485414124,0.850474366785621,0.1320693406832523,8.66420630712961,183.69588477019624,,,
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__adwin__immediate__guarded,adwin,immediate,True,immediate,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,113422,0.6088072055050402,0.466874806765168,0.4924785429682418,0.8380136750980545,0.5110801636347811,0.462690940741278,41.25812527204577,109.75651034650764,,,
RADAR,radar,0,4,concept,severe,radar__concept__severe__a0,radar__concept__severe__a0__none__none__guarded,none,none,True,none,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122601,0.6580766712112591,0.4493432843671324,0.4328470645327289,0.8929998248458854,0.9000435198885891,0.0824428809748313,0.0,300.86026898231853,,,
