dataset,category,mode,level,series,reference,metric,mean,sd,defined
RBF,0,clean,none,rl,confirmed,macro_recall,-11.25037742404696,0.9869427652978002,3
RBF,0,clean,none,rl,confirmed,roc_auc,-0.07143011976978164,0.006760679527792975,3
RBF,0,clean,none,rl,immediate,accuracy,-2.7413304382163677,5.042347695446226,3
RBF,0,clean,none,rl,immediate,macro_f1,-2.912107732987202,5.3626231757352265,3
RBF,0,clean,none,rl,immediate,macro_recall,-2.835428130083491,5.33730454120874,3
RBF,0,clean,none,rl,immediate,roc_auc,-0.02456557872504772,0.031638399305658114,3
RBF,0,clean,none,rl,none,accuracy,-10.100987998708455,1.2980432019557209,3
RBF,0,clean,none,rl,none,macro_f1,-10.419816785231506,1.1632113463553404,3
RBF,0,clean,none,rl,none,macro_recall,-10.475563156888464,1.1089191913065168,3
RBF,0,clean,none,rl,none,roc_auc,-0.06766227416150354,0.006122202045580781,3
RBF,0,clean,none,rl_alarm,confirmed,accuracy,-10.508965601501878,1.5341928489200072,3
RBF,0,clean,none,rl_alarm,confirmed,macro_f1,-10.790512586936872,1.3833115652869779,3
RBF,0,clean,none,rl_alarm,confirmed,macro_recall,-10.829459458529733,1.2106384699486297,3
RBF,0,clean,none,rl_alarm,confirmed,roc_auc,-0.06922190922404577,0.009003198041968714,3
RBF,0,clean,none,rl_alarm,immediate,accuracy,-2.334422337469033,4.282598564920761,3
RBF,0,clean,none,rl_alarm,immediate,macro_f1,-2.4924977043140673,4.561285910975802,3
RBF,0,clean,none,rl_alarm,immediate,macro_recall,-2.414510164566264,4.552122686989806,3
RBF,0,clean,none,rl_alarm,immediate,roc_auc,-0.02235736817931185,0.027932550646204923,3
RBF,0,clean,none,rl_alarm,none,accuracy,-9.69407989796112,1.154733250702803,3
RBF,0,clean,none,rl_alarm,none,macro_f1,-10.000206756558372,0.8933643095963189,3
RBF,0,clean,none,rl_alarm,none,macro_recall,-10.054645191371236,0.7430908367249052,3
RBF,0,clean,none,rl_alarm,none,roc_auc,-0.06545406361576767,0.007830972871929355,3
RBF,1,instance,moderate,rl,confirmed,accuracy,-8.59462816301846,2.2742286419728854,3
RBF,1,instance,moderate,rl,confirmed,macro_f1,-8.904662000242228,1.9889919453133476,3
RBF,1,instance,moderate,rl,confirmed,macro_recall,-8.998778886319753,1.9258733396131216,3
RBF,1,instance,moderate,rl,confirmed,roc_auc,-0.061474503794754796,0.016444171685068877,3
RBF,1,instance,moderate,rl,immediate,accuracy,-7.323857811964788,3.096740592519947,3
RBF,1,instance,moderate,rl,immediate,macro_f1,-7.623289631934424,2.8997675541438093,3
RBF,1,instance,moderate,rl,immediate,macro_recall,-7.684983971817612,2.912408460566749,3
RBF,1,instance,moderate,rl,immediate,roc_auc,-0.05369912508811955,0.023320688321942604,3
RBF,1,instance,moderate,rl,none,accuracy,-8.342172628196431,1.550720326981899,3
RBF,1,instance,moderate,rl,none,macro_f1,-8.758478554416453,1.3748878446314643,3
RBF,1,instance,moderate,rl,none,macro_recall,-8.932013761825667,1.3582736741814314,3
RBF,1,instance,moderate,rl,none,roc_auc,-0.06146699489270224,0.013172402669175664,3
RBF,1,instance,moderate,rl_alarm,confirmed,accuracy,-8.640185981644384,2.3299593014866935,3
RBF,1,instance,moderate,rl_alarm,confirmed,macro_f1,-8.944045008939733,2.0367157637115243,3
RBF,1,instance,moderate,rl_alarm,confirmed,macro_recall,-9.026462926375252,1.9612089557530807,3
RBF,1,instance,moderate,rl_alarm,confirmed,roc_auc,-0.061775624948004225,0.016349421735702543,3
RBF,1,instance,moderate,rl_alarm,immediate,accuracy,-7.369415630590715,3.0945371862391142,3
RBF,1,instance,moderate,rl_alarm,immediate,macro_f1,-7.662672640631929,2.887789774490956,3
RBF,1,instance,moderate,rl_alarm,immediate,macro_recall,-7.71266801187311,2.889579470968711,3
RBF,1,instance,moderate,rl_alarm,immediate,roc_auc,-0.054000246241368975,0.023042414608624547,3
RBF,1,instance,moderate,rl_alarm,none,accuracy,-8.387730446822358,1.428871819261261,3
RBF,1,instance,moderate,rl_alarm,none,macro_f1,-8.79786156311396,1.1964827442158688,3
RBF,1,instance,moderate,rl_alarm,none,macro_recall,-8.959697801881164,1.1328728974981839,3
RBF,1,instance,moderate,rl_alarm,none,roc_auc,-0.06176811604595167,0.01242844721508273,3
RBF,2,instance,severe,rl,confirmed,accuracy,-6.629954102879746,1.6085077902711131,3
RBF,2,instance,severe,rl,confirmed,macro_f1,-7.21004057945553,1.5850291801690908,3
RBF,2,instance,severe,rl,confirmed,macro_recall,-7.237075315161561,1.5445258195117015,3
RBF,2,instance,severe,rl,confirmed,roc_auc,-0.046156408037504947,0.00810928720673417,3
RBF,2,instance,severe,rl,immediate,accuracy,-5.955602015853079,0.6322709176810402,3
RBF,2,instance,severe,rl,immediate,macro_f1,-6.2892174760524036,0.36696077315918585,3
RBF,2,instance,severe,rl,immediate,macro_recall,-6.1346152707697685,0.5608449102504,3
RBF,2,instance,severe,rl,immediate,roc_auc,-0.04468374453340603,0.006221010577452214,3
RBF,2,instance,severe,rl,none,accuracy,-8.417168968437302,2.6323970964406107,3
RBF,2,instance,severe,rl,none,macro_f1,-9.033807886692285,2.352883548983536,3
RBF,2,instance,severe,rl,none,macro_recall,-9.05732279560704,2.3885062764111047,3
RBF,2,instance,severe,rl,none,roc_auc,-0.0597645432651965,0.0213178927374663,3
RBF,2,instance,severe,rl_alarm,confirmed,accuracy,-6.516861972041909,2.2853806960993928,3
RBF,2,instance,severe,rl_alarm,confirmed,macro_f1,-7.012554210302561,2.217158835092181,3
RBF,2,instance,severe,rl_alarm,confirmed,macro_recall,-6.997920777475834,2.1476702138657187,3
RBF,2,instance,severe,rl_alarm,confirmed,roc_auc,-0.045364949184545034,0.012569125277825393,3
RBF,2,instance,severe,rl_alarm,immediate,accuracy,-5.842509885015242,0.7079735686463874,3
RBF,2,instance,severe,rl_alarm,immediate,macro_f1,-6.091731106899434,0.5507196228789684,3
RBF,2,instance,severe,rl_alarm,immediate,macro_recall,-5.895460733084042,0.7341667292907296,3
RBF,2,instance,severe,rl_alarm,immediate,roc_auc,-0.04389228568044612,0.004769262235849798,3
RBF,2,instance,severe,rl_alarm,none,accuracy,-8.304076837599466,2.166820062159142,3
RBF,2,instance,severe,rl_alarm,none,macro_f1,-8.836321517539313,1.81465216909301,3
RBF,2,instance,severe,rl_alarm,none,macro_recall,-8.818168257921315,1.9177226797392644,3
RBF,2,instance,severe,rl_alarm,none,roc_auc,-0.05897308441223659,0.016960984218283785,3
RBF,3,concept,moderate,rl,confirmed,accuracy,-8.524480349361228,2.574513065200166,3
RBF,3,concept,moderate,rl,confirmed,macro_f1,-8.86471426464099,2.786286661834213,3
RBF,3,concept,moderate,rl,confirmed,macro_recall,-9.022611556778527,3.029706604156496,3
RBF,3,concept,moderate,rl,confirmed,roc_auc,-0.0653491757951185,0.01888945862809411,3
RBF,3,concept,moderate,rl,immediate,accuracy,0.784123393416114,1.4653088439669413,3
RBF,3,concept,moderate,rl,immediate,macro_f1,0.8444532101533694,1.3719627967733414,3
RBF,3,concept,moderate,rl,immediate,macro_recall,0.8472879271583578,1.463337057509222,3
RBF,3,concept,moderate,rl,immediate,roc_auc,0.0010751733065759532,0.011090666808616274,3
RBF,3,concept,moderate,rl,none,accuracy,-9.199307126022271,1.3727185712782344,3
RBF,3,concept,moderate,rl,none,macro_f1,-9.581257344653613,1.4384191924977276,3
RBF,3,concept,moderate,rl,none,macro_recall,-9.72060165203949,1.6109535074948735,3
RBF,3,concept,moderate,rl,none,roc_auc,-0.06600869725677412,0.01224704645982141,3
RBF,3,concept,moderate,rl_alarm,confirmed,accuracy,-7.454295677737895,1.4886100292617328,3
RBF,3,concept,moderate,rl_alarm,confirmed,macro_f1,-7.731047050424656,1.7155485952528733,3
RBF,3,concept,moderate,rl_alarm,confirmed,macro_recall,-7.863201401684897,1.930568440772148,3
RBF,3,concept,moderate,rl_alarm,confirmed,roc_auc,-0.057478619349040305,0.010345660495882678,3
RBF,3,concept,moderate,rl_alarm,immediate,accuracy,1.8543080650394488,0.5218718910666486,3
RBF,3,concept,moderate,rl_alarm,immediate,macro_f1,1.9781204243697041,0.5178884119845726,3
RBF,3,concept,moderate,rl_alarm,immediate,macro_recall,2.006698082251986,0.6722890686834753,3
RBF,3,concept,moderate,rl_alarm,immediate,roc_auc,0.008945729752654138,0.007115460186937104,3
RBF,3,concept,moderate,rl_alarm,none,accuracy,-8.129122454398937,0.43523272881895075,3
RBF,3,concept,moderate,rl_alarm,none,macro_f1,-8.447590130437277,0.2849623958877376,3
RBF,3,concept,moderate,rl_alarm,none,macro_recall,-8.56119149694586,0.3287512021387393,3
RBF,3,concept,moderate,rl_alarm,none,roc_auc,-0.05813814081069594,0.004831877789560957,3
RBF,4,concept,severe,rl,confirmed,accuracy,-7.877788923831472,1.3561705210031978,3
RBF,4,concept,severe,rl,confirmed,macro_f1,-8.193965263822838,1.5532423139224527,3
RBF,4,concept,severe,rl,confirmed,macro_recall,-8.357952334101581,1.7642958447820463,3
RBF,4,concept,severe,rl,confirmed,roc_auc,-0.05774832276259719,0.014127808317236933,3
RBF,4,concept,severe,rl,immediate,accuracy,-1.0144326042056284,1.798397534680857,3
RBF,4,concept,severe,rl,immediate,macro_f1,-1.038147487072268,1.946037564534416,3
RBF,4,concept,severe,rl,immediate,macro_recall,-1.142179171865243,1.9277145901773551,3
RBF,4,concept,severe,rl,immediate,roc_auc,-0.011845055451670769,0.011195753187645902,3
RBF,4,concept,severe,rl,none,accuracy,-10.897949539505,2.3937936773104718,3
RBF,4,concept,severe,rl,none,macro_f1,-11.218400002287362,2.3146283492035926,3
RBF,4,concept,severe,rl,none,macro_recall,-11.312994305361327,2.2065734028339077,3
RBF,4,concept,severe,rl,none,roc_auc,-0.07310158467699579,0.017761605998457376,3
RBF,4,concept,severe,rl_alarm,confirmed,accuracy,-5.88268821646238,1.84671568552779,3
