dataset,base_key,attack_seed,category,mode,level,series,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k,policy_runs,accuracy_training_seed_sd,macro_f1_training_seed_sd,macro_recall_training_seed_sd,roc_auc_training_seed_sd,poison_admission_rate_training_seed_sd,clean_withhold_rate_training_seed_sd,resets_per_100k_training_seed_sd,seconds_per_100k_training_seed_sd
RADAR,radar,0,2,instance,severe,confirmed,0.6189788622773776,0.4587905983998679,0.4378270909733571,0.7766469531259795,0.833365160931912,0.1677106292524414,7.01388129624778,81.31136863514656,1,,,,,,,,
RADAR,radar,0,2,instance,severe,immediate,0.6142124078109735,0.4871913412283002,0.4763717850423583,0.7990883938851192,0.6901930488524703,0.3101657853241221,25.58003766866837,51.5503290747994,1,,,,,,,,
RADAR,radar,0,2,instance,severe,none,0.6203100342454724,0.3774561332991747,0.3561800625357998,0.7857553786716405,0.8953855768896913,0.1056972189069029,0.0,248.1509192516512,1,,,,,,,,
RADAR,radar,0,2,instance,severe,rl,0.6110973938372463,0.4834428770288668,0.472502667852442,0.769631840344672,0.679276182539958,0.3212268520535136,33.96918980731768,58.885851385486376,3,0.014644816169080355,0.02056268373888007,0.02403995867999887,0.012660037895726702,0.04216400494712058,0.042722742182475834,17.822761979952034,9.65096565001219
RADAR,radar,0,2,instance,severe,rl_alarm,0.6092634539618469,0.45598770040406683,0.4473606427067561,0.7756730841343966,0.6945534298577596,0.3051874825159256,39.60780026116394,168.2640073191939,3,0.00956661915056398,0.06801033211183886,0.07896469875985172,0.008731523197690303,0.17392574122622448,0.172763636093068,34.30136121418789,214.49928906612678
RADAR,radar,0,3,concept,moderate,confirmed,0.6680443580852594,0.5145558228647269,0.5128873520321977,0.9013431437292038,0.8548092002090957,0.1178688344164403,8.251625054409153,165.2877623243172,1,,,,,,,,
RADAR,radar,0,3,concept,moderate,immediate,0.6459941385492373,0.5055386903126824,0.513024652520635,0.8247641605794925,0.5702793750363013,0.4129952367179681,39.4015096348037,98.1033789579392,1,,,,,,,,
RADAR,radar,0,3,concept,moderate,none,0.6330903586649633,0.4341755641205,0.4331860789345789,0.8815049226578303,0.8817157460649359,0.0958645702424129,0.0,290.82425655950226,1,,,,,,,,
RADAR,radar,0,3,concept,moderate,rl,0.662959424303908,0.53369444341681,0.5396272207278723,0.8517873935753942,0.6420156434531762,0.37214601937904135,30.04966790647333,117.4621153040739,3,0.010769867952855386,0.011981916098624165,0.012159554359389802,0.025940133938984027,0.014423825126212817,0.027269082606631134,5.965806978466414,10.175985181579097
RADAR,radar,0,3,concept,moderate,rl_alarm,0.6215642701992822,0.4642619236805731,0.4689902744014327,0.8150525273832097,0.6603550754099631,0.334042322652422,36.44467732364043,211.41454265024336,3,0.009981885417546663,0.02605555168641605,0.031007342836358996,0.057549462450146444,0.19170396418596697,0.2062679842033482,31.562016394999272,213.685128318592
