stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,alarm_rate,alarm_blocks,monitored_blocks,poison_exposed_blocks,poison_alarm_blocks,poison_alarm_rate,unexposed_blocks,unexposed_alarm_blocks,unexposed_alarm_rate,event_recall,detected_events,scheduled_events,detection_delay,seconds_per_100k,detector,learner_resets,status,folder
RBF_I,clean,none,116.0,,,RBF_I__s116,RBF_I__s116__clean__none,0.0,0,59,0,0,,8,0,0.0,0.0,0.0,3.0,,0.22130542172817513,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__clean__none
RBF_I,concept,moderate,116.0,3612327157.0,,RBF_I__s116,RBF_I__s116__concept__moderate,0.05084745762711865,3,59,26,3,0.11538461538461539,0,0,,1.0,3.0,3.0,18.333333333333332,0.17497354492661543,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__concept__moderate
RBF_I,concept,severe,116.0,87307388.0,,RBF_I__s116,RBF_I__s116__concept__severe,0.01694915254237288,1,59,29,1,0.034482758620689655,0,0,,0.3333333333333333,1.0,3.0,7.0,0.17754062665820433,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__concept__severe
RBF_I,instance,moderate,116.0,2934809029.0,,RBF_I__s116,RBF_I__s116__instance__moderate,0.01694915254237288,1,59,59,1,0.01694915254237288,0,0,,0.3333333333333333,1.0,3.0,21.0,0.18095236485047886,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__instance__moderate
RBF_I,instance,severe,116.0,1132950715.0,,RBF_I__s116,RBF_I__s116__instance__severe,0.03389830508474576,2,59,59,2,0.03389830508474576,0,0,,0.6666666666666666,2.0,3.0,15.0,0.17185174341041903,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__instance__severe
RBF_I,splice,moderate,116.0,2889189400.0,,RBF_I__s116,RBF_I__s116__splice__moderate,0.03389830508474576,2,59,27,1,0.037037037037037035,0,0,,0.6666666666666666,2.0,3.0,9.0,0.17721839816658758,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__splice__moderate
RBF_I,splice,severe,116.0,51810913.0,,RBF_I__s116,RBF_I__s116__splice__severe,0.03389830508474576,2,59,29,1,0.034482758620689655,0,0,,0.6666666666666666,2.0,3.0,16.0,0.19438916356496824,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s116__splice__severe
RBF_I,clean,none,117.0,,,RBF_I__s117,RBF_I__s117__clean__none,0.01694915254237288,1,59,0,0,,8,0,0.0,0.3333333333333333,1.0,3.0,17.0,0.18804882017623945,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__clean__none
RBF_I,concept,moderate,117.0,1695553040.0,,RBF_I__s117,RBF_I__s117__concept__moderate,0.01694915254237288,1,59,27,1,0.037037037037037035,0,0,,0.3333333333333333,1.0,3.0,32.0,0.180852708532863,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__concept__moderate
RBF_I,concept,severe,117.0,4269849707.0,,RBF_I__s117,RBF_I__s117__concept__severe,0.0,0,59,29,0,0.0,0,0,,0.0,0.0,3.0,,0.21105839550727978,d3_oof,0,complete,results/per_dataset_study/passive_detectors/runs/RBF_I/d3_oof/RBF_I__s117__concept__severe
