condition,stream,mode,level,detector,filter,malicious_precision,malicious_recall,benign_fpr,malicious_precision_difference,malicious_recall_difference,benign_fpr_difference
radar__instance__severe__a0,radar,instance,severe,hddm_w,random_blocks,0.21112988516536813,1.0,0.8021348689966752,0.0064975911892371785,0.6785476102260096,0.5339081465455529
radar__instance__severe__a0,radar,instance,severe,hddm_w,learned_features,0.20463229397613095,0.3214523897739904,0.26822672245112233,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,hddm_w,learned_features_label,0.3047287640589076,0.36339384957391624,0.17799589570639984,0.10009647008277664,0.04194145979992586,-0.09023082674472249
radar__instance__severe__a0,radar,instance,severe,hellinger,none,0.22224642416321788,0.2268247499073731,0.17040772498051257,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,hellinger,oracle_rows,0.4485297124861969,0.8126713597628752,0.2145050190101971,0.226283288322979,0.5858466098555021,0.04409729402968454
radar__instance__severe__a0,radar,instance,severe,hellinger,random_rows,0.19169523809523809,0.18643942200815117,0.16876918916339226,-0.030551186067979796,-0.040385327899221946,-0.0016385358171203124
radar__instance__severe__a0,radar,instance,severe,hellinger,oracle_blocks,0.10404706552165868,0.32500926268988517,0.6008176770970872,-0.1181993586415592,0.09818451278251206,0.4304099521165746
radar__instance__severe__a0,radar,instance,severe,hellinger,random_blocks,0.10404706552165868,0.32500926268988517,0.6008176770970872,-0.1181993586415592,0.09818451278251206,0.4304099521165746
radar__instance__severe__a0,radar,instance,severe,hellinger,learned_features,0.22226256171943073,0.2268247499073731,0.17039181686578322,1.6137556212852955e-05,0.0,-1.5908114729346057e-05
radar__instance__severe__a0,radar,instance,severe,hellinger,learned_features_label,0.45588235294117646,0.7236013338273435,0.18540907717026456,0.23363592877795858,0.49677658391997037,0.015001352189751987
radar__instance__severe__a0,radar,instance,severe,d3_oof,none,0.12124700239808153,0.09366432011856243,0.14573423903533192,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,d3_oof,oracle_rows,0.4705473222406506,0.6517228603186366,0.15742670336138465,0.34930031984256904,0.5580585402000742,0.011692464326052726
radar__instance__severe__a0,radar,instance,severe,d3_oof,random_rows,0.3609331197436924,0.5342719525750278,0.20308299263454288,0.23968611734561088,0.4406076324564654,0.05734875359921096
radar__instance__severe__a0,radar,instance,severe,d3_oof,oracle_blocks,0.012948953860832823,0.014079288625416821,0.2303972256247912,-0.10829804853724871,-0.07958503149314561,0.08466298658945928
radar__instance__severe__a0,radar,instance,severe,d3_oof,random_blocks,0.012948953860832823,0.014079288625416821,0.2303972256247912,-0.10829804853724871,-0.07958503149314561,0.08466298658945928
radar__instance__severe__a0,radar,instance,severe,d3_oof,learned_features,0.12124700239808153,0.09366432011856243,0.14573423903533192,0.0,0.0,0.0
radar__instance__severe__a0,radar,instance,severe,d3_oof,learned_features_label,0.31802594304458026,0.3161170804001482,0.14552743354385073,0.19677894064649873,0.22245276028158575,-0.00020680549148119343
radar__instance__severe__a1,radar,instance,severe,adwin,none,0.4286570443989412,0.6360133382734346,0.18198883250346,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,adwin,oracle_rows,0.32482976249792395,0.7246387550944794,0.323348339988228,-0.10382728190101725,0.08862541682104474,0.14135950748476797
radar__instance__severe__a1,radar,instance,severe,adwin,random_rows,0.4207851972580413,0.6504631344942571,0.19221775027441498,-0.00787184714089989,0.01444979622082243,0.01022891777095497
radar__instance__severe__a1,radar,instance,severe,adwin,oracle_blocks,0.2796194406235672,0.9038162282326788,0.4998806891395301,-0.149037603775374,0.2678028899592442,0.3178918566360701
radar__instance__severe__a1,radar,instance,severe,adwin,random_blocks,0.2796194406235672,0.9038162282326788,0.4998806891395301,-0.149037603775374,0.2678028899592442,0.3178918566360701
radar__instance__severe__a1,radar,instance,severe,adwin,learned_features,0.4286570443989412,0.6360133382734346,0.18198883250346,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,adwin,learned_features_label,0.3532213136849672,0.5825861430159318,0.22901321964334007,-0.07543573071397403,-0.053427195257502835,0.04702438713988005
radar__instance__severe__a1,radar,instance,severe,hddm_w,none,0.35038111630194246,0.5279733234531307,0.21014619557436248,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,hddm_w,oracle_rows,0.2811042320413875,0.49121896998888476,0.26969026900622006,-0.06927688426055495,-0.03675435346424599,0.05954407343185758
radar__instance__severe__a1,radar,instance,severe,hddm_w,random_rows,0.23993081294786262,0.2878103001111523,0.19573344362959547,-0.11045030335407985,-0.24016302334197848,-0.014412751944767016
radar__instance__severe__a1,radar,instance,severe,hddm_w,oracle_blocks,0.15690620433761843,0.7081882178584661,0.8169135075802166,-0.19347491196432404,0.18021489440533534,0.6067673120058541
radar__instance__severe__a1,radar,instance,severe,hddm_w,random_blocks,0.15690620433761843,0.7081882178584661,0.8169135075802166,-0.19347491196432404,0.18021489440533534,0.6067673120058541
radar__instance__severe__a1,radar,instance,severe,hddm_w,learned_features,0.3504450017210011,0.5281215264912931,0.21014619557436248,6.388541905866241e-05,0.00014820303816232006,0.0
radar__instance__severe__a1,radar,instance,severe,hddm_w,learned_features_label,0.45043575760664595,0.6549092256391256,0.17153720112629453,0.10005464130470348,0.12693590218599482,-0.03860899444806795
radar__instance__severe__a1,radar,instance,severe,hellinger,none,0.26486558512941805,0.5891811782141534,0.3510602758467094,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,hellinger,oracle_rows,0.3929108931444289,0.5610226009633198,0.18609312610362547,0.12804530801501085,-0.028158577250833594,-0.16496714974308394
radar__instance__severe__a1,radar,instance,severe,hellinger,random_rows,0.32819271683458096,0.4320859577621341,0.18987925740920444,0.06332713170516291,-0.1570952204520193,-0.16118101843750496
radar__instance__severe__a1,radar,instance,severe,hellinger,oracle_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.05373569996404992,0.4108188217858466,0.4510745931499658
radar__instance__severe__a1,radar,instance,severe,hellinger,random_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.05373569996404992,0.4108188217858466,0.4510745931499658
radar__instance__severe__a1,radar,instance,severe,hellinger,learned_features,0.26486558512941805,0.5891811782141534,0.3510602758467094,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,hellinger,learned_features_label,0.31278132523814506,0.4428306780288996,0.2088735463960166,0.04791574010872701,-0.1463505001852538,-0.1421867294506928
radar__instance__severe__a1,radar,instance,severe,d3_oof,none,0.3814045841067035,0.6547610226009634,0.22797919218593404,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,d3_oof,oracle_rows,0.3689673261390887,0.729677658391997,0.26790856015653586,-0.012437257967614801,0.07491663579103369,0.039929367970601815
radar__instance__severe__a1,radar,instance,severe,d3_oof,random_rows,0.4006933410371226,0.6166728417932568,0.1980083040358887,0.019288756930419093,-0.038088180807706595,-0.02997088815004534
radar__instance__severe__a1,radar,instance,severe,d3_oof,oracle_blocks,0.2553120702657144,0.8529825861430159,0.5341149520370341,-0.12609251384098913,0.19822156354205256,0.30613575985110003
radar__instance__severe__a1,radar,instance,severe,d3_oof,random_blocks,0.2553120702657144,0.8529825861430159,0.5341149520370341,-0.12609251384098913,0.19822156354205256,0.30613575985110003
radar__instance__severe__a1,radar,instance,severe,d3_oof,learned_features,0.3814045841067035,0.6547610226009634,0.22797919218593404,0.0,0.0,0.0
radar__instance__severe__a1,radar,instance,severe,d3_oof,learned_features_label,0.3432715551974214,0.5050759540570582,0.2074418160703775,-0.03813302890928211,-0.14968506854390518,-0.020537376115556533
radar__instance__moderate__a1,radar,instance,moderate,adwin,none,0.3727950751746182,0.7000370507595406,0.25284357550786657,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,adwin,oracle_rows,0.39703539516520053,0.8494998147462023,0.2769602774375209,0.02424031999058235,0.1494627639866617,0.024116701929654316
radar__instance__moderate__a1,radar,instance,moderate,adwin,random_rows,0.38741642788920727,0.7213782882549092,0.24487361002847552,0.014621352714589086,0.021341237495368648,-0.00796996547939105
radar__instance__moderate__a1,radar,instance,moderate,adwin,oracle_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.16166519000925006,0.2999629492404594,0.5492912934888086
radar__instance__moderate__a1,radar,instance,moderate,adwin,random_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.16166519000925006,0.2999629492404594,0.5492912934888086
radar__instance__moderate__a1,radar,instance,moderate,adwin,learned_features,0.3727950751746182,0.7000370507595406,0.25284357550786657,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,adwin,learned_features_label,0.4391966250917095,0.7097443497591701,0.19455624313962552,0.0664015499170913,0.009707298999629521,-0.058287332368241046
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,none,0.34233322083473955,0.6764727676917377,0.2789965161228743,0.0,0.0,0.0
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,oracle_rows,0.342015278283012,0.6967024824008892,0.2877459792240022,-0.000317942551727568,0.02022971470915147,0.008749463101127897
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,random_rows,0.4230698865715331,0.6854390515005557,0.20066495919568572,0.08073666573679356,0.008966283808818032,-0.07833155692718857
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,oracle_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.13120333566937142,0.3235272323082623,0.523138352873801
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,random_blocks,0.21112988516536813,1.0,0.8021348689966752,-0.13120333566937142,0.3235272323082623,0.523138352873801
radar__instance__moderate__a1,radar,instance,moderate,hddm_w,learned_features,0.34233322083473955,0.6764727676917377,0.2789965161228743,0.0,0.0,0.0
