stream,detector,filter,population,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF_I,adwin,random_rows,clean,macro_recall,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,poison_admission_rate,,,,0,0
RBF_I,adwin,random_rows,clean,roc_auc,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,scored_resets,0.0,0.0,0.0,1,0
RBF_I,adwin,random_rows,clean,total_seconds,0.03292895866555531,0.03292895866555531,0.03292895866555531,1,1
RBF_I,d3_oof,learned_features,attacked,accuracy,-0.004301066836080854,-0.01767706789303362,0.005174808711919924,6,2
RBF_I,d3_oof,learned_features,attacked,filter_legitimate_rejection,0.056404488876212466,0.05520501866702013,0.057549955951644464,6,6
RBF_I,d3_oof,learned_features,attacked,filter_poison_recall,0.059264580461432625,0.05610229660615149,0.06444325956378584,6,6
RBF_I,d3_oof,learned_features,attacked,legitimate_withhold_rate,0.014860755855589783,0.0016845374386028529,0.03133426066361473,6,6
RBF_I,d3_oof,learned_features,attacked,macro_f1,-0.004568134685476806,-0.017232136790442887,0.004542611337165677,6,2
RBF_I,d3_oof,learned_features,attacked,macro_recall,-0.004640878238679011,-0.016266590335412962,0.00374148203407502,6,2
RBF_I,d3_oof,learned_features,attacked,poison_admission_rate,-0.020092489792235785,-0.05617286350006282,0.004878698664571024,6,1
RBF_I,d3_oof,learned_features,attacked,roc_auc,-0.002893621589147589,-0.009251244769611255,0.001566030011643386,6,2
RBF_I,d3_oof,learned_features,attacked,scored_resets,0.0,-0.3333333333333333,0.6666666666666666,6,1
RBF_I,d3_oof,learned_features,attacked,total_seconds,0.12757176622209151,-3.5861886383324113,2.311905680334045,6,4
RBF_I,d3_oof,learned_features,clean,accuracy,-0.018541534559289752,-0.018541534559289752,-0.018541534559289752,1,0
RBF_I,d3_oof,learned_features,clean,filter_legitimate_rejection,0.055430141619108,0.055430141619108,0.055430141619108,1,1
RBF_I,d3_oof,learned_features,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,learned_features,clean,legitimate_withhold_rate,0.01831184386669484,0.01831184386669484,0.01831184386669484,1,1
RBF_I,d3_oof,learned_features,clean,macro_f1,-0.018020149279093494,-0.018020149279093494,-0.018020149279093494,1,0
RBF_I,d3_oof,learned_features,clean,macro_recall,-0.0179901487488003,-0.0179901487488003,-0.0179901487488003,1,0
RBF_I,d3_oof,learned_features,clean,poison_admission_rate,,,,0,0
RBF_I,d3_oof,learned_features,clean,roc_auc,-0.009590172582087572,-0.009590172582087572,-0.009590172582087572,1,0
RBF_I,d3_oof,learned_features,clean,scored_resets,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,1,0
RBF_I,d3_oof,learned_features,clean,total_seconds,-5.987950555333858,-5.987950555333858,-5.987950555333858,1,0
RBF_I,d3_oof,learned_features_label,attacked,accuracy,-0.003776945598222614,-0.013763122666102986,0.013844040222991053,6,1
RBF_I,d3_oof,learned_features_label,attacked,filter_legitimate_rejection,0.025607292098004913,0.025029777603638902,0.026097410237052966,6,6
RBF_I,d3_oof,learned_features_label,attacked,filter_poison_recall,0.02351883333740616,0.010657941328733699,0.03416674251139177,6,6
RBF_I,d3_oof,learned_features_label,attacked,legitimate_withhold_rate,0.002990197341423669,-0.032912129458177626,0.03817171382106385,6,3
RBF_I,d3_oof,learned_features_label,attacked,macro_f1,-0.00473145119672604,-0.015077979289067808,0.012947367506885668,6,1
RBF_I,d3_oof,learned_features_label,attacked,macro_recall,-0.004327265586447397,-0.014469345987804546,0.013572007518933948,6,1
RBF_I,d3_oof,learned_features_label,attacked,poison_admission_rate,-0.009091572493621981,-0.05245858958279178,0.036311078834675214,6,2
RBF_I,d3_oof,learned_features_label,attacked,roc_auc,-0.0033522203806187387,-0.009108879213617582,0.006643144408131481,6,1
RBF_I,d3_oof,learned_features_label,attacked,scored_resets,-0.05555555555555555,-0.3333333333333333,0.3333333333333333,6,1
RBF_I,d3_oof,learned_features_label,attacked,total_seconds,-1.0547638539999558,-7.485712055999708,2.2556914166671014,6,3
RBF_I,d3_oof,learned_features_label,clean,accuracy,-0.017228211089973928,-0.017228211089973928,-0.017228211089973928,1,0
RBF_I,d3_oof,learned_features_label,clean,filter_legitimate_rejection,0.02517720002818284,0.02517720002818284,0.02517720002818284,1,1
RBF_I,d3_oof,learned_features_label,clean,filter_poison_recall,,,,0,0
RBF_I,d3_oof,learned_features_label,clean,legitimate_withhold_rate,0.034666384837595994,0.034666384837595994,0.034666384837595994,1,1
RBF_I,d3_oof,learned_features_label,clean,macro_f1,-0.016818152534993636,-0.016818152534993636,-0.016818152534993636,1,0
RBF_I,d3_oof,learned_features_label,clean,macro_recall,-0.01614666810062415,-0.01614666810062415,-0.01614666810062415,1,0
