dataset,series,metric,mean_of_condition_means,minimum_condition_mean,maximum_condition_mean,defined_conditions
SEA,adwin,event_recall,0.8412698412698412,0.4444444444444444,1.0,7
SEA,adwin,poison_alarm_rate,0.34578984105151295,0.012048192771084336,0.9239570436325,6
SEA,adwin,seconds_per_100k,0.08535234652725714,0.07719919976467887,0.10012132007007797,7
SEA,adwin,unexposed_alarm_rate,0.0814579186586553,0.0,0.3333333333333333,5
SEA,d3_oof,alarm_rate,0.02677376171352075,0.01472556894243641,0.03346720214190094,7
SEA,d3_oof,detection_delay,8.482142857142858,4.75,11.583333333333334,7
SEA,d3_oof,event_recall,0.4603174603174603,0.1111111111111111,0.6666666666666666,7
SEA,d3_oof,poison_alarm_rate,0.024930042111869975,0.009410430839002268,0.032128514056224904,6
SEA,d3_oof,seconds_per_100k,0.8380838764343589,0.7756566534439723,0.8771122138326367,7
SEA,d3_oof,unexposed_alarm_rate,0.0332586320984111,0.0,0.10822510822510822,5
SEA,hddm_w,alarm_rate,0.22623828647925032,0.00535475234270415,0.6666666666666666,7
SEA,hddm_w,detection_delay,4.055555555555555,0.638888888888889,8.166666666666666,7
SEA,hddm_w,event_recall,0.7301587301587301,0.3333333333333333,1.0,7
SEA,hddm_w,poison_alarm_rate,0.34460428999257436,0.022863398232856363,0.8232396406838598,6
SEA,hddm_w,seconds_per_100k,0.6473539562452407,0.5496467467087011,0.8636780397966505,7
SEA,hddm_w,unexposed_alarm_rate,0.00036832412523020257,0.0,0.0018416206261510127,5
SEA,hellinger,alarm_rate,0.09179575444635686,0.07630522088353413,0.09772423025435073,7
SEA,hellinger,detection_delay,4.841269841269841,3.638888888888889,8.444444444444445,7
SEA,hellinger,event_recall,0.9047619047619048,0.7777777777777778,1.0,7
SEA,hellinger,poison_alarm_rate,0.09303480191660064,0.07733838920451497,0.10745171631871138,6
SEA,hellinger,seconds_per_100k,0.029035253490188293,0.026735400160153706,0.034398506457606955,7
SEA,hellinger,unexposed_alarm_rate,0.12847116255956034,0.06084656084656084,0.3333333333333333,5
