condition,stream,mode,level,detector,granularity,accuracy_oracle_minus_random,macro_f1_oracle_minus_random,macro_recall_oracle_minus_random,roc_auc_oracle_minus_random,poison_admission_rate_oracle_minus_random,legitimate_withhold_rate_oracle_minus_random,filter_poison_recall_oracle_minus_random,filter_legitimate_rejection_oracle_minus_random,scored_resets_oracle_minus_random,total_seconds_oracle_minus_random
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,d3_oof,rows,0.02913164000971058,0.02985871960860964,0.030084483695381414,0.015327666544164953,-0.4287901990811638,-0.18044679806014902,0.7473032327549939,-0.2507071197502357,0,1.6677213749990223
RBF_I__base_s0__concept__severe__a0,RBF_I,concept,severe,d3_oof,blocks,0.0020042116673347765,0.0022977915150543815,0.001435725505833707,0.006546631701118466,-0.3922050384531242,-0.14230467404743496,0.5957120980091883,-0.19985095439995026,1,-3.2379056660010974
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,adwin,rows,0.01824138659902763,0.01873987535566557,0.01719816438161914,0.008607639533182665,-0.6606652083683886,-0.11702307707623996,0.8468506366032869,-0.1503145968978356,0,3.359649207999606
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,adwin,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.1248368330016092
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,hddm_w,rows,0.028598604946100226,0.03025735927364359,0.028193919715904125,0.016187361644753095,-0.612709630377475,-0.14936881508472213,0.8468506366032869,-0.1503145968978356,-1,0.9076048339993541
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,hddm_w,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.12481920799837098
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,hellinger,rows,0.015163813147326066,0.01791960165514539,0.017321400134152287,0.0071271486619031155,-0.6914857815917886,-0.08976464966250519,0.8468506366032869,-0.1503145968978356,0,-1.44796174899966
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,hellinger,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.153456666999773
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,d3_oof,rows,0.024045656309448327,0.025278867027493823,0.023323615283852073,0.012393830391678295,-0.671293959279825,-0.1304183342293372,0.8468506366032869,-0.1503145968978356,0,2.556798041998263
RBF_I__base_s1__instance__moderate__a1,RBF_I,instance,moderate,d3_oof,blocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-0.039879332998680184
