condition,stream,base_key,detector,reference_policy,rl_policy,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,17.0,0.10046630138895107,0.10104418967118622,-0.022411323616142897,-0.04652065511115089,-32.0,0.0,32.56652919994667
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,27.0,-0.019761823004533663,-0.020402204032118676,0.1209874462886511,0.11599309256853929,65.0,0.0,1.8148890999145806
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl,7.0,-0.019383606296312972,-0.020054884369814285,0.11348892071783645,0.0910258132903361,48.0,0.0,2.205010499805212
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,17.0,0.10451222485978606,0.10526452494346983,0.3200494284831634,-0.1276680451670374,-40.0,0.0,42.65937999985182
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,27.0,-0.02234962153446507,-0.022703858123184983,0.0720925660684697,0.12623977943994075,83.0,0.0,1.626932399813093
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,adwin,immediate,rl_alarm,7.0,-0.02234962153446507,-0.022703858123184983,0.0720925660684697,0.12623977943994075,83.0,0.0,0.39578569983132184
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,17.0,0.012252230732098135,0.012441711315623993,-0.25787064341281213,0.10086442423970979,7.0,-5700.0,19.75520130014047
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,27.0,-0.1079758936613866,-0.1090046823876809,-0.11447187350801813,0.26337817191939994,104.0,-5700.0,-10.99643879989162
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl,7.0,-0.10759767695316591,-0.10865736272537652,-0.12197039907883278,0.23841089264119678,87.0,-5700.0,-10.60631740000099
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,17.0,0.016298154202933124,0.016662046587907597,0.08459010868649419,0.019717034183823284,-1.0,-5700.0,29.84805210004562
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,27.0,-0.11056369219131801,-0.11130633647874721,-0.16336675372819953,0.27362485879080145,122.0,-5700.0,-11.184395499993109
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,confirmed,rl_alarm,7.0,-0.11056369219131801,-0.11130633647874721,-0.16336675372819953,0.27362485879080145,122.0,-5700.0,-12.41554219997488
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,17.0,-0.007529498414973412,-0.007083169726720073,-0.21442413008678068,0.08965228945521869,7.0,0.0,15.712583499960601
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,27.0,-0.12775762280845815,-0.12852956343002497,-0.07102536018198669,0.25216603713490887,104.0,0.0,-15.03905660007149
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl,7.0,-0.12737940610023746,-0.12818224376772058,-0.07852388575280134,0.22719875785670568,87.0,0.0,-14.648935200180858
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,17.0,-0.0034835749441384234,-0.0028628344544364692,0.12803662201252564,0.008504899399332189,-1.0,0.0,25.80543429986575
RBF_I__base_s0__concept__moderate__a0,RBF_I,RBF_I__base_s0,d3_oof,immediate,rl_alarm,27.0,-0.13034542133838956,-0.13083121752109128,-0.11992024040216809,0.2624127240063103,122.0,0.0,-15.227013300172977
