,,,,,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_accuracy,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,host_macro_f1,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,poison_admission_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,clean_withhold_rate,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,resets_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,training_visits_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,seconds_per_100k,detection_delay,detection_delay,detection_delay,detection_delay,detection_delay,commit_delay,commit_delay,commit_delay,commit_delay,commit_delay,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_detection_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,missed_commit_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,unexposed_false_alarm_rate,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_precision,malicious_recall,malicious_recall,malicious_recall,malicious_recall,malicious_recall,benign_fpr,benign_fpr,benign_fpr,benign_fpr,benign_fpr,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,average_precision,average_precision,average_precision,average_precision,average_precision
,,,,,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
stream,mode,level,policy,guarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBF_I,concept,moderate,confirmed,False,0.6193721313624571,0.03781675634854176,0.564811311361147,0.6846220072358828,12,0.6178833505697691,0.037958095355748164,0.5636383456663626,0.6845793920315106,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,2.8000000000000003,1.8210885855343872,0.0,5.199999999999999,12,100320.0,3460.068312515337,95000.0,104880.0,12,18.661222036648542,0.4814350719380711,17.955309880059215,19.53628675993532,12,8.340277777777777,8.518878199294244,0.6666666666666666,27.33333333333333,12,28.641666666666662,10.886199356054117,10.333333333333334,41.0,10,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.25,0.37939345531966406,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,confirmed,True,0.6427918898392421,0.03215123503600325,0.5923180324604201,0.6930470429037651,12,0.6417623445188987,0.03201143609556103,0.5909026358734121,0.6918912643182689,12,0.624186979347722,0.05284159269276175,0.5499127792470879,0.7210703278229196,12,0.2568617325547226,0.036730861794553676,0.2004298336384621,0.3304568957366019,12,0.5666666666666665,0.87732375420763,0.0,2.4,12,103930.0,6284.899652052022,97280.0,113240.0,12,26.30864456332444,2.1728821268259537,23.832629999984057,29.98263627998531,12,10.5,7.789529361698797,0.6666666666666666,27.33333333333333,12,26.107142857142858,14.45240546793245,9.0,53.0,7,0.0,0.0,0.0,0.0,12,0.75,0.251259453814803,0.3333333333333333,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,immediate,False,0.559561717683388,0.044212688894192005,0.5009807826346709,0.6421933455384861,12,0.5569225315445521,0.044621288145172314,0.4969904228892047,0.6400228710228836,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,27.599999999999998,26.994410195782788,2.0,68.8,12,95000.0,0.0,95000.0,95000.0,12,17.734787840008114,0.5513996286397008,16.73210583999753,18.364952199999244,12,14.395833333333334,15.988676746088434,0.6666666666666666,46.75,12,14.395833333333334,15.988676746088434,0.6666666666666666,46.75,12,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,immediate,True,0.5950872794574943,0.05336585302276801,0.5233844468784228,0.6713563639258139,12,0.5930867533626614,0.05430380824814614,0.5187727609692401,0.6702209213337881,12,0.48594638917618455,0.18087347621879676,0.2447526869619042,0.7230036424768843,12,0.34700640558798534,0.08516647222836375,0.2251020611371104,0.4573633376481131,12,11.566666666666668,13.238465534077946,0.3999999999999999,34.4,12,95000.0,0.0,95000.0,95000.0,12,21.847742433341534,2.8089419169187617,19.113163360022007,25.928636160027235,12,11.701388888888888,9.446517337877212,1.0,27.33333333333333,12,12.174242424242424,12.213179046597261,1.3333333333333333,39.0,11,0.027777777777777776,0.09622504486493763,0.0,0.3333333333333333,12,0.3333333333333333,0.37605071654517747,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,none,False,0.678868165837391,0.01923958496806109,0.6574081449766006,0.6945743452996895,3,0.6781691002094187,0.018942233280112984,0.6568534788572106,0.6930744297395347,3,1.0,0.0,1.0,1.0,3,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,18.257297359996784,0.3889021427962816,17.83180539999157,18.59439091999084,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,none,True,0.6596534897417271,0.025080416250848676,0.6372597829333865,0.6867537610443365,3,0.6592276729841224,0.02514281359329892,0.6362416784512843,0.6860795151579435,3,0.7681226149688932,0.04279630827913979,0.7253068216923638,0.8108994115998879,3,0.2110644396842041,0.03650227517945373,0.176410889118841,0.2491701626829499,3,0.0,0.0,0.0,0.0,3,95000.0,0.0,95000.0,95000.0,3,28.164324439999955,0.6777345164277607,27.541116280015554,28.88584652002901,3,,,,,0,,,,,0,1.0,0.0,1.0,1.0,3,1.0,0.0,1.0,1.0,3,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,rl,True,0.5693156599393736,0.05103572219935894,0.5186398486508016,0.6509010017766232,9,0.566697526321401,0.051539433619631064,0.5147315881757845,0.6511414900708559,9,0.4217998706201701,0.0670778970726938,0.3302045390865789,0.5262448394978515,9,0.4506812361103843,0.06206801060958973,0.3303175527388364,0.5215921537389226,9,26.177777777777777,16.562742660696156,3.2,43.6,9,95000.0,0.0,95000.0,95000.0,9,21.944270946664943,4.105361916795441,19.59082236001268,32.213669560011475,9,10.851851851851853,10.529206880428564,0.6666666666666666,34.333333333333336,9,9.760416666666666,15.551465856239332,1.0,39.75,8,0.0,0.0,0.0,0.0,9,0.14814814814814814,0.33793125168323446,0.0,1.0,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,moderate,rl_alarm,True,0.5805553483771015,0.06494764571564032,0.5165139898436722,0.6867537610443365,9,0.5782590287503659,0.06600968474349214,0.5122694609575434,0.6860795151579435,9,0.4802574034695184,0.233534419382257,0.2613246300151933,0.8108994115998879,9,0.40273783546162795,0.14576645549160322,0.176410889118841,0.5183062829831724,9,31.644444444444446,23.791128131675006,0.0,49.2,9,95000.0,0.0,95000.0,95000.0,9,25.142156102218564,8.569557250368604,19.27346876002848,37.6442247199826,9,19.51851851851852,14.053579132013066,2.6666666666666665,34.333333333333336,9,1.222222222222222,0.172132593164774,1.0,1.3333333333333333,6,0.0,0.0,0.0,0.0,9,0.3333333333333333,0.5,0.0,1.0,9,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,confirmed,False,0.614710472999548,0.04508314298679528,0.538753782233663,0.6847300370786327,12,0.6129350575342261,0.04476331046189741,0.5374088587183852,0.6823819072447828,12,1.0,0.0,1.0,1.0,12,0.0,0.0,0.0,0.0,12,2.5666666666666664,1.5859229221975182,0.0,5.199999999999999,12,99876.66666666667,3013.2535521752857,95000.0,104880.0,12,18.69741240000197,0.5542628012109344,17.97114551998675,19.615228880010545,12,12.972222222222223,15.799258922227414,0.6666666666666666,47.25,12,35.75757575757576,14.536040198295568,13.0,54.5,11,0.05555555555555555,0.1297498240269205,0.0,0.3333333333333333,12,0.16666666666666666,0.3333333333333333,0.0,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
RBF_I,concept,severe,confirmed,True,0.640568548025859,0.02906597888751772,0.6089528982029843,0.6850968728660034,12,0.6392050083313262,0.029104765442513898,0.6083416824200559,0.6830835487546758,12,0.6131398970359959,0.08593767213231442,0.4348484593507564,0.7296569370097297,12,0.26578357625511845,0.03782161907178367,0.1824020407357033,0.3014503717671501,12,0.49999999999999994,0.8022695081058258,0.0,2.8,12,104246.66666666667,6773.141252346833,95000.0,116280.0,12,26.800877596663003,2.491736516945707,22.594174040015787,29.40589351998642,12,12.222222222222221,17.535761920371357,0.6666666666666666,48.75,12,29.75,20.189725109569967,11.75,53.0,4,0.05555555555555555,0.1297498240269205,0.0,0.3333333333333333,12,0.8333333333333334,0.26590801173915524,0.3333333333333333,1.0,12,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0
