condition,stream,mode,level,base_key,rl_seed,host_accuracy,host_macro_f1,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,roc_auc
SEA_A__base_s0__concept__severe__a0,SEA_A,concept,severe,SEA_A__base_s0,7.0,0.0023765841542238153,0.0023692151079515167,0.1347361333221109,-0.06207344265996784,-20.0,0.0,0.8778698001988232,,
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,17.0,0.020135277953920894,0.02413800860270554,-0.13564225723996515,0.1367063284714032,3.0,0.0,-16.564562699757516,,
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3221565003041196,,
SEA_A__base_s0__instance__moderate__a0,SEA_A,instance,moderate,SEA_A__base_s0,7.0,0.00047770027478333255,0.0004804868634217252,0.009016600657284934,-0.007857715141652899,-10.0,0.0,0.12165330001153052,,
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,17.0,0.011240752483618666,0.013615330426484995,-0.12790403827686714,0.1287184030971879,1.0,0.0,-11.12158970022574,,
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31070250016637324,,
SEA_A__base_s0__instance__severe__a0,SEA_A,instance,severe,SEA_A__base_s0,7.0,0.0029676601141408465,0.0032075478897924947,-0.023552403254881504,0.02427861145756316,-26.0,0.0,0.20736059988848865,,
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,17.0,0.014344017519410612,0.016268476000254717,-0.32786977266348594,0.29174795938682074,15.0,0.0,-24.977507900213816,,
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,27.0,-4.977105315440156e-06,-6.3939781802524465e-06,0.010188043783328604,-0.002921560820226987,-1.0,0.0,-0.18944970006123185,,
SEA_A__base_s0__splice__moderate__a0,SEA_A,splice,moderate,SEA_A__base_s0,7.0,0.0011447342225764379,0.001220225268904196,0.025849003648610702,-0.028513836352777322,-12.0,0.0,0.26767920004203916,,
