rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_reference,host_accuracy_reference,poison_admission_rate_reference,clean_withhold_rate_reference,resets_reference,training_visits_reference,seconds_reference,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
60000,57000,49400,7600,8,0.7023211669875309,False,3000,rl,True,56050,0.907992863514719,0.8998114322622934,0,0,,56050,7600,0.13559322033898305,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.7840189159906004,-0.0002221224733613969,-8.92060660124816e-05,,0.0847457627118644,6,-3800,-0.08169774900306948
60000,60800,47500,5700,2,0.7708728330035228,False,3000,confirmed,True,56050,0.912221231043711,0.9044845891295112,0,0,,56050,13300,0.23728813559322035,SEA_A__s115__clean__none,SEA_A,clean,none,115,confirmed,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7708728330035228,0.0,0.0,,0.0,0,0,0.0
60000,57000,46550,6650,7,0.6947286249924218,False,3000,rl,True,56050,0.9075289919714541,0.8995038302418222,0,0,,56050,10450,0.1864406779661017,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.01,5,4,complete,0.9003181924123496,0.908278322925959,,0.1694915254237288,2,60800,0.7559547919954639,-0.0008143621705273274,-0.000749330954504912,,0.01694915254237289,5,-3800,-0.061226167003042065
60000,57000,31350,3800,4,0.7294921670109034,False,3000,rl,True,56050,0.916413916146298,0.9092983771581434,0,0,,56050,25650,0.4576271186440678,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.05,1,0,complete,0.9010489231629448,0.9085459411239964,,0.13559322033898305,1,58900,0.8360884580033598,0.008249453995198608,0.007867975022301521,,0.3220338983050848,3,-1900,-0.10659629099245649
60000,58900,43700,0,0,0.8586270410014549,False,3000,confirmed,True,56050,0.8954326494201605,0.8847023825393403,0,0,,56050,13300,0.23728813559322035,SEA_A__s115__clean__none,SEA_A,clean,none,115,confirmed,0.05,5,4,complete,0.8847023825393403,0.8954326494201605,,0.23728813559322035,0,58900,0.8586270410014549,0.0,0.0,,0.0,0,0,0.0
60000,57000,44650,6650,7,0.719256292009959,False,3000,rl,True,56050,0.912471008028546,0.9048444749226747,0,0,,56050,12350,0.22033898305084745,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.02,1,0,complete,0.9010264637547566,0.908528099910794,,0.1016949152542373,1,60800,0.8189347500010626,0.003818011167918134,0.0039429081177519976,,0.11864406779661016,6,-3800,-0.09967845799110364
60000,57000,38950,3800,4,0.702628792001633,False,3000,rl,True,56050,0.9067082961641392,0.8981092047940482,0,0,,56050,18050,0.3220338983050847,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7708728330035228,-0.00637538433546303,-0.005512934879571829,,0.08474576271186438,2,-3800,-0.06824404100188985
60000,57000,24700,4750,5,0.7065447500062874,False,3000,rl,True,56050,0.9025691347011596,0.8933528866678793,0,0,,56050,32300,0.576271186440678,SEA_A__s115__clean__none,SEA_A,clean,none,115,error_rule,0.05,5,4,complete,0.8847023825393403,0.8954326494201605,,0.23728813559322035,0,58900,0.8586270410014549,0.00865050412853896,0.007136485280999083,,0.3389830508474576,5,-1900,-0.15208229099516757
60000,57000,50350,49400,52,0.6510232919972623,False,3000,rl,True,56050,0.9130062444246209,0.9047892917830906,0,0,,56050,6650,0.11864406779661017,SEA_A__s115__clean__none,SEA_A,clean,none,115,selected_map,0.01,1,0,complete,0.9000335547356548,0.9080820695807315,,0.05084745762711865,2,60800,0.7840189159906004,0.004755737047435815,0.004924174843889406,,0.06779661016949153,50,-3800,-0.13299562399333809
60000,57000,34200,33250,35,0.6560623340046732,False,3000,rl,True,56050,0.9117395182872435,0.903350728475776,0,0,,56050,22800,0.4067796610169492,SEA_A__s115__clean__none,SEA_A,clean,none,115,selected_map,0.05,1,0,complete,0.9010489231629448,0.9085459411239964,,0.13559322033898305,1,58900,0.8360884580033598,0.0023018053128311955,0.0031935771632470855,,0.27118644067796616,34,-1900,-0.18002612399868667
60000,57000,47500,46550,49,0.6493486660037888,False,3000,rl,True,56050,0.9128456735057984,0.9046124598334329,0,0,,56050,9500,0.1694915254237288,SEA_A__s115__clean__none,SEA_A,clean,none,115,selected_map,0.01,5,4,complete,0.9003181924123496,0.908278322925959,,0.1694915254237288,2,60800,0.7559547919954639,0.004294267421083298,0.004567350579839369,,0.0,47,-3800,-0.10660612599167507
60000,57000,49400,48450,51,0.6547247499984223,False,3000,rl,True,56050,0.9108652988403212,0.9023066212145907,0,0,,56050,7600,0.13559322033898305,SEA_A__s115__clean__none,SEA_A,clean,none,115,selected_map,0.02,1,0,complete,0.9010264637547566,0.908528099910794,,0.1016949152542373,1,60800,0.8189347500010626,0.0012801574598341192,0.0023371989295272178,,0.033898305084745756,50,-3800,-0.1642100000026403
60000,57000,40850,39900,42,0.6486507499939762,False,3000,rl,True,56050,0.9058340767172167,0.896399957686993,0,0,,56050,16150,0.288135593220339,SEA_A__s115__clean__none,SEA_A,clean,none,115,selected_map,0.02,5,4,complete,0.9044845891295112,0.912221231043711,,0.23728813559322035,2,60800,0.7708728330035228,-0.008084631442518253,-0.006387154326494282,,0.05084745762711865,40,-3800,-0.12222208300954662
