rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,malicious_recall_baseline,benign_fpr_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference,malicious_recall_difference,benign_fpr_difference
60000,57000,44650,5700,6,0.6720166669983882,False,3000,rl,True,56050,0.8956824264049955,0.8857806216746013,14266,11116,0.7791952894995093,41784,9200,0.22017997319548152,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,selected_map,adwin,0.02,1,0,complete,0.894304026957681,0.903550401427297,0.42443572129538765,0.5765125406854298,4,57000,0.6720706250052899,,,-0.00852340528307971,-0.007867975022301521,0.3547595682041217,-0.35633256748994824,2,0,-5.395800690166652e-05,,
60000,57000,38950,4750,5,0.6664279170217924,False,3000,rl,True,56050,0.8872970561998216,0.8749426493669075,14266,9674,0.6781157998037292,41784,13458,0.3220850086157381,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,selected_map,adwin,0.02,5,4,complete,0.894304026957681,0.903550401427297,0.42443572129538765,0.5765125406854298,4,57000,0.6720706250052899,,,-0.0193613775907735,-0.016253345227475458,0.2536800785083415,-0.2544275320696917,1,0,-0.00564270798349753,,
60000,57000,26600,950,1,0.6842047920217738,False,3000,rl,True,56050,0.8876538804638715,0.874870618494846,14266,6494,0.4552081872984719,41784,22628,0.5415470036377561,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,selected_map,adwin,0.05,5,4,complete,0.894304026957681,0.903550401427297,0.42443572129538765,0.5765125406854298,4,57000,0.6720706250052899,,,-0.019433408462834922,-0.01589652096342553,0.030772466003084253,-0.03496553704767369,-3,0,0.012134167016483843,,
60000,57000,49400,0,0,0.8069523339800071,False,3000,rl,True,56050,0.887778768956289,0.8747169972870448,14266,12302,0.8623300154212814,41784,5636,0.13488416618801455,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.01,5,4,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,-0.007093041799567601,-0.005691347011596792,0.1798682181410347,-0.18868466398621483,0,0,0.031016000983072445,,
60000,57000,38950,0,0,0.7759363329969347,False,3000,rl,True,56050,0.8934701159678858,0.8818100390866124,14266,9736,0.6824617972802467,41784,13520,0.3235688301742294,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.05,1,0,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,0.0,0.0,0.0,0.0,0,0,0.0,,
60000,57000,55100,0,0,0.8454902909870725,False,3000,rl,True,56050,0.8868331846565567,0.8743276536282509,14266,13768,0.9650918267208748,41784,1402,0.033553513306528816,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.01,1,0,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,-0.00748238545836144,-0.006636931311329142,0.2826300294406281,-0.29001531686770055,0,0,0.06955395799013786,,
60000,57000,45600,0,0,0.7811002080270555,False,3000,rl,True,56050,0.8876538804638715,0.8747302430839075,14266,11356,0.796018505537642,41784,8490,0.20318782309017805,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.02,5,4,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,-0.007079796002704919,-0.005816235504014333,0.11355670825739528,-0.12038100708405133,0,0,0.005163875030120835,,
60000,57000,54150,0,0,0.8350631670036819,False,3000,rl,True,56050,0.8887243532560214,0.8768070229426237,14266,13587,0.9524043179587831,41784,2171,0.05195768715297722,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.02,1,0,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,-0.005003016143988681,-0.004745762711864443,0.2699425206785364,-0.27161114302125217,0,0,0.05912683400674723,,
60000,57000,28500,0,0,0.713230042019859,False,3000,rl,True,56050,0.8905441570026762,0.8778529203198715,14266,7011,0.4914481985139493,41784,21245,0.5084482098410875,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_7,adwin,0.05,5,4,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7759363329969347,,,-0.003957118766740875,-0.0029259589652096407,-0.19101359876629742,0.18487937966685813,0,0,-0.0627062909770757,,
60000,57000,55100,0,0,0.846102040988626,False,3000,rl,True,56050,0.8868331846565567,0.8743276536282509,14266,13768,0.9650918267208748,41784,1402,0.033553513306528816,,,SEA_A__s119__instance__severe,SEA_A,instance,severe,119.0,q_alarm_persistence_17,adwin,0.01,1,0,complete,0.8818100390866124,0.8934701159678858,0.6824617972802467,0.3235688301742294,0,57000,0.7776227919966914,,,-0.00748238545836144,-0.006636931311329142,0.2826300294406281,-0.29001531686770055,0,0,0.06847924899193458,,
