dataset,category,detector,policy,accuracy_screened_minus_unscreened,macro_f1_screened_minus_unscreened,macro_recall_screened_minus_unscreened,roc_auc_screened_minus_unscreened,poison_admission_rate_screened_minus_unscreened,clean_withhold_rate_screened_minus_unscreened,resets_per_100k_screened_minus_unscreened,seconds_per_100k_screened_minus_unscreened
RADAR,1,hellinger,immediate,-3.074228657457908,-9.326203024016989,-10.287810143451445,0.05413205870390755,-18.29381783773636,18.5784345999747,-4.3321031535648045,39.186679374177935
RADAR,1,none,none,0.5148079590679496,-0.7156096389283754,0.012992062655862538,0.04309165865048992,-8.93203899468063,9.04339554965331,0.0,169.40685900518477
RADAR,2,adwin,confirmed,-4.901865035140673,-8.177175363877636,-7.941176605448413,-0.022575726628510078,-15.493069546792789,15.507377042204487,-1.7878520951219834,12.646913589646408
RADAR,2,adwin,immediate,-9.279535821478705,-16.521226960122558,-16.416556834521852,-0.029384385689105397,-30.168567803816746,30.18477598329072,-20.629062636022883,5.6473633926266205
RADAR,2,d3_oof,confirmed,-0.8674269398893079,-4.166224799583276,-2.1869304098297535,0.03782959572846375,-16.71777145793095,16.752903740139555,-0.7563989633208393,39.20625240755941
RADAR,2,d3_oof,immediate,-0.6383368011751803,-3.353452119332434,-3.032090959475344,0.01638512844320328,-20.57626592977891,20.611708399533804,-0.6188718790806864,19.919921877716465
RADAR,2,hddm_w,confirmed,-2.891082667670878,-6.370538793731609,-5.799585114824037,-0.019901311029609164,-15.817398874947017,15.766712397523763,-1.4440343845216022,12.27349363487341
RADAR,2,hddm_w,immediate,-8.904700735046296,-16.206497023478402,-15.727612075010683,-0.0320844465910363,-31.164169403762774,31.139113331895274,-28.26181581135135,8.212236685492968
RADAR,2,hellinger,confirmed,-0.9608413405652771,-2.7162735926039514,-1.1810284360051695,-0.013583222692664728,-16.757030007163774,16.739772966141643,0.0,24.972095672079593
RADAR,2,hellinger,immediate,-3.366704965661789,-9.538609992766537,-9.63990346143094,0.03100574159517337,-18.015663785614723,18.157855763492904,-4.263339611444728,33.46407873705013
RADAR,2,none,none,0.864556291597407,2.742490280390747,3.6039983025249853,0.021778378517320857,-10.011235566828107,10.076633577273347,0.0,168.42434382045045
RADAR,3,adwin,confirmed,-3.2144947317385815,-5.406337044309151,-5.2031216169076275,-0.002466916029546925,-14.786521857453527,13.765960945018307,-1.100216673921221,24.017231923631783
RADAR,3,adwin,immediate,-6.1520453838939595,-13.80941287508936,-15.66571624145761,-0.009040974157107029,-44.34468616691185,41.057578997412456,-38.16376587664232,8.085153414899755
RADAR,3,d3_oof,confirmed,-0.6502357591138116,-0.808054104627165,-0.22380781202934186,-0.007610593990627024,-15.664761784466023,12.719696424102272,-0.6188718790806865,64.67951679860603
RADAR,3,d3_oof,immediate,-2.9768082697802734,-5.174936566931335,-5.5491655927569825,-0.029387266531739547,-15.742660074235575,14.894371025534156,-1.3065073002814493,30.470953427120673
RADAR,3,hddm_w,confirmed,-2.505740806287515,-4.079106770191044,-4.169251536950136,-0.0051410747529042995,-14.161359855670453,13.551930561135032,-1.168980216041297,21.45975328326624
RADAR,3,hddm_w,immediate,-4.390502552757081,-12.720801369328804,-14.663435784461235,0.014773359331526978,-43.633735017331354,40.048205802727956,-41.05183464568554,16.74663434094556
RADAR,3,hellinger,confirmed,-0.8480989070956438,-1.975167086355856,-2.3510599332998967,-0.01924831371209949,-14.939170116775522,13.90128251292083,-0.13752708424015245,30.289728411505774
RADAR,3,hellinger,immediate,-5.680818334777945,-8.811494621792582,-9.446583431307667,-0.027994420798090596,-20.618229538532912,21.24851376523204,-1.9253791793621355,28.606241157851898
RADAR,3,none,none,-1.9947635786181046,-4.239073671955478,-4.7509027406993125,-0.0017515608615962242,-10.53473585932595,8.84191198220903,0.0,163.128741950344
RADAR,4,adwin,confirmed,-0.741421562044986,-1.3805394754248024,-1.6490622222714226,-0.013728857577765688,-16.788208057953753,14.524459337845792,-1.4440343845216022,20.994698757234193
RADAR,4,adwin,immediate,-8.223998734286232,-15.816250508380895,-17.33052867023878,-0.007841187441468667,-46.120990548674605,44.7121050012774,-43.66484924624843,7.6928273299374155
RADAR,4,d3_oof,confirmed,-1.5869388406698863,-3.766359916403058,-3.558504813489962,0.003521721956143827,-15.3458573710847,12.800227343249349,0.20629062636022885,60.1615769817841
RADAR,4,d3_oof,immediate,-2.639338782210676,-2.768879813269937,-3.1576456887001,-0.004253676902328585,-15.462607089995567,13.496299800740596,-1.031453131801144,43.27577128282693
RADAR,4,hddm_w,confirmed,-0.9568511972746515,-2.1447669944456833,-2.0489331414390635,-0.008122498008561943,-13.318665827234488,12.74097625839851,-0.893926047560992,18.73890827561479
