stream,mode,level,detector,filter,accuracy_difference,macro_f1_difference,macro_recall_difference,roc_auc_difference,poison_admission_rate_difference,legitimate_withhold_rate_difference,filter_poison_recall_difference,filter_legitimate_rejection_difference,scored_resets_difference,total_seconds_difference,matched_assignments
SEA_A,instance,severe,d3_oof,learned_features_label,0.0008764884097795337,0.001733803234631237,0.0038348515864131683,0.0042620069728221965,-0.6260496344577519,-0.02330672572116597,0.765741192334687,0.049219501954784,0.0,-0.549520833000012,3
SEA_A,instance,severe,d3_oof,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,instance,severe,d3_oof,oracle_blocks,-0.02874797435355451,-0.034003467617671444,-0.03688289255809488,-0.0005924203836126981,-0.8385145504888872,0.8378521992253413,1.0,1.0,0.0,-5.629832000332802,3
SEA_A,instance,severe,d3_oof,oracle_rows,0.007471288663425686,0.008989777642972633,0.0116907272953507,0.004671500007535394,-0.8385145504888872,-0.063186928799909,1.0,0.0,0.6666666666666666,-1.2775319033329045,3
SEA_A,instance,severe,d3_oof,random_blocks,-0.02874797435355451,-0.034003467617671444,-0.03688289255809488,-0.0005924203836126981,-0.8385145504888872,0.8378521992253413,1.0,1.0,0.0,-5.346628888665388,3
SEA_A,instance,severe,d3_oof,random_rows,0.0079813992813359,0.009336945151305454,0.011025278314338527,0.0018438760604497413,-0.2666935448837548,0.2635192126435236,0.25021742469814484,0.2512073385771184,0.6666666666666666,-2.2191023333331636,3
SEA_A,instance,severe,hddm_w,learned_features,-0.0051927006270697795,-0.006326192049798118,-0.008653763942487994,-0.0018814547920008213,0.07055378368360765,-0.07173037943392907,0.050091735026173666,0.049763213088507,0.0,0.7531459166669568,3
SEA_A,instance,severe,hddm_w,learned_features_label,-0.018022969069259525,-0.020825700883352005,-0.02458225326551274,-0.0009095379874715093,-0.44732483876291457,-0.20112446107207618,0.765741192334687,0.049219501954784,-2.3333333333333335,0.6459423200006617,3
SEA_A,instance,severe,hddm_w,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
SEA_A,instance,severe,hddm_w,oracle_blocks,-0.04764743183259357,-0.05656297173565469,-0.0652999974100208,-0.005763965343906404,-0.65978975479405,0.660034463874431,1.0,1.0,-2.3333333333333335,-3.0716413053341967,3
SEA_A,instance,severe,hddm_w,oracle_rows,-0.009241175227224748,-0.010954928894178817,-0.013567959917258602,0.0007297532013883501,-0.65978975479405,-0.24381077892317035,1.0,0.0,-2.0,1.2336993750001664,3
SEA_A,instance,severe,hddm_w,random_blocks,-0.04764743183259357,-0.05656297173565469,-0.0652999974100208,-0.005763965343906404,-0.65978975479405,0.660034463874431,1.0,1.0,-2.3333333333333335,-3.122504069334051,3
SEA_A,instance,severe,hddm_w,random_rows,-0.0008990347354329945,-0.001310830099529518,-0.00262922858814559,0.0012636472549160855,-0.2381631524173773,0.23915927468151624,0.25021742469814484,0.2512073385771184,0.3333333333333333,-0.9326993746666025,3
SEA_A,instance,severe,hellinger,learned_features,0.005564715000352345,0.006691867738733352,0.008766936164824787,0.0032028446476225123,-0.014935736600693472,0.016282178309229622,0.050091735026173666,0.049763213088507,-2.0,0.1824305270001787,3
SEA_A,instance,severe,hellinger,learned_features_label,0.01005284295075041,0.01241629773584015,0.016705320892223985,0.005462593173317727,-0.5526610005825289,-0.07037764521082175,0.765741192334687,0.049219501954784,-1.3333333333333333,-1.1197372223329392,3
SEA_A,instance,severe,hellinger,none,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
