stream,mode,level,detector,filter,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,legitimate_withhold_rate,filter_poison_recall,filter_legitimate_rejection,scored_resets,total_seconds
RBF_I,clean,none,hddm_w,random_rows,0.67906855492144,0.6783713674815249,0.6779768207458323,0.8668942492634363,,0.24497991967871488,,0.0,0.3333333333333333,28.4357820969999
RBF_I,clean,none,hellinger,learned_features,0.667247234552244,0.6668315715724397,0.6663534402625086,0.8624997025792016,,0.23098992461072357,,0.055430141619108,0.0,34.06184906933231
RBF_I,clean,none,hellinger,learned_features_label,0.6611202705559078,0.6602342283561232,0.6606274680826274,0.8557596915600351,,0.31704924963009934,,0.025177200028182908,1.0,32.16714763900018
RBF_I,clean,none,hellinger,none,0.67809060804622,0.6776070388116251,0.6770316600448106,0.8649890284089983,,0.20883534136546186,,0.0,0.6666666666666666,30.608806805666973
RBF_I,clean,none,hellinger,oracle_blocks,0.67809060804622,0.6776070388116251,0.6770316600448106,0.8649890284089983,,0.20883534136546186,,0.0,0.6666666666666666,29.224582791333887
RBF_I,clean,none,hellinger,oracle_rows,0.67809060804622,0.6776070388116251,0.6770316600448106,0.8649890284089983,,0.20883534136546186,,0.0,0.6666666666666666,34.39400576433339
RBF_I,clean,none,hellinger,random_blocks,0.67809060804622,0.6776070388116251,0.6770316600448106,0.8649890284089983,,0.20883534136546186,,0.0,0.6666666666666666,33.67080502766718
RBF_I,clean,none,hellinger,random_rows,0.67809060804622,0.6776070388116251,0.6770316600448106,0.8649890284089983,,0.20883534136546186,,0.0,0.6666666666666666,32.07194734699988
RBF_I,concept,moderate,adwin,learned_features,0.6304070541993854,0.6289822078968498,0.6290520874274985,0.8374771314513391,0.5997399296632329,0.26874576930593647,0.06413990057530723,0.05645985590890404,2.3333333333333335,27.65370704199995
RBF_I,concept,moderate,adwin,learned_features_label,0.6336089187986161,0.6316659736112163,0.6311578694812933,0.8395606992740287,0.6332789531546487,0.27313135158705965,0.0329548484166104,0.02572331701625929,2.6666666666666665,30.193258874667055
RBF_I,concept,moderate,adwin,none,0.6497379992498451,0.6487973907989826,0.6493184615924118,0.8527507900726775,0.5794535464278147,0.250110968064789,0.0,0.0,0.3333333333333333,29.488230888999777
RBF_I,concept,moderate,adwin,oracle_blocks,0.6455058091819931,0.6451373929937197,0.6455905494311941,0.8495675275296297,0.0,0.44526901973673666,1.0,0.29239601351397787,0.3333333333333333,21.44360016666724
RBF_I,concept,moderate,adwin,oracle_rows,0.6711818675348938,0.6704140441284591,0.6698110118878331,0.8639445306475003,0.0,0.21245167153996872,1.0,0.0,0.0,30.079953152666956
