dataset,detector,policy,metric,mean_difference,min_condition_difference,max_condition_difference,defined_conditions,positive_conditions
RBF,d3_oof,confirmed,macro_recall,-0.41374005374520195,-1.861947001713582,1.8787739836345925,7,2
RBF,d3_oof,confirmed,poison_admission_rate,-29.976225553949096,-34.14192789488517,-23.538082299991686,6,0
RBF,d3_oof,confirmed,resets_per_100k,-0.43809523809523804,-0.9333333333333332,-0.26666666666666666,7,0
RBF,d3_oof,confirmed,roc_auc,-0.003257971976411898,-0.011999661071341317,0.013812591027675625,7,2
RBF,d3_oof,confirmed,seconds_per_100k,9.190444030475225,7.527058640029281,10.511287920021763,7,7
RBF,d3_oof,immediate,accuracy,5.163156897367616,2.852332717130609,8.34899332208318,7,7
RBF,d3_oof,immediate,clean_withhold_rate,26.066653892116598,20.749665327978576,29.96289996734554,7,7
RBF,d3_oof,immediate,macro_f1,5.345121684366323,2.9904561917564116,8.483880096542425,7,7
RBF,d3_oof,immediate,macro_recall,5.419260653260509,3.1483159169403883,8.542654551192518,7,7
RBF,d3_oof,immediate,poison_admission_rate,-31.916723408801946,-38.11667996887219,-25.453193306489624,6,0
RBF,d3_oof,immediate,resets_per_100k,-2.3047619047619046,-2.8000000000000007,-1.866666666666667,7,0
RBF,d3_oof,immediate,roc_auc,0.031348997012079396,0.01753137559927435,0.04576771491708217,7,7
RBF,d3_oof,immediate,seconds_per_100k,7.94269541332587,6.718905719990533,9.726206133328379,7,7
RBF,hddm_w,confirmed,accuracy,3.6635327400094972,0.6092587017462958,6.3643001299589805,7,7
RBF,hddm_w,confirmed,clean_withhold_rate,28.63704244839616,24.497991967871485,31.996245025587694,7,7
RBF,hddm_w,confirmed,macro_f1,3.706606338769215,0.8247353246086756,6.482220974993484,7,7
RBF,hddm_w,confirmed,macro_recall,3.8165666812395904,0.9519524199380514,6.6006576966661425,7,7
RBF,hddm_w,confirmed,poison_admission_rate,-36.82159353738391,-52.292709420194875,-25.197222234564663,6,0
RBF,hddm_w,confirmed,resets_per_100k,-2.6285714285714286,-3.1999999999999997,-1.3333333333333333,7,0
RBF,hddm_w,confirmed,roc_auc,0.021610183172728534,0.0034083216309276723,0.035253378396154056,7,7
RBF,hddm_w,confirmed,seconds_per_100k,6.635691708583563,5.0173747999904075,10.508853880005582,7,7
RBF,hddm_w,immediate,accuracy,1.0331180351816822,0.6544396453512588,1.5142310218091464,7,7
RBF,hddm_w,immediate,clean_withhold_rate,46.155022477747075,43.775100401606416,48.625184533290586,7,7
RBF,hddm_w,immediate,macro_f1,1.0595420772845334,0.6727592695534135,1.555998433644107,7,7
RBF,hddm_w,immediate,macro_recall,1.0420802036253076,0.6580546316100592,1.53414461432619,7,7
RBF,hddm_w,immediate,poison_admission_rate,-63.83389732309363,-80.49061222313055,-46.14131836829656,6,0
RBF,hddm_w,immediate,resets_per_100k,-32.7047619047619,-42.800000000000004,-22.666666666666668,7,0
RBF,hddm_w,immediate,roc_auc,0.0024912315511319244,-0.00014388986436945453,0.004421397982283877,7,6
RBF,hddm_w,immediate,seconds_per_100k,1.5331933485698834,1.2718543999517955,1.7354822799873837,7,7
RBF,hellinger,confirmed,accuracy,3.0126476668546034,1.3088597155866817,4.534422398124115,7,7
RBF,hellinger,confirmed,clean_withhold_rate,24.29170142906071,20.080321285140556,27.823493324191976,7,7
RBF,hellinger,confirmed,macro_f1,3.100474822004361,1.3219595561889637,4.675602620819904,7,7
RBF,hellinger,confirmed,macro_recall,3.1791246411072254,1.3259491039704436,4.5524754444203674,7,7
RBF,hellinger,confirmed,poison_admission_rate,-32.788376414393554,-39.15529289576425,-21.649879730607058,6,0
RBF,hellinger,confirmed,resets_per_100k,-1.5999999999999999,-2.266666666666667,-0.9333333333333332,7,0
RBF,hellinger,confirmed,roc_auc,0.015775509012249226,0.0034191626327535842,0.024915889578869994,7,7
RBF,hellinger,confirmed,seconds_per_100k,8.461885643808083,7.028991453380633,10.820854773372412,7,7
RBF,hellinger,immediate,accuracy,6.793072409158248,5.8658597808294815,7.381461046607984,7,7
RBF,hellinger,immediate,clean_withhold_rate,30.80036125044106,29.063881255763857,33.1864495531399,7,7
RBF,hellinger,immediate,macro_f1,7.125544751409332,6.159641817156469,7.940699149760391,7,7
RBF,hellinger,immediate,macro_recall,7.171635595931382,6.058261556990048,7.8995908521203155,7,7
RBF,hellinger,immediate,poison_admission_rate,-38.869740782028096,-44.07544571016194,-31.291704846452074,6,0
RBF,hellinger,immediate,resets_per_100k,-6.8,-7.866666666666667,-5.866666666666666,7,0
RBF,hellinger,immediate,roc_auc,0.044740586926079864,0.03927585682741963,0.049780792354983595,7,7
RBF,hellinger,immediate,seconds_per_100k,5.636846064771748,4.110361893319836,7.429034213380267,7,7
RBF,none,none,accuracy,-2.272598271567763,-3.493270586935837,-1.2513683277670329,7,0
RBF,none,none,clean_withhold_rate,22.624764218341088,19.41097724230254,26.35545493507546,7,7
RBF,none,none,macro_f1,-2.25401647530107,-3.5597626182814293,-1.2809571659463244,7,0
RBF,none,none,macro_recall,-2.2173208771163364,-3.5264560922489565,-1.2901865925764737,7,0
RBF,none,none,poison_admission_rate,-27.874657998947427,-33.981390769314345,-21.960924221254363,6,0
RBF,none,none,resets_per_100k,0.0,0.0,0.0,7,0
RBF,none,none,roc_auc,-0.013524448983641853,-0.01832501341035438,-0.008536679234827779,7,0
RBF,none,none,seconds_per_100k,9.792361779054184,8.778360173354544,10.47615111997972,7,7
SEA,adwin,confirmed,accuracy,0.4464917404596303,-0.18689469168727824,1.8036441455374197,7,5
SEA,adwin,confirmed,clean_withhold_rate,20.778623029393962,12.304303015937341,31.19519167492903,7,7
SEA,adwin,confirmed,macro_f1,0.49227399273264866,-0.21483882010774336,1.9786738934336505,7,5
SEA,adwin,confirmed,macro_recall,0.5062811534128083,-0.26302311133148776,2.02679747120883,7,6
SEA,adwin,confirmed,poison_admission_rate,-24.554000280929085,-36.50722339676378,-12.381792582866469,6,0
SEA,adwin,confirmed,resets_per_100k,-1.4666666666666668,-4.133333333333334,0.0,7,0
SEA,adwin,confirmed,roc_auc,0.0035648678698721853,0.00021375805499194525,0.008948488517307044,7,7
SEA,adwin,confirmed,seconds_per_100k,2.2235150209583696,1.1583514933163925,3.1872521600065125,7,7
SEA,adwin,immediate,accuracy,1.7690657394123304,-0.8142791997365673,6.500767097855719,7,6
SEA,adwin,immediate,clean_withhold_rate,36.34219254836209,14.969875958952587,60.37140982721821,7,7
SEA,adwin,immediate,macro_f1,1.9192676860845153,-0.9717347949269373,6.981922804585905,7,6
SEA,adwin,immediate,macro_recall,1.8628894908026532,-1.2463716958277897,6.655183443517369,7,6
SEA,adwin,immediate,poison_admission_rate,-48.06586714994353,-83.30678943472452,-15.12550003271358,6,0
SEA,adwin,immediate,resets_per_100k,-15.904761904761907,-49.73333333333334,-0.6666666666666666,7,0
SEA,adwin,immediate,roc_auc,0.012353673027229572,-0.0016900513829180008,0.04319478105713118,7,6
SEA,adwin,immediate,seconds_per_100k,1.371315588575921,0.5789169733412564,2.8322723467213407,7,7
SEA,d3_oof,confirmed,accuracy,0.01614109701328544,-0.3368080701134442,0.473311752961425,7,3
SEA,d3_oof,confirmed,clean_withhold_rate,13.141086468706051,9.408104663890766,21.515344216414505,7,7
SEA,d3_oof,confirmed,macro_f1,0.01615311645956497,-0.39946569289984746,0.5719098692944291,7,3
SEA,d3_oof,confirmed,macro_recall,0.003938802274808663,-0.50520815465022,0.7475958628318032,7,3
SEA,d3_oof,confirmed,poison_admission_rate,-15.33117353581128,-28.59494429053095,-10.816529688289704,6,0
SEA,d3_oof,confirmed,resets_per_100k,-0.13333333333333333,-0.4000000000000001,0.0,7,0
SEA,d3_oof,confirmed,roc_auc,0.00017050005898199854,-0.0013872192595124622,0.001565797827581002,7,4
SEA,d3_oof,confirmed,seconds_per_100k,4.202494927619894,2.8644241333318257,5.4726106800138945,7,7
SEA,d3_oof,immediate,accuracy,0.1451878288653452,-0.3097598907261097,0.781731775475821,7,3
SEA,d3_oof,immediate,clean_withhold_rate,21.50606392724564,17.399984716047275,25.75925914686044,7,7
