stream,condition,mode,level,detector,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_learned_features,cross_experiment,-0.00860977834488974,-0.008688995215310968,,0.059636363636363654,,,-8.333333333333334,-11343.333333333328
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_learned_features_label,cross_experiment,-0.0025875738040495033,0.0017990430622009668,,0.049779904306220146,,,-5.0,-4368.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_none,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_oracle_blocks,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_oracle_rows,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_random_blocks,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.0,0.0,,0.09090909090909094,,,-8.333333333333334,-15833.333333333343
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / none_screened_filter_learned_features,cross_experiment,-0.0017573290126402519,-0.0028516746411483274,,-0.009550239234449753,,,0.0,3716.666666666657
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / none_screened_filter_learned_features_label,cross_experiment,-0.0025875738040495033,0.0017990430622009668,,-0.0024306220095693387,,,0.0,4708.3333333333285
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / RL_4state,E3_filter / none_screened_filter_none,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_learned_features,cross_experiment,-0.00860977834488974,-0.008688995215310968,,-0.031272727272727285,,,0.0,4490.000000000015
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_learned_features_label,cross_experiment,-0.0025875738040495033,0.0017990430622009668,,-0.04112918660287079,,,3.333333333333334,11465.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_none,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_oracle_blocks,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_oracle_rows,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_random_blocks,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
RBF_I,RBF_I__s9913__clean__none,clean,none,adwin,E2_RL / confirmed_screened,E3_filter / confirmed_screened_filter_random_rows,cross_experiment,0.0,0.0,,0.0,,,0.0,0.0
