experiment,stream,condition,mode,level,method,left,right,comparison,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,malicious_recall_difference,benign_fpr_difference,resets_per_100k_difference,training_visits_per_100k_difference
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_screened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,d3_oof,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,adwin,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hddm_w,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,confirmed_unscreened,hddm_w,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,d3_oof,detector,0.0011606470201868113,0.000956937799043156,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,hddm_w,detector,-0.0021557354279242436,-0.0015311004784688276,,0.09090909090909088,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,adwin,hellinger,detector,0.0011606470201868113,0.000956937799043156,,0.09090909090909088,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,d3_oof,hddm_w,detector,-0.003316382448111055,-0.0024880382775119836,,0.0,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_screened,hddm_w,hellinger,detector,0.003316382448111055,0.0024880382775119836,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,d3_oof,detector,0.011000544667422174,0.010430622009569346,,0.0,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,hddm_w,detector,0.008895770567385441,0.008708133971291887,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,adwin,hellinger,detector,0.011000544667422174,0.010430622009569346,,0.0,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hddm_w,detector,-0.0021047741000367326,-0.0017224880382774588,,0.0,,,-8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__clean__none,clean,none,immediate_unscreened,hddm_w,hellinger,detector,0.0021047741000367326,0.0017224880382774588,,0.0,,,8.333333333333334,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,adwin,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,d3_oof,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_screened,hddm_w,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,d3_oof,hddm_w,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,confirmed_unscreened,hddm_w,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,adwin,hddm_w,detector,-0.003225090513128248,-0.0031578947368421373,0.3537011173184358,-0.3673872923807013,,,-16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,d3_oof,hddm_w,detector,-0.003225090513128248,-0.0031578947368421373,0.3537011173184358,-0.3673872923807013,,,-16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_screened,hddm_w,hellinger,detector,0.003225090513128248,0.0031578947368421373,-0.3537011173184358,0.3673872923807013,,,16.666666666666668,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,d3_oof,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,hddm_w,detector,-0.007620334247987692,-0.005837320574162641,0.0,0.0,,,-33.333333333333336,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,adwin,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,d3_oof,hddm_w,detector,-0.007620334247987692,-0.005837320574162641,0.0,0.0,,,-33.333333333333336,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,,,0.0,0.0
E1_fixed,SEA_A,SEA_A__s9913__instance__severe,instance,severe,immediate_unscreened,hddm_w,hellinger,detector,0.007620334247987692,0.005837320574162641,0.0,0.0,,,33.333333333333336,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,adwin,d3_oof,detector,0.041701520436647016,0.10151679306608885,,0.0,0.2427790788446526,0.0,0.0,15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,adwin,hddm_w,detector,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,adwin,hellinger,detector,0.041701520436647016,0.10151679306608885,,0.09090909090909088,0.2427790788446526,0.0,-8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,d3_oof,hddm_w,detector,-0.041701520436647016,-0.10151679306608885,,0.0,-0.2427790788446526,0.0,0.0,-15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,,0.09090909090909088,0.0,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_screened,hddm_w,hellinger,detector,0.041701520436647016,0.10151679306608885,,0.09090909090909088,0.2427790788446526,0.0,-8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,adwin,d3_oof,detector,0.07543583281801614,0.1906825568797399,,0.0,0.4657819411917773,0.0,8.333333333333334,15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,adwin,hddm_w,detector,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,adwin,hellinger,detector,0.07543583281801614,0.1906825568797399,,0.0,0.4657819411917773,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,d3_oof,hddm_w,detector,-0.07543583281801614,-0.1906825568797399,,0.0,-0.4657819411917773,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,,0.0,0.0,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,confirmed_unscreened,hddm_w,hellinger,detector,0.07543583281801614,0.1906825568797399,,0.0,0.4657819411917773,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,adwin,d3_oof,detector,-0.0011673969932769757,-0.011592632719393259,,0.09090909090909088,-0.06531355711683584,0.02079079264896975,25.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,adwin,hddm_w,detector,0.0,0.0,,0.0,0.0,0.0,8.333333333333332,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,adwin,hellinger,detector,-0.0011673969932769757,-0.011592632719393259,,0.09090909090909088,-0.06531355711683584,0.02079079264896975,25.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,d3_oof,hddm_w,detector,0.0011673969932769757,0.011592632719393259,,-0.09090909090909088,0.06531355711683584,-0.02079079264896975,-16.666666666666668,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,d3_oof,hellinger,detector,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_screened,hddm_w,hellinger,detector,-0.0011673969932769757,-0.011592632719393259,,0.09090909090909088,-0.06531355711683584,0.02079079264896975,16.666666666666668,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,adwin,d3_oof,detector,0.0942524981058615,0.07334777898158173,,0.0,0.23549310434556336,0.07573788750696121,58.333333333333336,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,adwin,hddm_w,detector,6.361322297876448e-05,0.00021668472372693426,,0.0,0.0,0.0,8.333333333333336,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,adwin,hellinger,detector,0.0487717170203546,-0.0297941495124594,,0.0,-0.010148321623731471,0.07573788750696121,50.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,d3_oof,hddm_w,detector,-0.09418888488288274,-0.0731310942578548,,0.0,-0.23549310434556336,-0.07573788750696121,-50.0,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,d3_oof,hellinger,detector,-0.045480781085506905,-0.10314192849404114,,0.0,-0.24564142596929484,0.0,-8.333333333333334,0.0
E1_fixed,radar,radar__evaluation__clean__none__aNone,clean,none,immediate_unscreened,hddm_w,hellinger,detector,0.048708103797375835,-0.030010834236186335,,0.0,-0.010148321623731471,0.07573788750696121,41.666666666666664,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,adwin,d3_oof,detector,0.06950410309062305,0.10270855904658716,0.09388185654008441,-0.08979752826715753,0.24121779859484777,0.0,8.333333333333334,15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,adwin,hddm_w,detector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,adwin,hellinger,detector,0.06950410309062305,0.10270855904658716,0.09388185654008441,-0.08979752826715753,0.24121779859484777,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,d3_oof,hddm_w,detector,-0.06950410309062305,-0.10270855904658716,-0.09388185654008441,0.08979752826715753,-0.24121779859484777,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,0.0,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_screened,hddm_w,hellinger,detector,0.06950410309062305,0.10270855904658716,0.09388185654008441,-0.08979752826715753,0.24121779859484777,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,adwin,d3_oof,detector,-0.1145225231025202,-0.20422535211267612,0.0,0.0,-0.49050221181368725,0.0,8.333333333333334,15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,adwin,hddm_w,detector,-0.06907187366826936,-0.10270855904658727,0.0,0.0,-0.2315899037210513,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,adwin,hellinger,detector,-0.1145225231025202,-0.20422535211267612,0.0,0.0,-0.49050221181368725,0.0,8.333333333333334,15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,d3_oof,hddm_w,detector,0.04545064943425084,0.10151679306608885,0.0,0.0,0.25891230809263593,0.0,-8.333333333333334,-15833.333333333343
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,d3_oof,hellinger,detector,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E1_fixed,radar,radar__evaluation__instance__severe__a0,instance,severe,confirmed_unscreened,hddm_w,hellinger,detector,-0.04545064943425084,-0.10151679306608885,0.0,0.0,-0.25891230809263593,0.0,8.333333333333334,15833.333333333343
