stream,mode,level,detector,filter,metric,mean,std,count
RBF_I,clean,none,d3_oof,oracle_blocks,total_seconds,26.13157283333324,4.71446435708761,3
RBF_I,clean,none,d3_oof,oracle_rows,accuracy,0.6873599661805114,0.01607751624924287,3
RBF_I,clean,none,d3_oof,oracle_rows,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,d3_oof,oracle_rows,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,oracle_rows,legitimate_withhold_rate,0.19946452476572954,0.016720208831053268,3
RBF_I,clean,none,d3_oof,oracle_rows,macro_f1,0.6864430442176057,0.016274609240307897,3
RBF_I,clean,none,d3_oof,oracle_rows,macro_recall,0.6858299201078454,0.015264851197865165,3
RBF_I,clean,none,d3_oof,oracle_rows,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,oracle_rows,roc_auc,0.872513500418957,0.01093862324814751,3
RBF_I,clean,none,d3_oof,oracle_rows,scored_resets,0.6666666666666666,1.1547005383792517,3
RBF_I,clean,none,d3_oof,oracle_rows,total_seconds,27.452627041666346,6.143396412794235,3
RBF_I,clean,none,d3_oof,random_blocks,accuracy,0.6873599661805114,0.01607751624924287,3
RBF_I,clean,none,d3_oof,random_blocks,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,d3_oof,random_blocks,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,random_blocks,legitimate_withhold_rate,0.19946452476572954,0.016720208831053268,3
RBF_I,clean,none,d3_oof,random_blocks,macro_f1,0.6864430442176057,0.016274609240307897,3
RBF_I,clean,none,d3_oof,random_blocks,macro_recall,0.6858299201078454,0.015264851197865165,3
RBF_I,clean,none,d3_oof,random_blocks,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,random_blocks,roc_auc,0.872513500418957,0.01093862324814751,3
RBF_I,clean,none,d3_oof,random_blocks,scored_resets,0.6666666666666666,1.1547005383792517,3
RBF_I,clean,none,d3_oof,random_blocks,total_seconds,26.052487458332205,4.641287095828261,3
RBF_I,clean,none,d3_oof,random_rows,accuracy,0.6873599661805114,0.01607751624924287,3
RBF_I,clean,none,d3_oof,random_rows,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,d3_oof,random_rows,filter_poison_recall,,,0
RBF_I,clean,none,d3_oof,random_rows,legitimate_withhold_rate,0.19946452476572954,0.016720208831053268,3
RBF_I,clean,none,d3_oof,random_rows,macro_f1,0.6864430442176057,0.016274609240307897,3
RBF_I,clean,none,d3_oof,random_rows,macro_recall,0.6858299201078454,0.015264851197865165,3
RBF_I,clean,none,d3_oof,random_rows,poison_admission_rate,,,0
RBF_I,clean,none,d3_oof,random_rows,roc_auc,0.872513500418957,0.01093862324814751,3
RBF_I,clean,none,d3_oof,random_rows,scored_resets,0.6666666666666666,1.1547005383792517,3
RBF_I,clean,none,d3_oof,random_rows,total_seconds,26.43228780566642,5.237475375618976,3
RBF_I,clean,none,hddm_w,learned_features,accuracy,0.6558289297541041,0.02568601641679654,3
RBF_I,clean,none,hddm_w,learned_features,filter_legitimate_rejection,0.055430141619108,0.013862594379256295,3
RBF_I,clean,none,hddm_w,learned_features,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,learned_features,legitimate_withhold_rate,0.3157711547946171,0.028396714279101332,3
RBF_I,clean,none,hddm_w,learned_features,macro_f1,0.6550010922823982,0.025529925615710446,3
RBF_I,clean,none,hddm_w,learned_features,macro_recall,0.6554274636580865,0.023778467970517504,3
RBF_I,clean,none,hddm_w,learned_features,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,learned_features,roc_auc,0.8545027119724894,0.013353412987219718,3
RBF_I,clean,none,hddm_w,learned_features,scored_resets,1.6666666666666667,1.1547005383792517,3
RBF_I,clean,none,hddm_w,learned_features,total_seconds,24.066187583333278,5.254252173414984,3
RBF_I,clean,none,hddm_w,learned_features_label,accuracy,0.6630888466145283,0.019656609587593767,3
RBF_I,clean,none,hddm_w,learned_features_label,filter_legitimate_rejection,0.02517720002818284,0.012411575407886365,3
RBF_I,clean,none,hddm_w,learned_features_label,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,learned_features_label,legitimate_withhold_rate,0.27957725639399705,0.05357322539139613,3
RBF_I,clean,none,hddm_w,learned_features_label,macro_f1,0.6624315846069325,0.019591152536698617,3
RBF_I,clean,none,hddm_w,learned_features_label,macro_recall,0.6627107980933545,0.018384243614223503,3
RBF_I,clean,none,hddm_w,learned_features_label,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,learned_features_label,roc_auc,0.8589550291888948,0.010492824440146886,3
RBF_I,clean,none,hddm_w,learned_features_label,scored_resets,1.0,1.0,3
RBF_I,clean,none,hddm_w,learned_features_label,total_seconds,26.36128244499984,5.850137441776201,3
RBF_I,clean,none,hddm_w,none,accuracy,0.67906855492144,0.026736124279488453,3
RBF_I,clean,none,hddm_w,none,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,hddm_w,none,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,none,legitimate_withhold_rate,0.24497991967871482,0.03569555990889797,3
RBF_I,clean,none,hddm_w,none,macro_f1,0.6783713674815249,0.028099155388153642,3
RBF_I,clean,none,hddm_w,none,macro_recall,0.6779768207458323,0.02727332805118666,3
RBF_I,clean,none,hddm_w,none,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,none,roc_auc,0.8668942492634363,0.011611952901740451,3
RBF_I,clean,none,hddm_w,none,scored_resets,0.3333333333333333,0.5773502691896258,3
RBF_I,clean,none,hddm_w,none,total_seconds,35.61121594466689,17.477596768415157,3
RBF_I,clean,none,hddm_w,oracle_blocks,accuracy,0.67906855492144,0.026736124279488453,3
RBF_I,clean,none,hddm_w,oracle_blocks,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,hddm_w,oracle_blocks,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,oracle_blocks,legitimate_withhold_rate,0.24497991967871482,0.03569555990889797,3
RBF_I,clean,none,hddm_w,oracle_blocks,macro_f1,0.6783713674815249,0.028099155388153642,3
RBF_I,clean,none,hddm_w,oracle_blocks,macro_recall,0.6779768207458323,0.02727332805118666,3
RBF_I,clean,none,hddm_w,oracle_blocks,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,oracle_blocks,roc_auc,0.8668942492634363,0.011611952901740451,3
RBF_I,clean,none,hddm_w,oracle_blocks,scored_resets,0.3333333333333333,0.5773502691896258,3
RBF_I,clean,none,hddm_w,oracle_blocks,total_seconds,29.659898250332844,9.958966540527408,3
RBF_I,clean,none,hddm_w,oracle_rows,accuracy,0.67906855492144,0.026736124279488453,3
RBF_I,clean,none,hddm_w,oracle_rows,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,hddm_w,oracle_rows,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,oracle_rows,legitimate_withhold_rate,0.24497991967871482,0.03569555990889797,3
RBF_I,clean,none,hddm_w,oracle_rows,macro_f1,0.6783713674815249,0.028099155388153642,3
RBF_I,clean,none,hddm_w,oracle_rows,macro_recall,0.6779768207458323,0.02727332805118666,3
RBF_I,clean,none,hddm_w,oracle_rows,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,oracle_rows,roc_auc,0.8668942492634363,0.011611952901740451,3
RBF_I,clean,none,hddm_w,oracle_rows,scored_resets,0.3333333333333333,0.5773502691896258,3
RBF_I,clean,none,hddm_w,oracle_rows,total_seconds,29.725449972000813,8.24947455695773,3
RBF_I,clean,none,hddm_w,random_blocks,accuracy,0.67906855492144,0.026736124279488453,3
RBF_I,clean,none,hddm_w,random_blocks,filter_legitimate_rejection,0.0,0.0,3
RBF_I,clean,none,hddm_w,random_blocks,filter_poison_recall,,,0
RBF_I,clean,none,hddm_w,random_blocks,legitimate_withhold_rate,0.24497991967871482,0.03569555990889797,3
RBF_I,clean,none,hddm_w,random_blocks,macro_f1,0.6783713674815249,0.028099155388153642,3
RBF_I,clean,none,hddm_w,random_blocks,macro_recall,0.6779768207458323,0.02727332805118666,3
RBF_I,clean,none,hddm_w,random_blocks,poison_admission_rate,,,0
RBF_I,clean,none,hddm_w,random_blocks,roc_auc,0.8668942492634363,0.011611952901740451,3
RBF_I,clean,none,hddm_w,random_blocks,scored_resets,0.3333333333333333,0.5773502691896258,3
