epoch,condition,seed,detector,reward,training_visits,resets,states,epsilon,variant
2,RBF_I__s112__instance__severe,7,adwin,32.94,57000,1,4,0.1,alarm_persistence
2,SEA_A__s112__concept__moderate,7,adwin,53.8,57000,16,4,0.1,alarm_persistence
3,SEA_A__s112__splice__severe,7,adwin,53.9,57000,23,4,0.1,alarm_persistence
3,RBF_I__s112__splice__severe,7,adwin,31.02,57000,12,4,0.1,alarm_persistence
3,SEA_A__s112__instance__moderate,7,adwin,54.22,57000,24,4,0.1,alarm_persistence
3,RBF_I__s112__concept__moderate,7,adwin,32.660000000000004,57000,15,4,0.1,alarm_persistence
3,SEA_A__s112__clean__none,7,adwin,54.14,57000,29,4,0.1,alarm_persistence
3,SEA_A__s112__instance__severe,7,adwin,54.2,57000,21,4,0.1,alarm_persistence
3,RBF_I__s112__concept__severe,7,adwin,30.28,57000,9,4,0.1,alarm_persistence
3,SEA_A__s112__concept__severe,7,adwin,53.56,57000,0,4,0.1,alarm_persistence
3,RBF_I__s112__clean__none,7,adwin,32.84,57000,1,4,0.1,alarm_persistence
3,RBF_I__s112__instance__severe,7,adwin,30.06,57000,21,4,0.1,alarm_persistence
3,RBF_I__s112__splice__moderate,7,adwin,32.8,57000,4,4,0.1,alarm_persistence
3,RBF_I__s112__instance__moderate,7,adwin,31.96,57000,1,4,0.1,alarm_persistence
3,SEA_A__s112__concept__moderate,7,adwin,53.22,57000,7,4,0.1,alarm_persistence
3,SEA_A__s112__splice__moderate,7,adwin,53.74,57000,32,4,0.1,alarm_persistence
0,RBF_I__s112__splice__severe,17,adwin,31.46,57000,20,4,0.1,alarm_persistence
0,SEA_A__s112__splice__severe,17,adwin,54.1,57000,29,4,0.1,alarm_persistence
0,RBF_I__s112__instance__severe,17,adwin,30.06,57000,31,4,0.1,alarm_persistence
0,SEA_A__s112__concept__severe,17,adwin,54.0,57000,9,4,0.1,alarm_persistence
0,RBF_I__s112__splice__moderate,17,adwin,32.72,57000,18,4,0.1,alarm_persistence
0,RBF_I__s112__clean__none,17,adwin,32.72,57000,27,4,0.1,alarm_persistence
0,RBF_I__s112__instance__moderate,17,adwin,32.14,57000,26,4,0.1,alarm_persistence
0,SEA_A__s112__instance__moderate,17,adwin,54.34,57000,27,4,0.1,alarm_persistence
0,SEA_A__s112__clean__none,17,adwin,54.28,57000,37,4,0.1,alarm_persistence
0,RBF_I__s112__concept__moderate,17,adwin,32.660000000000004,57000,18,4,0.1,alarm_persistence
0,SEA_A__s112__instance__severe,17,adwin,54.1,57000,28,4,0.1,alarm_persistence
0,RBF_I__s112__concept__severe,17,adwin,32.04,57000,18,4,0.1,alarm_persistence
0,SEA_A__s112__splice__moderate,17,adwin,54.02,57000,35,4,0.1,alarm_persistence
0,SEA_A__s112__concept__moderate,17,adwin,54.02,57000,17,4,0.1,alarm_persistence
1,RBF_I__s112__splice__severe,17,adwin,31.76,57000,18,4,0.1,alarm_persistence
1,SEA_A__s112__instance__severe,17,adwin,54.1,57000,29,4,0.1,alarm_persistence
1,SEA_A__s112__concept__moderate,17,adwin,53.66,57000,14,4,0.1,alarm_persistence
1,RBF_I__s112__instance__moderate,17,adwin,31.38,57000,31,4,0.1,alarm_persistence
1,SEA_A__s112__clean__none,17,adwin,54.48,57000,5,4,0.1,alarm_persistence
1,SEA_A__s112__splice__moderate,17,adwin,54.14,57000,4,4,0.1,alarm_persistence
1,RBF_I__s112__splice__moderate,17,adwin,32.04,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__splice__severe,17,adwin,54.14,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__clean__none,17,adwin,32.4,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__concept__severe,17,adwin,32.58,57000,5,4,0.1,alarm_persistence
1,RBF_I__s112__concept__moderate,17,adwin,32.46,57000,6,4,0.1,alarm_persistence
1,SEA_A__s112__concept__severe,17,adwin,53.94,57000,6,4,0.1,alarm_persistence
1,RBF_I__s112__instance__severe,17,adwin,30.08,57000,33,4,0.1,alarm_persistence
