rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,run_id,condition,stream,mode,level,base_seed,base_key,relative_folder,attack_seed,detector,rl_seed,status,host_n,host_accuracy,host_macro_f1,undefined_predictions,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,poison_training_visits,rejected_update_blocks,insufficient_audit_blocks,reset_requests,reset_rejections,gate_seconds,candidate_seconds,prediction_seconds,mean_admission_delay_blocks,malicious_precision,malicious_recall,benign_fpr,roc_auc,average_precision,event_applicable,detection_delay,commit_delay,missed_detections,missed_commits,scheduled_events,unexposed_false_alarm_rate,unexposed_blocks,missed_detection_rate,missed_commit_rate,resets_per_100k,training_visits_per_100k,accepted_training_visits_per_100k,accepted_refit_rows_per_100k,seconds_per_100k,gate_seconds_per_100k,rl_model_sha256,rl_variant
250000,237500,194750,0,0,70.05542320013046,False,12500,none,True,RBF_I__base_s0__clean__none__anone__none__none__guarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/no_detector/no_reset/screened,,none,,complete,236550,0.697429718875502,0.6973233019362195,0,0,0,,236550,42750,0.18072289156626506,0,45,0,0,0,2.6187374007422477,48.182213498977944,18.38695470080711,0.0,,,,,,True,,,3.0,3.0,3.0,0.0,53.0,1.0,1.0,0.0,95000.0,77900.0,0.0,28.022169280052186,1.047494960296899,,
250000,237500,237500,0,0,45.187801300082356,False,12500,none,False,RBF_I__base_s0__clean__none__anone__none__none__unguarded,RBF_I__base_s0__clean__none__anone,RBF_I,clean,none,0.0,RBF_I__base_s0,05_runs/RBF/clean/none/base_seed_0/no_detector/no_reset/unscreened,,none,,complete,236550,0.7180131050517861,0.718578675963701,0,0,0,,236550,0,0.0,0,0,0,0,0,6.570224650204182e-05,26.490659599890932,17.91089559928514,0.0,,,,,,True,,,3.0,3.0,3.0,0.0,53.0,1.0,1.0,0.0,95000.0,95000.0,0.0,18.075120520032943,2.6280898600816728e-05,,
250000,258400,177650,2850,1,59.58157499996014,True,12500,confirmed,True,RBF_I__base_s0__concept__moderate__a0__adwin__confirmed__guarded,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/confirmed_reset/screened,0.0,adwin,,complete,200943,0.6327814355314691,0.6325898764729114,0,35607,22077,0.6200185356811863,200943,48220,0.23996854829479006,22959,65,0,11,10,2.556187400361523,37.60757910157554,18.44232279784046,0.0,,,,,,True,3.0,53.0,0.0,2.0,3.0,,0.0,0.0,0.6666666666666666,0.39999999999999997,103360.00000000001,71060.0,1140.0,23.832629999984057,1.0224749601446093,,
250000,256500,256500,28500,10,45.772229599999264,False,12500,confirmed,False,RBF_I__base_s0__concept__moderate__a0__adwin__confirmed__unguarded,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/confirmed_reset/unscreened,0.0,adwin,,complete,200943,0.5939495279755951,0.5931959183997724,0,35607,35607,1.0,200943,0,0.0,42227,0,0,10,0,6.4801424741745e-05,27.294120999984443,17.523700000252575,0.0,,,,,,True,5.333333333333333,41.0,0.0,0.0,3.0,,0.0,0.0,0.0,4.0,102600.0,102600.0,11400.0,18.308891839999706,2.5920569896697998e-05,,
250000,237500,140600,38000,40,47.96764470008202,False,12500,immediate,True,RBF_I__base_s0__concept__moderate__a0__adwin__immediate__guarded,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/immediate_reset/screened,0.0,adwin,,complete,200943,0.5504347003876722,0.5500973003996696,0,35607,14430,0.40525739320920046,200943,75723,0.3768382078499873,14430,102,0,94,54,2.526931398315355,26.6650167980697,17.789765601279214,0.0,,,,,,True,3.3333333333333335,23.333333333333332,0.0,0.0,3.0,,0.0,0.0,0.0,16.0,95000.0,56240.0,15200.0,19.187057880032807,1.010772559326142,,
250000,237500,237500,81700,86,43.3714811000973,False,12500,immediate,False,RBF_I__base_s0__concept__moderate__a0__adwin__immediate__unguarded,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/immediate_reset/unscreened,0.0,adwin,,complete,200943,0.5224267578367995,0.5212666127911376,0,35607,35607,1.0,200943,0,0.0,35607,0,0,86,0,6.620166823267937e-05,24.953752098837867,17.496133997803554,0.0,,,,,,True,3.3333333333333335,3.3333333333333335,0.0,0.0,3.0,,0.0,0.0,0.0,34.4,95000.0,95000.0,32679.999999999996,17.348592440038917,2.6480667293071745e-05,,
250000,237500,149150,7600,8,80.53417390002869,False,12500,rl,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl__guarded__r17,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_persistence/screened/rl_seed_17,0.0,adwin,17.0,complete,200943,0.6509010017766232,0.6511414900708559,0,35607,13632,0.38284606959305756,200943,66375,0.3303175527388364,13632,93,0,58,50,2.675004201941192,39.41304349899292,18.26286419807002,0.0,,,,,,True,3.6666666666666665,,0.0,3.0,3.0,,0.0,0.0,1.0,3.1999999999999997,95000.0,59660.0,3040.0,32.213669560011475,1.070001680776477,d99b5c89f5e521e295ec129257c10de8773c6d03940b28a23a1561f112b7f22a,alarm_persistence
250000,237500,121600,99750,105,49.7825337999966,False,12500,rl,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl__guarded__r27,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_persistence/screened/rl_seed_27,0.0,adwin,27.0,complete,200943,0.5306728773831385,0.529695096367551,0,35607,18738,0.5262448394978515,200943,99031,0.49283130041852663,18738,122,0,210,105,2.5870272994507104,25.30884579848498,17.388724701013416,0.0,,,,,,True,0.6666666666666666,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,42.0,95000.0,48640.0,39900.0,19.91301351999864,1.0348109197802842,0a24fb29e2f8ac2436f8f56cb1e859c75c0ae9f60ab00c18cb51e1c1087e6ece,alarm_persistence
250000,237500,126350,83600,88,50.17265519988723,False,12500,rl,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl__guarded__r7,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_persistence/screened/rl_seed_7,0.0,adwin,7.0,complete,200943,0.5310510940913592,0.5300424160298554,0,35607,18471,0.5187463139270369,200943,94014,0.4678640211403234,18471,117,0,180,92,2.5542716009076685,25.590454700170085,17.477622401202098,0.0,,,,,,True,8.666666666666666,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,35.199999999999996,95000.0,50539.99999999999,33440.0,20.069062079954893,1.0217086403630673,3a5f4752cf8b526120b9204c5321f67ab138e19a0c925f64d3a3f26bb4481cfd,alarm_persistence
250000,237500,177650,0,0,90.62702469993383,False,12500,rl_alarm,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl_alarm__guarded__r17,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_alarm/screened/rl_seed_17,0.0,adwin,17.0,complete,200943,0.6549469252474582,0.6553618253431395,0,35607,25826,0.7253068216923638,200943,50069,0.2491701626829499,25826,63,0,0,0,2.6186775993555784,46.177886199206114,18.341146300779656,0.0,,,,,,True,2.6666666666666665,,0.0,3.0,3.0,,0.0,0.0,1.0,0.0,95000.0,71060.0,0.0,36.25080987997353,1.0474710397422313,d0d03fcb4738304e5544919813738da49b3c4443844935a5d66b5ec1a0bf3b22,alarm
250000,237500,117800,116850,123,49.594577099895105,False,12500,rl_alarm,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl_alarm__guarded__r27,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_alarm/screened/rl_seed_27,0.0,adwin,27.0,complete,200943,0.5280850788532071,0.5273934422764847,0,35607,16997,0.4773499592776701,200943,101090,0.503077987289928,16997,126,0,249,126,2.5442619000095874,24.870466099120677,17.753657300490886,0.0,,,,,,True,8.666666666666666,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,49.2,95000.0,47120.0,46740.0,19.83783083995804,1.017704760003835,45fea17bc000cf33d753b33091e96dd90d974f0c6d2206d30b0d446455727242,alarm
250000,237500,117800,116850,123,48.36343039991334,False,12500,rl_alarm,True,RBF_I__base_s0__concept__moderate__a0__adwin__rl_alarm__guarded__r7,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/adwin/rl_alarm/screened/rl_seed_7,0.0,adwin,7.0,complete,200943,0.5280850788532071,0.5273934422764847,0,35607,16997,0.4773499592776701,200943,101090,0.503077987289928,16997,126,0,249,126,2.5802056996617466,24.515284297522157,16.79179089819081,0.0,,,,,,True,8.666666666666666,1.0,0.0,0.0,3.0,,0.0,0.0,0.0,49.2,95000.0,47120.0,46740.0,19.345372159965336,1.0320822798646987,614752e0deaab2c0ecc723986570cc1361ecc29bec792bf4f32c287d3091403d,alarm
250000,243200,180500,2850,1,60.77897259988822,True,12500,confirmed,True,RBF_I__base_s0__concept__moderate__a0__d3_oof__confirmed__guarded,RBF_I__base_s0__concept__moderate__a0,RBF_I,concept,moderate,0.0,RBF_I__base_s0,05_runs/RBF/concept/moderate/base_seed_0/attack_seed_0/d3_oof/confirmed_reset/screened,0.0,d3_oof,,complete,200943,0.6386487710445251,0.6386997787552319,0,35607,22814,0.6407167130058696,200943,46107,0.2294531284991266,22814,62,0,3,2,2.633514798944816,37.12756339972839,18.318525100359693,0.0,,,,,,True,15.666666666666666,34.0,0.0,2.0,3.0,,0.0,0.0,0.6666666666666666,0.39999999999999997,97280.0,72200.0,1140.0,24.311589039955287,1.0534059195779264,,
