stream,detector,filter,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,malicious_recall,benign_fpr
SEA_A,d3_oof,none,0.8895782491873595,0.8996449429485447,0.7505368898038703,0.21695012429184743,0.2285714285714286,57651.42857142857,,
SEA_A,d3_oof,oracle_blocks,0.8705123973517,0.8841417975001092,0.0,0.7226672437088725,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,oracle_rows,0.8893533065592619,0.899658294266919,0.0,0.18214128539747745,0.17142857142857146,47730.97142857143,,
SEA_A,d3_oof,random_blocks,0.8677918932855018,0.881786435642989,0.1261762204761993,0.7631007432916372,0.028571428571428574,18294.285714285714,,
SEA_A,d3_oof,random_rows,0.8876805963783525,0.8979470425209761,0.5870975726907031,0.3598164383754377,0.2342857142857143,47826.188571428575,,
SEA_A,hddm_w,learned_features,0.8949121882305059,0.9038798331004962,0.642633494624727,0.31902252996338337,1.382857142857143,58032.514285714286,,
SEA_A,hddm_w,learned_features_label,0.8880439680683958,0.8979290016044535,0.49834064950316004,0.17921998376494777,0.03428571428571429,50662.68571428572,,
SEA_A,hddm_w,none,0.8953593244938381,0.9043291700405193,0.6670415244065274,0.2863901883052563,1.2,60854.28571428572,,
SEA_A,hddm_w,oracle_blocks,0.8719904857024556,0.8853799776963626,0.0,0.726057074217347,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,oracle_rows,0.8961813092717735,0.9053152580544143,0.0,0.199688502061077,0.6,48194.142857142855,,
SEA_A,hddm_w,random_blocks,0.8692699816362573,0.8830246158392423,0.1261762204761993,0.7664905738001118,0.08571428571428572,18294.285714285714,,
SEA_A,hddm_w,random_rows,0.8952409287738281,0.9042105276585362,0.533303765272715,0.41153377568481125,1.262857142857143,50409.68000000001,,
SEA_A,hellinger,learned_features,0.891082772707183,0.9008250631287803,0.6980726841990756,0.26816638831686834,0.622857142857143,55899.46857142857,,
SEA_A,hellinger,learned_features_label,0.8906475687224624,0.9001472020479809,0.49080740860648797,0.19902007525560578,0.5885714285714286,51734.25714285714,,
SEA_A,hellinger,none,0.8918737474748941,0.9014435281515165,0.7306241992256624,0.22731607874265491,0.5714285714285714,58465.71428571428,,
SEA_A,hellinger,oracle_blocks,0.8711308938388395,0.8846520561977007,0.0,0.7221829822076619,0.05714285714285715,18240.0,,
SEA_A,hellinger,oracle_rows,0.8928917159703638,0.9025969095569302,0.0,0.20719889656066862,0.5142857142857143,48173.942857142865,,
SEA_A,hellinger,random_blocks,0.8684103897726411,0.8822966943405804,0.1261762204761993,0.7626164817904266,0.05714285714285715,18240.0,,
SEA_A,hellinger,random_rows,0.8909096148534494,0.9006105960638461,0.556524359144593,0.38297593112981454,0.8114285714285714,48997.73142857143,,
SEA_A,none,learned_features,0.8882413116332353,0.8985250565186703,0.727634533059548,0.23998765519532278,0.0,54207.77714285714,,
SEA_A,none,learned_features_label,0.8878656285196863,0.8977800021566174,0.4990140076616676,0.17825456242410415,0.0,50570.25142857143,,
SEA_A,none,none,0.8893060094360855,0.899411015046615,0.7522696801647379,0.21337189953647506,0.0,57000.0,,
radar,adwin,learned_features,0.22313971078817268,0.7275169196272242,0.5567702461382202,0.18300864621434515,9.514285714285714,154223.85142857145,0.6339868801168158,0.21089683473598977
radar,adwin,learned_features_label,0.21816631314715407,0.7229551464844597,0.5184090309605002,0.2288837053382166,9.342857142857143,147353.91999999998,0.5976974276835043,0.20422254303911144
radar,adwin,none,0.223968592919558,0.7416797453160425,0.8272763952453276,0.17370137964212798,9.62857142857143,163843.57142857142,0.6115237021283185,0.19343778663021485
radar,adwin,oracle_blocks,0.16911859084354214,0.6876336338817424,0.0,0.7039030315971112,0.8571428571428571,48172.71428571428,0.7299119263463145,0.21572690268573333
radar,adwin,oracle_rows,0.24545675648839868,0.734366482765539,0.0,0.20504588021651066,8.114285714285714,136467.4,0.6788999013800446,0.21700577093107828
radar,adwin,random_blocks,0.18796567352105276,0.6947992862319248,0.17669178143778258,0.7350757085096626,0.8571428571428571,48172.71428571428,0.7412250589866212,0.21323094299050016
radar,adwin,random_rows,0.22781322432547815,0.7341779201150789,0.6626125193598049,0.31949595325867425,9.582857142857144,136136.05714285714,0.6379958067225009,0.20400049215476512
radar,d3_oof,learned_features,0.25740872671449944,0.8017563511484388,0.5763761813215063,0.1512487302552003,1.6457142857142855,133829.95428571428,0.7506509602057959,0.12932121664060364
radar,d3_oof,learned_features_label,0.23401705771346681,0.7651032257476651,0.5463462618224837,0.20165084158163427,1.6685714285714286,127340.17714285715,0.7634603341757888,0.1436991047891872
radar,d3_oof,none,0.255213460482907,0.80689106567868,0.8445646801917835,0.1475861336616115,1.6285714285714286,141912.14285714287,0.7785340335203832,0.12120415453776391
radar,d3_oof,oracle_blocks,0.17404050633598608,0.710259735428064,0.0,0.6919777840697694,0.0,44644.142857142855,0.7781182989987728,0.19037912743462626
radar,d3_oof,oracle_rows,0.2635753706940673,0.8249001091827003,0.0,0.14346830426846102,1.342857142857143,117562.05714285714,0.7934590803208513,0.10795726858868737
radar,d3_oof,random_blocks,0.19288758901349673,0.7174253877782465,0.17669178143778258,0.7231504609823209,0.0,44644.142857142855,0.7894314316390795,0.18788316773939306
radar,d3_oof,random_rows,0.25471164022979126,0.8045575930055706,0.686573410605859,0.2874047458149086,1.64,117514.45142857144,0.7394768116044179,0.12635562211654006
radar,hddm_w,learned_features,0.22631465674783185,0.732893247589504,0.5607555231638721,0.1855673864408655,8.971428571428572,153373.92571428572,0.6349772057343337,0.20590971537926847
radar,hddm_w,learned_features_label,0.2186751042464627,0.7269436383422774,0.519189217624833,0.2295479809209931,9.32,147029.06285714285,0.5899609517486719,0.19951189651414244
radar,hddm_w,none,0.22520831099694413,0.7453095096244766,0.8270009834094901,0.1781976756875391,9.200000000000001,163029.2857142857,0.6039183140441378,0.1868818507764203
radar,hddm_w,oracle_blocks,0.16990726342205056,0.6946831524512058,0.0,0.7068843434789466,0.8571428571428571,48172.71428571428,0.7310092042530459,0.2073558994542545
radar,hddm_w,oracle_rows,0.2431068931591914,0.7462076794461961,0.0,0.20346723144396675,7.857142857142857,136439.54285714286,0.6603568214133357,0.2057954372497779
radar,hddm_w,random_blocks,0.1887543460995612,0.7018488048013884,0.17669178143778258,0.7380570203914981,0.8571428571428571,48172.71428571428,0.7423223368933526,0.2048599397590213
radar,hddm_w,random_rows,0.22509542926613757,0.7430846476550861,0.6673585816237996,0.31981603780235296,9.194285714285716,135280.5657142857,0.6199897554230531,0.1906942996507858
radar,hellinger,learned_features,0.23965901681551408,0.7722789777902257,0.5629705163486072,0.18064009624314314,3.44,138044.13714285713,0.6690845177584948,0.15934527053404102
radar,hellinger,learned_features_label,0.21558664102281577,0.7407173490261704,0.5229667160167973,0.2297753335825165,3.0342857142857143,130565.8857142857,0.6287472390203487,0.17049980985700675
radar,hellinger,none,0.23769610153729884,0.7748610421309048,0.8191882991907152,0.1792066504656642,3.2857142857142856,145332.14285714287,0.6962808623816239,0.15679808091638026
radar,hellinger,oracle_blocks,0.1717829524424944,0.6996939600754936,0.0,0.6979404078334402,0.2857142857142857,44644.142857142855,0.7508973663125521,0.20596341747596342
radar,hellinger,oracle_rows,0.25061353336258124,0.7760185332704713,0.0,0.1789932548276827,3.1714285714285713,120628.71428571429,0.7414777773634537,0.17836500305759204
radar,hellinger,random_blocks,0.19063003512000504,0.7068596124256761,0.17669178143778258,0.7291130847459918,0.2857142857142857,44644.142857142855,0.7622104989528589,0.20346745778073022
radar,hellinger,random_rows,0.22597348103963966,0.7588277335816705,0.6621492841198136,0.31451836765073354,3.4799999999999995,120798.61142857143,0.6604998918586614,0.17394877251817717
radar,none,learned_features,0.28021126593853996,0.8394199800021285,0.5950420433381378,0.13133331128052056,0.0,129674.66857142858,0.8019252738732725,0.08940120921451462
radar,none,learned_features_label,0.2665201031149049,0.8018370643333184,0.564162435733286,0.18437721288042278,0.0,123484.56000000001,0.8426696072127836,0.10588288575128162
radar,none,none,0.2719570715862961,0.835037192476781,0.8657000947770106,0.13052753994793923,0.0,137515.0,0.8206572971597319,0.09141287449919136
