stream,repetition,input_seed,mode,level,condition,shared_clean_reference,within_dataset_weight,dataset_weight,input_rows
radar,2,1,instance,moderate,radar__evaluation__instance__moderate__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,instance,severe,radar__evaluation__instance__severe__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,concept,moderate,radar__evaluation__concept__moderate__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,concept,severe,radar__evaluation__concept__severe__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,splice,moderate,radar__evaluation__splice__moderate__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,2,1,splice,severe,radar__evaluation__splice__severe__a1,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,clean,none,radar__evaluation__clean__none__aNone,True,0.02857142857142857,0.3333333333333333,144753
radar,3,2,instance,moderate,radar__evaluation__instance__moderate__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,instance,severe,radar__evaluation__instance__severe__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,concept,moderate,radar__evaluation__concept__moderate__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,concept,severe,radar__evaluation__concept__severe__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,splice,moderate,radar__evaluation__splice__moderate__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,3,2,splice,severe,radar__evaluation__splice__severe__a2,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,clean,none,radar__evaluation__clean__none__aNone,True,0.02857142857142857,0.3333333333333333,144753
radar,4,3,instance,moderate,radar__evaluation__instance__moderate__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,instance,severe,radar__evaluation__instance__severe__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,concept,moderate,radar__evaluation__concept__moderate__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,concept,severe,radar__evaluation__concept__severe__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,splice,moderate,radar__evaluation__splice__moderate__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,4,3,splice,severe,radar__evaluation__splice__severe__a3,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,clean,none,radar__evaluation__clean__none__aNone,True,0.02857142857142857,0.3333333333333333,144753
radar,5,4,instance,moderate,radar__evaluation__instance__moderate__a4,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,instance,severe,radar__evaluation__instance__severe__a4,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,concept,moderate,radar__evaluation__concept__moderate__a4,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,concept,severe,radar__evaluation__concept__severe__a4,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,splice,moderate,radar__evaluation__splice__moderate__a4,False,0.02857142857142857,0.3333333333333333,144753
radar,5,4,splice,severe,radar__evaluation__splice__severe__a4,False,0.02857142857142857,0.3333333333333333,144753
