stream,mode,level,base_seed,attack_seed,attack_assignment,base_key,condition,rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,malicious_recall,benign_fpr,detector,status,folder
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,13300,9500,2850,1,0.5707424999854993,False,600,confirmed,True,10450,0.3475598086124402,0.33479347114531915,2843,2286,0.8040801969750264,7607,1343,0.1765479163927961,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/confirmed_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,0,0,0.46704379201401025,False,600,confirmed,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/confirmed_unscreened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,6650,1900,2,0.5111311670043506,False,600,immediate,True,10450,0.3964593301435407,0.3865408864243334,2843,1513,0.5321843123461133,7607,3420,0.44958590771657686,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/immediate_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,4750,5,0.4527953330252785,False,600,immediate,False,10450,0.43894736842105264,0.43498240229468677,2843,2843,1.0,7607,0,0.0,,,hddm_w,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hddm_w/RBF_I__s9913__instance__severe/immediate_unscreened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5142035000026226,False,600,confirmed,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/confirmed_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,11400,0,0,0.4509240420011338,False,600,confirmed,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/confirmed_unscreened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,7600,0,0,0.5125131670210976,False,600,immediate,True,10450,0.3585645933014354,0.35235027949590225,0,0,,10450,3800,0.36363636363636365,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/immediate_screened
RBF_I,clean,none,9913.0,,,RBF_I__s9913,RBF_I__s9913__clean__none,12000,11400,11400,0,0,0.45857299998169765,False,600,immediate,False,10450,0.36995215311004787,0.3630090291100171,0,0,,10450,0,0.0,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__clean__none/immediate_unscreened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,7600,0,0,0.5227177499909885,False,600,confirmed,True,10450,0.3475598086124402,0.33479347114531915,2843,1766,0.6211748153359128,7607,2723,0.35795977389246747,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/confirmed_screened
RBF_I,instance,severe,9913.0,821989827.0,,RBF_I__s9913,RBF_I__s9913__instance__severe,12000,11400,11400,0,0,0.4631764160003513,False,600,confirmed,False,10450,0.33043062200956935,0.31277587835964565,2843,2843,1.0,7607,0,0.0,,,hellinger,complete,results/per_dataset_study/integration_full_study/fixed_responses/runs/RBF_I/hellinger/RBF_I__s9913__instance__severe/confirmed_unscreened
