dataset,base_key,attack_seed,category,mode,level,condition,run_id,detector,policy,guarded,series,rows,common_host_rows,mask_sha256,correct,accuracy,macro_f1,macro_recall,roc_auc,poison_admission_rate,clean_withhold_rate,resets_per_100k,seconds_per_100k
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__immediate__unguarded,d3_oof,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120435,0.646450387006044,0.5089521632595991,0.48638673772909863,0.8057500322327319,1.0,0.0,3.713231274484119,72.12465212183936
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__d3_oof__immediate__guarded,d3_oof,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,120435,0.646450387006044,0.46266510191730253,0.4338665425510134,0.8130511723984699,0.8268183135323095,0.1737238986544444,3.0943593954034325,95.19617502108568
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__confirmed__unguarded,hddm_w,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,121871,0.6541583021116252,0.5252778155040148,0.5023345029971964,0.8036923289654003,1.0,0.0,9.076787559850068,67.05882958945823
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__confirmed__guarded,hddm_w,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,122501,0.6575399083208984,0.5050688817703045,0.4803553864902004,0.8288038116519383,0.8567806432917995,0.1425315904697282,7.426462548968238,85.29078008801393
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__immediate__unguarded,hddm_w,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,133356,0.7158055200695644,0.6721572869797967,0.6690338391839885,0.833904803257465,1.0,0.0,45.59022842561057,46.84312544738327
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hddm_w__immediate__guarded,hddm_w,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,115285,0.6188070981524622,0.4788421179865119,0.4602950531884059,0.8135416986125172,0.705056505360765,0.2957226439974907,15.88437822973762,59.11514977734564
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__confirmed__unguarded,hellinger,confirmed,False,confirmed_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118194,0.6344215306330582,0.480467496040415,0.4588084504713167,0.8142612368663154,1.0,0.0,3.3006500217636607,73.79776215925958
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__confirmed__guarded,hellinger,confirmed,True,confirmed_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,118672,0.6369872572489829,0.45621483640273064,0.44860911884435134,0.8469894519421866,0.8671399594320487,0.1321998745343046,2.6817781426829743,99.83498544618465
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__immediate__unguarded,hellinger,immediate,False,immediate_unscreened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,123833,0.6646895900205043,0.5468472055797966,0.5391600381518167,0.7997127616348114,1.0,0.0,6.6013000435273215,63.0394555371335
RADAR,radar,0,1,instance,moderate,radar__instance__moderate__a0,radar__instance__moderate__a0__hellinger__immediate__guarded,hellinger,immediate,True,immediate_screened,484753,186302,d08a691857f33f02fa3529535459b2be6e9d2027c7432942d946f1f41f493580,117717,0.6318611716460371,0.4409971294405632,0.42439956570387327,0.8507125342172157,0.8172993335265141,0.184204125004801,2.0629062636022883,105.88105235037884
