dataset,comparison_detector,category,mode,level,series,metric,mean,sd,defined,realizations
RADAR,adwin,2,instance,severe,immediate_screened,seconds_per_100k,52.329339594934915,0.7390757574715103,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,accuracy,0.7167084495919672,0.007245396459133695,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,macro_f1,0.6598640411406677,0.01638712383728259,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,macro_recall,0.6477605530779164,0.015073080809664562,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,resets_per_100k,47.240553436492405,1.0719175379433754,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,roc_auc,0.827305644916089,0.009010113884091587,3,3
RADAR,adwin,2,instance,severe,immediate_unscreened,seconds_per_100k,46.681976202308306,0.7891672906857,3,3
RADAR,adwin,2,instance,severe,none_screened,accuracy,0.6234110673107939,0.024900719667095346,3,3
RADAR,adwin,2,instance,severe,none_screened,clean_withhold_rate,0.10076633577273347,0.012236506886337983,3,3
RADAR,adwin,2,instance,severe,none_screened,macro_f1,0.4146177904177457,0.041973979175084206,3,3
RADAR,adwin,2,instance,severe,none_screened,macro_recall,0.39328145766155526,0.03784114367961865,3,3
RADAR,adwin,2,instance,severe,none_screened,poison_admission_rate,0.8998876443317189,0.011743446354203997,3,3
RADAR,adwin,2,instance,severe,none_screened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,2,instance,severe,none_screened,roc_auc,0.7991247017049239,0.013671003336967625,3,3
RADAR,adwin,2,instance,severe,none_screened,seconds_per_100k,237.8228124082502,19.700969833956165,3,3
RADAR,adwin,2,instance,severe,none_unscreened,accuracy,0.6147655043948198,0.02074699938597661,3,3
RADAR,adwin,2,instance,severe,none_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,2,instance,severe,none_unscreened,macro_f1,0.3871928876138382,0.02933091593173611,3,3
RADAR,adwin,2,instance,severe,none_unscreened,macro_recall,0.35724147463630535,0.03298305729006244,3,3
RADAR,adwin,2,instance,severe,none_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,2,instance,severe,none_unscreened,resets_per_100k,0.0,0.0,3,3
RADAR,adwin,2,instance,severe,none_unscreened,roc_auc,0.7773463231876031,0.0236936931896229,3,3
RADAR,adwin,2,instance,severe,none_unscreened,seconds_per_100k,69.39846858779974,4.337741316549312,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,accuracy,0.6584680825400514,0.008706889633625349,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,clean_withhold_rate,0.13765960945018307,0.018182000769527657,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,macro_f1,0.5108779357096916,0.007077406398945438,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,macro_recall,0.5122474126127629,0.009460766550261328,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,poison_admission_rate,0.8521347814254647,0.013934049221611549,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,resets_per_100k,7.6327531753284665,0.8991999933039455,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,roc_auc,0.9015072600107351,0.004385639567754634,3,3
RADAR,adwin,3,concept,moderate,confirmed_screened,seconds_per_100k,171.1329240733587,5.092645993788271,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,accuracy,0.6906130298574373,0.004209240393542621,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,macro_f1,0.5649413061527832,0.015013469297862245,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,macro_recall,0.5642786287818391,0.01649353785428006,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,resets_per_100k,8.732969849249686,0.4294281829026601,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,roc_auc,0.9039741760402821,0.005123002612919034,3,3
RADAR,adwin,3,concept,moderate,confirmed_unscreened,seconds_per_100k,147.11569214972693,1.3015475317370293,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,accuracy,0.6435643009398445,0.0037608246782395794,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,clean_withhold_rate,0.4105757899741245,0.007881524829039022,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,macro_f1,0.5144567082441599,0.016924759055641524,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,macro_recall,0.5266966555185012,0.019374825054951476,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,poison_admission_rate,0.5565531383308815,0.019538166484337257,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,resets_per_100k,38.64511067148286,2.0663415803260246,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,roc_auc,0.828940070872906,0.0037213334217535378,3,3
RADAR,adwin,3,concept,moderate,immediate_screened,seconds_per_100k,95.0518096363889,3.2633465002334163,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,accuracy,0.7050847547787842,0.012438681718860181,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,clean_withhold_rate,0.0,0.0,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,macro_f1,0.6525508369950535,0.004265066354405626,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,macro_recall,0.6833538179330773,0.006987693124126964,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,poison_admission_rate,1.0,0.0,3,3
RADAR,adwin,3,concept,moderate,immediate_unscreened,resets_per_100k,76.80887654812518,0.42942818290265966,3,3
