rows,training_visits,accepted_training_visits,accepted_refit_rows,resets,seconds,pending_candidate,audit_rows_reserved,policy,guarded,host_n,host_accuracy,host_macro_f1,poison_rows,poison_rows_admitted,poison_admission_rate,clean_rows,clean_rows_withheld,clean_withhold_rate,condition,stream,mode,level,base_seed,arm,detector,feedback_fraction,delay_blocks,no_feedback_blocks,status,host_macro_f1_baseline,host_accuracy_baseline,poison_admission_rate_baseline,clean_withhold_rate_baseline,resets_baseline,training_visits_baseline,seconds_baseline,host_macro_f1_difference,host_accuracy_difference,poison_admission_rate_difference,clean_withhold_rate_difference,resets_difference,training_visits_difference,seconds_difference
12000,11400,7600,0,0,0.12942791600653436,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1367170419980539,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0072891259915195405
12000,11400,7600,0,0,0.1367170419980539,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,selected_map,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1367170419980539,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.1335806249990128,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_7,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1382942080090288,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.004713583010016009
12000,11400,7600,0,0,0.1382942080090288,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_7,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1382942080090288,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.13549408401013352,False,600,rl,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,hellinger,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13549408401013352,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.13185429100121837,False,600,rl,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,q_alarm_persistence_7,hellinger,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.13549408401013352,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0036397930089151487
12000,11400,7600,0,0,0.1349927499977639,False,600,none,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1349927499977639,0.0,0.0,,0.0,0,0,0.0
12000,11400,7600,0,0,0.12955520799732767,False,600,none,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,no_reset,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.1349927499977639,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.005437542000436224
12000,11400,7600,0,0,0.14390899999125395,False,600,confirmed,True,10450,0.8869856459330143,0.8761651786108928,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,d3_oof,0.01,5,4,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14514408398827072,0.006487281535735523,0.0033492822966506575,,0.0,0,0,-0.0012350839970167726
12000,11400,7600,0,0,0.14514408398827072,False,600,confirmed,True,10450,0.8836363636363637,0.8696778970751573,0,0,,10450,3800,0.36363636363636365,SEA_A__s9917__clean__none,SEA_A,clean,none,9917,confirmed,d3_oof,0.05,1,0,complete,0.8696778970751573,0.8836363636363637,,0.36363636363636365,0,11400,0.14514408398827072,0.0,0.0,,0.0,0,0,0.0
