stream,detector,arm,feedback_fraction,delay_blocks,host_macro_f1,host_accuracy,poison_admission_rate,clean_withhold_rate,resets,training_visits,seconds,malicious_recall,benign_fpr
radar,adwin,q_alarm_7,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,17.81685114476256,0.6682727645925246,0.2954839728991452
radar,adwin,q_alarm_persistence_17,0.05,1,0.44329894688355276,0.5893989513656672,0.7630951138537521,0.24953274899014113,15.904761904761907,137515.0,34.78618203176163,0.713080161090329,0.21642041586023977
radar,adwin,q_alarm_persistence_27,0.05,1,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.3708584683204661,31.142857142857142,137515.0,24.74529963690466,0.7043831127706589,0.2706859134878116
radar,adwin,q_alarm_persistence_7,0.05,1,0.44329894688355276,0.5893989513656672,0.7630951138537521,0.24953274899014113,15.904761904761907,137515.0,34.81671815066615,0.713080161090329,0.21642041586023977
radar,adwin,selected_map,0.05,1,0.4508107663771808,0.609217114213422,0.7765910089817099,0.23426461292607703,8.619047619047619,137515.0,37.866999974330874,0.7158013288341032,0.202684583517075
radar,d3_oof,confirmed,0.05,1,0.45959042379124054,0.6358326474466719,0.8527561622869295,0.1439598390863331,1.619047619047619,141857.85714285713,51.64348451586072,0.7333875672165843,0.1388496210888806
radar,d3_oof,error_rule,0.05,1,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.3708584683204661,31.142857142857142,137515.0,25.518698698477237,0.7043831127706589,0.2706859134878116
radar,d3_oof,no_reset,0.05,1,0.4417362149194993,0.6458904291231412,0.8691038322692003,0.12899915257643657,0.0,137515.0,56.0348463411425,0.7453994180249219,0.10732203991956858
radar,d3_oof,q_alarm_17,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,17.813336974097876,0.6682727645925246,0.2954839728991452
radar,d3_oof,q_alarm_27,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,17.835358361093398,0.6682727645925246,0.2954839728991452
radar,d3_oof,q_alarm_7,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,17.80707725200184,0.6682727645925246,0.2954839728991452
radar,d3_oof,q_alarm_persistence_17,0.05,1,0.44617339848626086,0.5843909438020406,0.6229209220253079,0.37150625967398593,45.047619047619044,137515.0,25.631280753997824,0.6796899678707523,0.2539060262195273
radar,d3_oof,q_alarm_persistence_27,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,17.842593426665793,0.6682727645925246,0.2954839728991452
radar,d3_oof,q_alarm_persistence_7,0.05,1,0.44617339848626086,0.5843909438020406,0.6229209220253079,0.37150625967398593,45.047619047619044,137515.0,25.591119607189846,0.6796899678707523,0.2539060262195273
radar,d3_oof,selected_map,0.05,1,0.45219734895303576,0.5854333457160926,0.6130246635828501,0.3708584683204661,31.095238095238095,137515.0,25.578105224097577,0.7055270113320612,0.2709082351450367
radar,hddm_w,confirmed,0.05,1,0.448258598813483,0.5946508106739927,0.8312276962451488,0.17707882336713815,9.428571428571429,163843.57142857142,39.91200598785543,0.6854401279948883,0.20849961377669315
radar,hddm_w,error_rule,0.05,1,0.4522868689594884,0.5855008139048417,0.6130246635828501,0.3708584683204661,31.142857142857142,137515.0,25.159998394764397,0.7043831127706589,0.2706859134878116
radar,hddm_w,no_reset,0.05,1,0.4417362149194993,0.6458904291231412,0.8691038322692003,0.12899915257643657,0.0,137515.0,56.159373740051656,0.7453994180249219,0.10732203991956858
radar,hddm_w,q_alarm_17,0.05,1,0.44822523759704247,0.5891333423755124,0.5804501455771046,0.38688470931774926,35.61904761904762,137515.0,24.426581670617452,0.6643198286544114,0.23936482915266666
radar,hddm_w,q_alarm_27,0.05,1,0.44440908359833003,0.5725235476039258,0.5336787912218374,0.4525148340425967,78.66666666666666,137515.0,18.297650388809934,0.6682727645925246,0.2954839728991452
radar,hddm_w,q_alarm_7,0.05,1,0.4417362149194993,0.6458904291231412,0.8691038322692003,0.12899915257643657,0.0,137515.0,56.398471267665236,0.7453994180249219,0.10732203991956858
radar,hddm_w,q_alarm_persistence_17,0.05,1,0.46208122858953277,0.6012471190648384,0.7050052987906712,0.29387663266844477,17.0,137515.0,30.381441599279892,0.7274045067206758,0.23779056907842802
